datetime,symbol,open,high,low,close,volume
2009-03-10 05:30:00,NASDAQ:ACAD,0.86,1.0,0.86,0.98,206189.0
2009-03-11 05:30:00,NASDAQ:ACAD,1.0,1.0,0.9,0.91,64822.0
2009-03-12 05:30:00,NASDAQ:ACAD,0.9,1.0,0.89,1.0,89653.0
2009-03-13 05:30:00,NASDAQ:ACAD,1.0,1.01,0.986,0.99,87380.0
2009-03-16 05:30:00,NASDAQ:ACAD,1.01,1.01,0.75,0.98,94775.0
2009-03-17 05:30:00,NASDAQ:ACAD,0.97,1.01,0.9499,0.98,137744.0
2009-03-18 05:30:00,NASDAQ:ACAD,0.98,1.02,0.97,0.99,42824.0
2009-03-19 05:30:00,NASDAQ:ACAD,1.01,1.02,0.9103,1.0,69586.0
2009-03-20 05:30:00,NASDAQ:ACAD,1.02,1.02,0.91,0.93,122849.0
2009-03-23 05:30:00,NASDAQ:ACAD,0.95,1.05,0.949,1.05,932033.0
2009-03-24 05:30:00,NASDAQ:ACAD,0.8,1.08,0.8,0.95,86337.0
2009-03-25 05:30:00,NASDAQ:ACAD,1.0,1.05,0.95,1.04,134242.0
2009-03-26 05:30:00,NASDAQ:ACAD,1.07,1.15,1.04,1.15,169671.0
2009-03-27 05:30:00,NASDAQ:ACAD,1.11,1.19,1.04,1.06,195290.0
2009-03-30 05:30:00,NASDAQ:ACAD,1.0,1.07,0.99,1.05,84131.0
2009-03-31 05:30:00,NASDAQ:ACAD,1.07,1.11,0.95,0.95,212840.0
2009-04-01 05:30:00,NASDAQ:ACAD,0.95,1.08,0.9301,1.08,108635.0
2009-04-02 05:30:00,NASDAQ:ACAD,1.13,1.2,0.98,1.06,254102.0
2009-04-03 05:30:00,NASDAQ:ACAD,1.05,1.08,1.0,1.04,133218.0
2009-04-06 05:30:00,NASDAQ:ACAD,1.05,1.09,1.01,1.02,92536.0
2009-04-07 05:30:00,NASDAQ:ACAD,1.02,1.05,1.0,1.03,486958.0
2009-04-08 05:30:00,NASDAQ:ACAD,1.05,1.13,1.05,1.13,78957.0
2009-04-09 05:30:00,NASDAQ:ACAD,1.14,1.15,1.04,1.1,609755.0
2009-04-13 05:30:00,NASDAQ:ACAD,1.1,1.11,1.04,1.07,79384.0
2009-04-14 05:30:00,NASDAQ:ACAD,1.03,1.08,0.98,0.98,237990.0
2009-04-15 05:30:00,NASDAQ:ACAD,0.96,1.1,0.96,1.09,85776.0
2009-04-16 05:30:00,NASDAQ:ACAD,1.12,1.13,1.01,1.05,78380.0
2009-04-17 05:30:00,NASDAQ:ACAD,1.06,1.1,1.04,1.09,100929.0
2009-04-20 05:30:00,NASDAQ:ACAD,1.05,1.05,1.0,1.0,102911.0
2009-04-21 05:30:00,NASDAQ:ACAD,1.0,1.06,1.0,1.06,72372.0
2009-04-22 05:30:00,NASDAQ:ACAD,1.05,1.07,1.0,1.01,88638.0
2009-04-23 05:30:00,NASDAQ:ACAD,1.0,1.03,0.9,0.93,165727.0
2009-04-24 05:30:00,NASDAQ:ACAD,0.97,0.99,0.93,0.95,87884.0
2009-04-27 05:30:00,NASDAQ:ACAD,0.94,0.965,0.88,0.92,74996.0
