datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:ACCO,1.25,1.31,1.17,1.23,357360.0
2009-03-13 05:30:00,NYSE:ACCO,1.28,1.28,1.17,1.22,350032.0
2009-03-16 05:30:00,NYSE:ACCO,1.22,1.24,1.18,1.2,139647.0
2009-03-17 05:30:00,NYSE:ACCO,1.21,1.27,1.11,1.25,206524.0
2009-03-18 05:30:00,NYSE:ACCO,1.25,1.45,1.24,1.38,216835.0
2009-03-19 05:30:00,NYSE:ACCO,1.4,1.4,1.2,1.24,151246.0
2009-03-20 05:30:00,NYSE:ACCO,1.25,1.52,1.19,1.27,669205.0
2009-03-23 05:30:00,NYSE:ACCO,1.31,1.31,1.25,1.28,271946.0
2009-03-24 05:30:00,NYSE:ACCO,1.22,1.3,1.16,1.16,219825.0
2009-03-25 05:30:00,NYSE:ACCO,1.17,1.23,1.13,1.2,252209.0
2009-03-26 05:30:00,NYSE:ACCO,1.2,1.32,1.15,1.32,334021.0
2009-03-27 05:30:00,NYSE:ACCO,1.29,1.31,1.21,1.25,196004.0
2009-03-30 05:30:00,NYSE:ACCO,1.2,1.22,1.1,1.16,306285.0
2009-03-31 05:30:00,NYSE:ACCO,1.18,1.205,0.98,0.98,426376.0
2009-04-01 05:30:00,NYSE:ACCO,0.97,1.2,0.97,1.2,233636.0
2009-04-02 05:30:00,NYSE:ACCO,1.25,1.7,1.23,1.69,436936.0
2009-04-03 05:30:00,NYSE:ACCO,1.52,1.75,1.35,1.47,403075.0
2009-04-06 05:30:00,NYSE:ACCO,1.51,1.51,1.2,1.2,611581.0
2009-04-07 05:30:00,NYSE:ACCO,1.19,1.24,0.97,1.12,556914.0
2009-04-08 05:30:00,NYSE:ACCO,1.13,1.45,1.13,1.22,472668.0
2009-04-09 05:30:00,NYSE:ACCO,1.31,1.33,1.24,1.27,370012.0
2009-04-13 05:30:00,NYSE:ACCO,1.25,1.31,1.23,1.29,188043.0
2009-04-14 05:30:00,NYSE:ACCO,1.25,1.27,1.13,1.14,403982.0
2009-04-15 05:30:00,NYSE:ACCO,1.15,1.26,1.15,1.2,303902.0
2009-04-16 05:30:00,NYSE:ACCO,1.21,1.3113,1.2,1.31,186520.0
2009-04-17 05:30:00,NYSE:ACCO,1.32,1.32,1.22,1.32,214888.0
2009-04-20 05:30:00,NYSE:ACCO,1.33,1.37,1.23,1.24,235780.0
2009-04-21 05:30:00,NYSE:ACCO,1.24,1.42,1.24,1.42,181856.0
2009-04-22 05:30:00,NYSE:ACCO,1.4,2.2,1.33,2.05,820093.0
2009-04-23 05:30:00,NYSE:ACCO,2.05,2.3,1.8,2.16,581966.0
2009-04-24 05:30:00,NYSE:ACCO,2.19,2.29,2.04,2.22,452419.0
2009-04-27 05:30:00,NYSE:ACCO,2.17,2.17,1.8,1.83,316728.0
2009-04-28 05:30:00,NYSE:ACCO,1.78,2.03,1.75,1.99,194335.0
2009-04-29 05:30:00,NYSE:ACCO,2.04,2.08,1.85,2.06,312526.0
2009-04-30 05:30:00,NYSE:ACCO,2.07,2.34,2.07,2.09,430711.0
2009-05-01 05:30:00,NYSE:ACCO,2.09,2.33,2.01,2.24,371179.0
2009-05-04 05:30:00,NYSE:ACCO,2.23,2.71,2.23,2.69,380201.0
2009-05-05 05:30:00,NYSE:ACCO,2.73,3.79,2.65,3.6,1084040.0
2009-05-06 05:30:00,NYSE:ACCO,3.6,3.6,2.75,3.31,945715.0
2009-05-07 05:30:00,NYSE:ACCO,3.31,3.47,3.14,3.16,323001.0
2009-05-08 05:30:00,NYSE:ACCO,3.22,3.57,3.14,3.17,473147.0
2009-05-11 05:30:00,NYSE:ACCO,3.12,3.3,2.91,3.25,200108.0
2009-05-12 05:30:00,NYSE:ACCO,3.26,3.31,2.95,3.04,539632.0
2009-05-13 05:30:00,NYSE:ACCO,2.93,3.0599,2.5501,2.57,255140.0
2009-05-14 05:30:00,NYSE:ACCO,2.57,3.17,2.37,2.82,315137.0
2009-05-15 05:30:00,NYSE:ACCO,2.82,3.02,2.5,2.58,367929.0
2009-05-18 05:30:00,NYSE:ACCO,2.62,3.22,2.62,3.16,358446.0
2009-05-19 05:30:00,NYSE:ACCO,3.1,3.13,2.86,3.05,259688.0
2009-05-20 05:30:00,NYSE:ACCO,3.06,3.5,2.9,2.94,294288.0
2009-05-21 05:30:00,NYSE:ACCO,2.91,3.04,2.7,2.78,244437.0
2009-05-22 05:30:00,NYSE:ACCO,2.8,2.89,2.65,2.71,216704.0
2009-05-26 05:30:00,NYSE:ACCO,2.69,3.01,2.67,2.91,253426.0
2009-05-27 05:30:00,NYSE:ACCO,2.91,3.14,2.91,2.99,243506.0
2009-05-28 05:30:00,NYSE:ACCO,2.97,3.16,2.7619,2.94,514946.0
2009-05-29 05:30:00,NYSE:ACCO,2.94,3.08,2.83,2.95,278910.0
2009-06-01 05:30:00,NYSE:ACCO,3.04,3.45,3.04,3.43,358105.0
2009-06-02 05:30:00,NYSE:ACCO,3.4,3.61,3.28,3.4,330551.0
2009-06-03 05:30:00,NYSE:ACCO,3.37,3.38,3.12,3.21,167699.0
2009-06-04 05:30:00,NYSE:ACCO,3.18,3.42,3.03,3.37,211072.0
2009-06-05 05:30:00,NYSE:ACCO,3.41,3.59,3.41,3.5,218936.0
2009-06-08 05:30:00,NYSE:ACCO,3.45,3.46,3.1,3.23,374430.0
2009-06-09 05:30:00,NYSE:ACCO,3.25,3.305,3.21,3.29,152054.0
2009-06-10 05:30:00,NYSE:ACCO,3.33,3.45,3.26,3.38,293535.0
2009-06-11 05:30:00,NYSE:ACCO,3.41,3.44,3.28,3.36,185740.0
2009-06-12 05:30:00,NYSE:ACCO,3.36,3.45,3.26,3.45,184616.0
2009-06-15 05:30:00,NYSE:ACCO,3.45,3.46,3.05,3.16,386368.0
2009-06-16 05:30:00,NYSE:ACCO,3.2,3.38,3.0201,3.14,419420.0
2009-06-17 05:30:00,NYSE:ACCO,3.17,3.32,2.85,3.14,267269.0
2009-06-18 05:30:00,NYSE:ACCO,3.13,3.13,2.86,3.1,184480.0
2009-06-19 05:30:00,NYSE:ACCO,3.11,3.27,3.1,3.25,485136.0
2009-06-22 05:30:00,NYSE:ACCO,3.18,3.19,2.84,2.84,314694.0
2009-06-23 05:30:00,NYSE:ACCO,2.85,3.14,2.71,2.89,239096.0
2009-06-24 05:30:00,NYSE:ACCO,2.92,3.02,2.65,2.75,451297.0
2009-06-25 05:30:00,NYSE:ACCO,2.72,2.86,2.7,2.84,459500.0
2009-06-26 05:30:00,NYSE:ACCO,2.84,3.33,2.77,3.27,848199.0
2009-06-29 05:30:00,NYSE:ACCO,3.2,3.2632,2.82,3.0,291566.0
2009-06-30 05:30:00,NYSE:ACCO,3.01,3.07,2.7,2.82,618694.0
2009-07-01 05:30:00,NYSE:ACCO,2.86,3.06,2.86,3.02,259801.0
2009-07-02 05:30:00,NYSE:ACCO,2.9,2.99,2.8,2.8,284523.0
2009-07-06 05:30:00,NYSE:ACCO,2.8,3.02,2.57,2.67,304232.0
2009-07-07 05:30:00,NYSE:ACCO,2.67,2.89,2.55,2.58,331497.0
2009-07-08 05:30:00,NYSE:ACCO,2.77,2.83,2.49,2.56,211740.0
2009-07-09 05:30:00,NYSE:ACCO,2.58,2.64,2.46,2.49,156800.0
2009-07-10 05:30:00,NYSE:ACCO,2.47,2.56,2.42,2.43,173406.0
2009-07-13 05:30:00,NYSE:ACCO,2.43,2.43,2.24,2.38,186018.0
2009-07-14 05:30:00,NYSE:ACCO,2.4,2.53,2.4,2.46,215201.0
2009-07-15 05:30:00,NYSE:ACCO,2.5,2.88,2.45,2.77,435538.0
2009-07-16 05:30:00,NYSE:ACCO,2.75,2.97,2.65,2.95,223279.0
2009-07-17 05:30:00,NYSE:ACCO,2.96,2.96,2.78,2.84,300825.0
2009-07-20 05:30:00,NYSE:ACCO,2.86,3.14,2.83,3.13,302305.0
2009-07-21 05:30:00,NYSE:ACCO,3.14,3.17,2.88,3.1,234758.0
2009-07-22 05:30:00,NYSE:ACCO,3.08,3.08,2.89,3.04,116160.0
2009-07-23 05:30:00,NYSE:ACCO,3.04,3.96,2.98,3.84,837200.0
2009-07-24 05:30:00,NYSE:ACCO,3.7,3.82,3.39,3.67,645722.0
2009-07-27 05:30:00,NYSE:ACCO,3.52,4.95,3.52,4.41,1402230.0
2009-07-28 05:30:00,NYSE:ACCO,4.32,4.659,4.28,4.61,762795.0
2009-07-29 05:30:00,NYSE:ACCO,4.55,4.73,4.52,4.55,473015.0
2009-07-30 05:30:00,NYSE:ACCO,4.61,4.8999,4.56,4.64,686904.0
2009-07-31 05:30:00,NYSE:ACCO,4.63,4.82,4.37,4.37,813856.0
2009-08-03 05:30:00,NYSE:ACCO,4.34,4.6401,4.3,4.5,775700.0
2009-08-04 05:30:00,NYSE:ACCO,4.5,4.7104,3.93,4.32,924955.0
2009-08-05 05:30:00,NYSE:ACCO,4.34,4.54,4.18,4.42,514945.0
2009-08-06 05:30:00,NYSE:ACCO,4.44,4.63,4.26,4.45,646779.0
2009-08-07 05:30:00,NYSE:ACCO,4.53,5.06,4.44,4.83,741845.0
2009-08-10 05:30:00,NYSE:ACCO,4.86,5.01,4.56,4.91,593317.0
2009-08-11 05:30:00,NYSE:ACCO,4.9,4.94,4.64,4.72,159420.0
2009-08-12 05:30:00,NYSE:ACCO,4.72,4.83,4.66,4.68,354436.0
2009-08-13 05:30:00,NYSE:ACCO,4.69,4.87,4.685,4.8,276728.0
2009-08-14 05:30:00,NYSE:ACCO,4.8,4.92,4.6,4.76,282430.0
