datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:AEL,3.21,3.65,3.03,3.52,685814.0
2009-03-13 05:30:00,NYSE:AEL,3.5,3.68,3.4,3.6,323507.0
2009-03-16 05:30:00,NYSE:AEL,3.65,3.73,3.36,3.39,371319.0
2009-03-17 05:30:00,NYSE:AEL,3.36,3.74,3.32,3.74,448893.0
2009-03-18 05:30:00,NYSE:AEL,3.74,4.15,3.63,4.07,424074.0
2009-03-19 05:30:00,NYSE:AEL,4.15,4.25,3.91,3.99,296315.0
2009-03-20 05:30:00,NYSE:AEL,4.03,4.06,3.7,3.73,426733.0
2009-03-23 05:30:00,NYSE:AEL,3.9,4.4,3.77,4.32,358512.0
2009-03-24 05:30:00,NYSE:AEL,4.23,4.74,4.23,4.39,502669.0
2009-03-25 05:30:00,NYSE:AEL,4.43,4.86,4.29,4.42,486765.0
2009-03-26 05:30:00,NYSE:AEL,4.59,4.86,4.51,4.86,350670.0
2009-03-27 05:30:00,NYSE:AEL,4.76,4.93,4.56,4.56,273498.0
2009-03-30 05:30:00,NYSE:AEL,4.42,4.42,3.82,4.01,419633.0
2009-03-31 05:30:00,NYSE:AEL,4.11,4.355,3.93,4.16,359852.0
2009-04-01 05:30:00,NYSE:AEL,4.07,4.69,4.01,4.62,352317.0
2009-04-02 05:30:00,NYSE:AEL,4.84,5.77,4.74,5.19,696204.0
2009-04-03 05:30:00,NYSE:AEL,5.16,5.42,4.81,5.05,613324.0
2009-04-06 05:30:00,NYSE:AEL,4.99,5.15,4.76,5.09,344289.0
2009-04-07 05:30:00,NYSE:AEL,5.0,5.1,4.87,4.89,557852.0
2009-04-08 05:30:00,NYSE:AEL,4.96,5.29,4.88,5.09,326158.0
2009-04-09 05:30:00,NYSE:AEL,5.22,5.22,5.0,5.2,497434.0
2009-04-13 05:30:00,NYSE:AEL,5.13,5.6,5.02,5.57,367656.0
2009-04-14 05:30:00,NYSE:AEL,5.43,5.55,4.75,5.12,599177.0
2009-04-15 05:30:00,NYSE:AEL,5.06,5.3294,4.88,5.28,357708.0
2009-04-16 05:30:00,NYSE:AEL,5.37,5.45,5.03,5.41,329253.0
2009-04-17 05:30:00,NYSE:AEL,5.45,5.74,5.35,5.59,375382.0
2009-04-20 05:30:00,NYSE:AEL,5.47,5.59,5.01,5.01,332200.0
2009-04-21 05:30:00,NYSE:AEL,5.0,5.71,4.99,5.55,335858.0
2009-04-22 05:30:00,NYSE:AEL,5.36,5.78,5.18,5.42,296246.0
2009-04-23 05:30:00,NYSE:AEL,5.41,5.61,5.26,5.56,324838.0
2009-04-24 05:30:00,NYSE:AEL,5.63,5.69,5.25,5.42,265936.0
2009-04-27 05:30:00,NYSE:AEL,5.3,5.51,5.21,5.34,231251.0
2009-04-28 05:30:00,NYSE:AEL,5.3,5.57,5.1705,5.29,203057.0
2009-04-29 05:30:00,NYSE:AEL,5.29,5.9,5.29,5.62,283573.0
2009-04-30 05:30:00,NYSE:AEL,5.71,5.99,5.62,5.63,352216.0
2009-05-01 05:30:00,NYSE:AEL,5.63,5.81,5.62,5.69,198238.0
2009-05-04 05:30:00,NYSE:AEL,5.78,6.16,5.75,6.13,293929.0
