datetime,symbol,open,high,low,close,volume
2021-03-26 05:30:00,NASDAQ:ALHC,19.05,19.7,16.32,17.31,5326988.0
2021-03-29 05:30:00,NASDAQ:ALHC,17.0,19.24,17.0,19.0,1483188.0
2021-03-30 05:30:00,NASDAQ:ALHC,18.75,20.86,18.25,19.94,1447088.0
2021-03-31 05:30:00,NASDAQ:ALHC,20.32,22.15,20.0,21.93,1197380.0
2021-04-01 05:30:00,NASDAQ:ALHC,21.5,24.0,20.58,23.2,3178809.0
2021-04-05 05:30:00,NASDAQ:ALHC,23.85,23.99,22.59,23.52,446267.0
2021-04-06 05:30:00,NASDAQ:ALHC,23.73,24.8,23.52,23.59,721330.0
2021-04-07 05:30:00,NASDAQ:ALHC,23.84,24.14,21.5647,21.77,209591.0
2021-04-08 05:30:00,NASDAQ:ALHC,21.77,23.15,21.5001,22.77,269418.0
2021-04-09 05:30:00,NASDAQ:ALHC,22.51,24.0,21.8328,23.83,248811.0
2021-04-12 05:30:00,NASDAQ:ALHC,23.77,24.34,23.2015,23.52,547940.0
2021-04-13 05:30:00,NASDAQ:ALHC,23.63,24.03,23.08,23.8,561699.0
2021-04-14 05:30:00,NASDAQ:ALHC,24.0,25.0,23.8349,24.66,543370.0
2021-04-15 05:30:00,NASDAQ:ALHC,24.66,26.0,24.3988,25.58,178578.0
2021-04-16 05:30:00,NASDAQ:ALHC,25.81,26.17,25.32,26.06,256036.0
2021-04-19 05:30:00,NASDAQ:ALHC,26.08,26.08,24.44,25.13,268342.0
2021-04-20 05:30:00,NASDAQ:ALHC,24.51,25.69,22.3,23.02,601756.0
2021-04-21 05:30:00,NASDAQ:ALHC,22.82,24.33,22.68,23.5,196543.0
2021-04-22 05:30:00,NASDAQ:ALHC,23.46,23.6299,22.55,23.0,259848.0
2021-04-23 05:30:00,NASDAQ:ALHC,23.21,24.7762,22.75,24.71,183808.0
2021-04-26 05:30:00,NASDAQ:ALHC,24.64,28.02,24.4345,26.76,467951.0
2021-04-27 05:30:00,NASDAQ:ALHC,27.0,27.36,26.0,26.01,279806.0
2021-04-28 05:30:00,NASDAQ:ALHC,26.08,27.16,25.65,26.77,152998.0
2021-04-29 05:30:00,NASDAQ:ALHC,26.77,27.6599,26.43,26.73,393565.0
2021-04-30 05:30:00,NASDAQ:ALHC,26.74,26.93,26.05,26.54,276726.0
2021-05-03 05:30:00,NASDAQ:ALHC,26.84,28.46,25.5,26.34,205433.0
2021-05-04 05:30:00,NASDAQ:ALHC,26.02,27.3,25.2601,27.13,251513.0
2021-05-05 05:30:00,NASDAQ:ALHC,27.09,28.5921,26.51,26.89,186335.0
2021-05-06 05:30:00,NASDAQ:ALHC,26.67,27.57,24.76,25.14,476895.0
2021-05-07 05:30:00,NASDAQ:ALHC,25.11,26.095,23.41,23.62,548579.0
2021-05-10 05:30:00,NASDAQ:ALHC,24.07,24.07,21.42,21.51,270815.0
2021-05-11 05:30:00,NASDAQ:ALHC,20.71,22.56,20.24,22.11,177310.0
2021-05-12 05:30:00,NASDAQ:ALHC,22.25,22.45,20.88,21.32,248237.0
2021-05-13 05:30:00,NASDAQ:ALHC,21.21,23.05,20.26,20.57,214098.0
2021-05-14 05:30:00,NASDAQ:ALHC,20.55,20.97,19.83,20.96,205102.0
2021-05-17 05:30:00,NASDAQ:ALHC,21.3,23.23,21.3,22.58,224063.0
2021-05-18 05:30:00,NASDAQ:ALHC,23.03,24.015,21.38,22.39,365602.0
2021-05-19 05:30:00,NASDAQ:ALHC,22.35,24.05,21.5718,22.74,279857.0
2021-05-20 05:30:00,NASDAQ:ALHC,22.69,23.42,22.64,23.22,297382.0
2021-05-21 05:30:00,NASDAQ:ALHC,23.29,24.017,22.79,23.75,372714.0
2021-05-24 05:30:00,NASDAQ:ALHC,23.74,24.599,22.81,23.0,336133.0
2021-05-25 05:30:00,NASDAQ:ALHC,23.16,24.55,22.64,24.01,371812.0
2021-05-26 05:30:00,NASDAQ:ALHC,24.1,24.91,23.54,24.07,423979.0
2021-05-27 05:30:00,NASDAQ:ALHC,23.98,25.26,23.6,25.02,221886.0
2021-05-28 05:30:00,NASDAQ:ALHC,25.12,26.1709,24.63,25.23,292493.0
2021-06-01 05:30:00,NASDAQ:ALHC,25.11,25.36,23.7,25.0,227000.0
2021-06-02 05:30:00,NASDAQ:ALHC,24.99,25.72,24.75,25.07,236583.0
2021-06-03 05:30:00,NASDAQ:ALHC,24.85,25.08,23.33,23.44,309213.0
2021-06-04 05:30:00,NASDAQ:ALHC,23.44,23.8384,22.865,23.37,160525.0
2021-06-07 05:30:00,NASDAQ:ALHC,23.35,23.717,22.81,23.21,211719.0
2021-06-08 05:30:00,NASDAQ:ALHC,23.16,24.41,23.16,24.07,299482.0
2021-06-09 05:30:00,NASDAQ:ALHC,24.11,25.18,23.71,23.84,254030.0
2021-06-10 05:30:00,NASDAQ:ALHC,23.6,23.86,22.83,23.66,199293.0
2021-06-11 05:30:00,NASDAQ:ALHC,23.73,23.73,22.93,23.6,184328.0
2021-06-14 05:30:00,NASDAQ:ALHC,23.72,25.25,23.22,24.51,322527.0
2021-06-15 05:30:00,NASDAQ:ALHC,24.72,25.73,24.59,25.51,271098.0
2021-06-16 05:30:00,NASDAQ:ALHC,25.44,27.16,24.35,26.75,369298.0
2021-06-17 05:30:00,NASDAQ:ALHC,26.38,27.92,26.23,26.35,480277.0
2021-06-18 05:30:00,NASDAQ:ALHC,26.56,27.44,25.99,26.8,1802706.0
2021-06-21 05:30:00,NASDAQ:ALHC,26.84,27.74,26.3,27.27,268628.0
2021-06-22 05:30:00,NASDAQ:ALHC,26.81,27.4,26.295,26.48,150745.0
2021-06-23 05:30:00,NASDAQ:ALHC,26.48,26.96,26.08,26.41,269627.0
2021-06-24 05:30:00,NASDAQ:ALHC,26.37,26.53,25.5,25.64,193533.0
2021-06-25 05:30:00,NASDAQ:ALHC,25.42,25.69,24.63,24.82,3395818.0
2021-06-28 05:30:00,NASDAQ:ALHC,25.06,25.2,23.76,24.25,442079.0
2021-06-29 05:30:00,NASDAQ:ALHC,24.25,24.52,23.255,23.29,175026.0
2021-06-30 05:30:00,NASDAQ:ALHC,23.13,23.58,22.885,23.37,350613.0
2021-07-01 05:30:00,NASDAQ:ALHC,23.35,23.4,22.7201,22.79,148839.0
2021-07-02 05:30:00,NASDAQ:ALHC,22.9,23.0,22.245,22.92,184961.0
2021-07-06 05:30:00,NASDAQ:ALHC,23.07,23.17,22.58,22.98,154995.0
2021-07-07 05:30:00,NASDAQ:ALHC,23.03,23.5,22.521,23.47,216367.0
2021-07-08 05:30:00,NASDAQ:ALHC,23.11,23.11,22.15,22.46,192980.0
2021-07-09 05:30:00,NASDAQ:ALHC,22.6,22.75,21.47,21.49,191836.0
2021-07-12 05:30:00,NASDAQ:ALHC,21.72,21.84,21.08,21.65,276772.0
2021-07-13 05:30:00,NASDAQ:ALHC,21.58,21.92,21.09,21.21,140385.0
2021-07-14 05:30:00,NASDAQ:ALHC,21.34,21.34,19.92,20.59,333752.0
2021-07-15 05:30:00,NASDAQ:ALHC,20.65,20.8299,20.02,20.74,174477.0
2021-07-16 05:30:00,NASDAQ:ALHC,20.9,21.2699,20.16,20.27,242626.0
2021-07-19 05:30:00,NASDAQ:ALHC,20.03,20.45,19.77,20.1,183856.0
2021-07-20 05:30:00,NASDAQ:ALHC,20.31,20.44,19.81,19.97,250359.0
2021-07-21 05:30:00,NASDAQ:ALHC,20.05,20.58,19.78,20.18,170442.0
2021-07-22 05:30:00,NASDAQ:ALHC,20.25,20.46,19.9445,20.24,153307.0
2021-07-23 05:30:00,NASDAQ:ALHC,20.25,21.18,20.01,20.3,133080.0
2021-07-26 05:30:00,NASDAQ:ALHC,20.38,20.4,19.49,19.66,64679.0
