datetime,symbol,open,high,low,close,volume
2021-07-06 05:30:00,NYSE:ALIT,10.0,10.0,8.86,9.03,4065332.0
2021-07-07 05:30:00,NYSE:ALIT,8.9,9.18,8.85,9.15,2829456.0
2021-07-08 05:30:00,NYSE:ALIT,9.0,9.1,8.94,9.0,2248654.0
2021-07-09 05:30:00,NYSE:ALIT,8.95,9.24,8.94,9.22,1473838.0
2021-07-12 05:30:00,NYSE:ALIT,9.11,9.77,9.11,9.64,1704854.0
2021-07-13 05:30:00,NYSE:ALIT,9.71,9.79,9.61,9.68,3442635.0
2021-07-14 05:30:00,NYSE:ALIT,9.69,9.75,9.11,9.21,7110345.0
2021-07-15 05:30:00,NYSE:ALIT,9.25,9.27,8.85,8.91,6884724.0
2021-07-16 05:30:00,NYSE:ALIT,8.93,8.9713,8.62,8.76,2972643.0
2021-07-19 05:30:00,NYSE:ALIT,8.52,8.63,8.46,8.54,2384895.0
2021-07-20 05:30:00,NYSE:ALIT,8.59,9.0,8.51,8.93,1568331.0
2021-07-21 05:30:00,NYSE:ALIT,8.87,9.07,8.75,9.0,2213992.0
2021-07-22 05:30:00,NYSE:ALIT,9.0,9.4,8.9,9.22,2111401.0
2021-07-23 05:30:00,NYSE:ALIT,9.21,9.44,9.15,9.42,1017140.0
2021-07-26 05:30:00,NYSE:ALIT,9.4,9.56,9.11,9.11,2542710.0
2021-07-27 05:30:00,NYSE:ALIT,9.12,9.16,8.95,9.04,1880724.0
2021-07-28 05:30:00,NYSE:ALIT,9.0,9.12,8.98,9.1,1357097.0
2021-07-29 05:30:00,NYSE:ALIT,9.13,9.2,8.99,9.02,1672827.0
2021-07-30 05:30:00,NYSE:ALIT,8.93,9.455,8.92,9.41,2656773.0
2021-08-02 05:30:00,NYSE:ALIT,9.42,9.66,9.2,9.66,2863728.0
2021-08-03 05:30:00,NYSE:ALIT,9.56,9.77,9.52,9.71,2682621.0
