datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:ARAY,4.34,4.86,4.25,4.86,257977.0
2009-03-13 05:30:00,NASDAQ:ARAY,4.86,5.07,4.64,5.04,288430.0
2009-03-16 05:30:00,NASDAQ:ARAY,5.08,5.2,4.68,4.76,204272.0
2009-03-17 05:30:00,NASDAQ:ARAY,4.76,5.0,4.66,4.95,162598.0
2009-03-18 05:30:00,NASDAQ:ARAY,4.91,5.24,4.81,5.15,189852.0
2009-03-19 05:30:00,NASDAQ:ARAY,5.25,5.78,5.15,5.39,651358.0
2009-03-20 05:30:00,NASDAQ:ARAY,5.45,5.56,5.08,5.13,327424.0
2009-03-23 05:30:00,NASDAQ:ARAY,5.27,5.61,5.13,5.61,268740.0
2009-03-24 05:30:00,NASDAQ:ARAY,5.45,5.45,5.15,5.17,335898.0
2009-03-25 05:30:00,NASDAQ:ARAY,5.2,5.42,4.9,5.21,347407.0
2009-03-26 05:30:00,NASDAQ:ARAY,5.3,5.39,5.04,5.28,427448.0
2009-03-27 05:30:00,NASDAQ:ARAY,5.2,5.48,5.16,5.2,520064.0
2009-03-30 05:30:00,NASDAQ:ARAY,5.06,5.24,4.75,4.82,352255.0
2009-03-31 05:30:00,NASDAQ:ARAY,4.9,5.2,4.72,5.03,316003.0
2009-04-01 05:30:00,NASDAQ:ARAY,4.94,4.98,4.73,4.94,428691.0
2009-04-02 05:30:00,NASDAQ:ARAY,5.08,5.21,4.92,5.03,316154.0
2009-04-03 05:30:00,NASDAQ:ARAY,5.0,5.16,4.84,5.11,215921.0
2009-04-06 05:30:00,NASDAQ:ARAY,5.06,5.18,4.91,5.12,290304.0
2009-04-07 05:30:00,NASDAQ:ARAY,5.05,5.3,4.99,5.07,312391.0
2009-04-08 05:30:00,NASDAQ:ARAY,5.1,5.17,4.87,5.16,254247.0
2009-04-09 05:30:00,NASDAQ:ARAY,5.27,5.5,5.17,5.37,404672.0
2009-04-13 05:30:00,NASDAQ:ARAY,5.43,5.6,5.39,5.59,274664.0
2009-04-14 05:30:00,NASDAQ:ARAY,5.47,5.79,5.35,5.38,343081.0
2009-04-15 05:30:00,NASDAQ:ARAY,5.31,5.57,5.31,5.57,184020.0
2009-04-16 05:30:00,NASDAQ:ARAY,5.65,5.95,5.46,5.94,288752.0
2009-04-17 05:30:00,NASDAQ:ARAY,5.96,6.0,5.762,6.0,256196.0
2009-04-20 05:30:00,NASDAQ:ARAY,5.96,5.97,5.45,5.53,357129.0
2009-04-21 05:30:00,NASDAQ:ARAY,5.52,5.82,5.48,5.77,186234.0
2009-04-22 05:30:00,NASDAQ:ARAY,5.64,5.85,5.61,5.68,216243.0
2009-04-23 05:30:00,NASDAQ:ARAY,5.7,5.79,5.57,5.62,165031.0
2009-04-24 05:30:00,NASDAQ:ARAY,5.66,6.0,5.66,5.99,317042.0
2009-04-27 05:30:00,NASDAQ:ARAY,6.49,6.49,5.75,6.06,373035.0
2009-04-28 05:30:00,NASDAQ:ARAY,6.03,6.15,5.85,5.87,280424.0
2009-04-29 05:30:00,NASDAQ:ARAY,5.94,6.2,5.88,6.12,267807.0
2009-04-30 05:30:00,NASDAQ:ARAY,6.2,6.29,5.91,6.05,391309.0
2009-05-01 05:30:00,NASDAQ:ARAY,6.05,6.09,5.91,5.92,239486.0
2009-05-04 05:30:00,NASDAQ:ARAY,6.01,6.08,5.9,6.06,399896.0
2009-05-05 05:30:00,NASDAQ:ARAY,6.14,6.56,6.1,6.55,493096.0
2009-05-06 05:30:00,NASDAQ:ARAY,6.23,6.39,5.9,6.01,787218.0
