datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:ASGN,2.39,2.67,2.39,2.58,378214.0
2009-03-13 05:30:00,NYSE:ASGN,2.59,2.65,2.5,2.5,181334.0
2009-03-16 05:30:00,NYSE:ASGN,2.53,2.65,2.38,2.42,295204.0
2009-03-17 05:30:00,NYSE:ASGN,2.43,2.8,2.35,2.78,219442.0
2009-03-18 05:30:00,NYSE:ASGN,2.76,3.09,2.64,3.03,191547.0
2009-03-19 05:30:00,NYSE:ASGN,3.07,3.08,2.82,2.82,116924.0
2009-03-20 05:30:00,NYSE:ASGN,2.86,2.86,2.56,2.78,354258.0
2009-03-23 05:30:00,NYSE:ASGN,2.85,3.12,2.77,3.11,228983.0
2009-03-24 05:30:00,NYSE:ASGN,3.05,3.26,2.91,2.95,267769.0
2009-03-25 05:30:00,NYSE:ASGN,2.99,3.27,2.79,3.05,108078.0
2009-03-26 05:30:00,NYSE:ASGN,3.11,3.13,3.04,3.08,192418.0
2009-03-27 05:30:00,NYSE:ASGN,3.08,3.14,2.5,2.5,292521.0
2009-03-30 05:30:00,NYSE:ASGN,2.5,2.78,2.34,2.74,219434.0
2009-03-31 05:30:00,NYSE:ASGN,2.78,2.89,2.61,2.71,169101.0
2009-04-01 05:30:00,NYSE:ASGN,2.61,2.93,2.3958,2.9,122643.0
2009-04-02 05:30:00,NYSE:ASGN,2.91,3.125,2.71,3.09,230012.0
2009-04-03 05:30:00,NYSE:ASGN,3.09,3.2,2.95,3.19,114017.0
2009-04-06 05:30:00,NYSE:ASGN,3.13,3.13,2.83,3.02,147617.0
2009-04-07 05:30:00,NYSE:ASGN,2.96,3.04,2.89,2.96,146559.0
2009-04-08 05:30:00,NYSE:ASGN,2.99,3.13,2.96,3.13,101362.0
2009-04-09 05:30:00,NYSE:ASGN,3.19,3.41,3.05,3.41,168165.0
2009-04-13 05:30:00,NYSE:ASGN,3.36,3.41,3.18,3.33,81825.0
2009-04-14 05:30:00,NYSE:ASGN,3.26,3.34,2.8,2.84,188040.0
2009-04-15 05:30:00,NYSE:ASGN,2.83,2.83,2.6,2.82,381611.0
2009-04-16 05:30:00,NYSE:ASGN,2.85,2.98,2.68,2.97,134978.0
2009-04-17 05:30:00,NYSE:ASGN,2.98,3.14,2.8,3.11,105033.0
2009-04-20 05:30:00,NYSE:ASGN,2.98,2.99,2.76,2.81,131906.0
2009-04-21 05:30:00,NYSE:ASGN,2.81,3.13,2.81,3.11,66834.0
2009-04-22 05:30:00,NYSE:ASGN,3.06,3.25,3.012,3.18,90803.0
2009-04-23 05:30:00,NYSE:ASGN,3.2,3.27,2.97,3.01,92967.0
2009-04-24 05:30:00,NYSE:ASGN,3.03,3.11,2.932,3.03,143746.0
2009-04-27 05:30:00,NYSE:ASGN,2.97,3.09,2.97,3.04,108158.0
2009-04-28 05:30:00,NYSE:ASGN,3.0,3.35,2.9501,3.33,131984.0
2009-04-29 05:30:00,NYSE:ASGN,3.33,3.8,3.33,3.72,201284.0
2009-04-30 05:30:00,NYSE:ASGN,3.77,3.77,3.4401,3.52,169846.0
2009-05-01 05:30:00,NYSE:ASGN,3.57,3.95,3.22,3.54,436046.0
2009-05-04 05:30:00,NYSE:ASGN,3.56,3.67,3.39,3.5501,162054.0
2009-05-05 05:30:00,NYSE:ASGN,3.55,3.8,3.41,3.74,753123.0
2009-05-06 05:30:00,NYSE:ASGN,3.74,3.74,3.51,3.7,89851.0
2009-05-07 05:30:00,NYSE:ASGN,3.7,3.7799,3.5,3.56,129463.0
2009-05-08 05:30:00,NYSE:ASGN,3.63,3.8,3.55,3.74,323747.0
2009-05-11 05:30:00,NYSE:ASGN,3.64,3.7899,3.62,3.7,86375.0
2009-05-12 05:30:00,NYSE:ASGN,3.71,3.85,3.53,3.75,99393.0
2009-05-13 05:30:00,NYSE:ASGN,3.7,3.7,3.39,3.4,367686.0
2009-05-14 05:30:00,NYSE:ASGN,3.4,3.47,3.2,3.29,144955.0
2009-05-15 05:30:00,NYSE:ASGN,3.33,3.33,2.88,3.08,234072.0
2009-05-18 05:30:00,NYSE:ASGN,3.12,3.17,3.03,3.05,128814.0
2009-05-19 05:30:00,NYSE:ASGN,3.09,3.14,2.87,2.94,227964.0
2009-05-20 05:30:00,NYSE:ASGN,2.98,3.2,2.94,2.96,139223.0
2009-05-21 05:30:00,NYSE:ASGN,2.97,2.97,2.76,2.89,218282.0
2009-05-22 05:30:00,NYSE:ASGN,2.91,3.05,2.89,2.9,152220.0
2009-05-26 05:30:00,NYSE:ASGN,2.87,3.3,2.87,3.3,135742.0
2009-05-27 05:30:00,NYSE:ASGN,3.27,3.4,3.2,3.2,70671.0
2009-05-28 05:30:00,NYSE:ASGN,3.24,3.43,3.2,3.29,90802.0
2009-05-29 05:30:00,NYSE:ASGN,3.29,3.57,3.21,3.57,140859.0
2009-06-01 05:30:00,NYSE:ASGN,3.64,3.9,3.49,3.81,162249.0
