datetime,symbol,open,high,low,close,volume
2018-08-15 05:30:00,NASDAQ:ASRT,29.2,32.32,27.88,32.16,183196.0
2018-08-16 05:30:00,NASDAQ:ASRT,31.4,31.4,28.92,29.12,232953.0
2018-08-17 05:30:00,NASDAQ:ASRT,29.12,30.08,28.58,29.96,110711.0
2018-08-20 05:30:00,NASDAQ:ASRT,29.44,30.4,28.5396,30.2,129130.0
2018-08-21 05:30:00,NASDAQ:ASRT,30.2,30.24,29.04,29.56,142605.0
2018-08-22 05:30:00,NASDAQ:ASRT,29.6,29.84,28.9,28.96,106355.0
2018-08-23 05:30:00,NASDAQ:ASRT,28.96,28.96,27.8,27.84,345386.0
2018-08-24 05:30:00,NASDAQ:ASRT,28.0,28.96,27.998,28.52,118814.0
2018-08-27 05:30:00,NASDAQ:ASRT,28.8,29.44,28.4,29.32,106254.0
2018-08-28 05:30:00,NASDAQ:ASRT,29.24,29.72,29.04,29.28,77174.0
2018-08-29 05:30:00,NASDAQ:ASRT,24.44,26.32,23.84,26.06,978838.0
2018-08-30 05:30:00,NASDAQ:ASRT,26.12,26.6,25.92,26.18,300588.0
2018-08-31 05:30:00,NASDAQ:ASRT,26.2,26.2,24.84,25.52,191937.0
2018-09-04 05:30:00,NASDAQ:ASRT,25.88,25.88,24.4,25.2,188878.0
2018-09-05 05:30:00,NASDAQ:ASRT,25.28,26.26,24.92,26.12,234082.0
2018-09-06 05:30:00,NASDAQ:ASRT,26.2,26.2,25.24,25.28,171882.0
2018-09-07 05:30:00,NASDAQ:ASRT,25.16,25.34,24.72,24.8,194048.0
2018-09-10 05:30:00,NASDAQ:ASRT,24.8,25.1,24.28,24.36,230493.0
2018-09-11 05:30:00,NASDAQ:ASRT,24.36,24.36,23.56,23.84,130270.0
2018-09-12 05:30:00,NASDAQ:ASRT,24.04,24.48,23.68,23.96,101637.0
2018-09-13 05:30:00,NASDAQ:ASRT,24.0,24.0,23.24,23.64,217695.0
2018-09-14 05:30:00,NASDAQ:ASRT,23.6,23.88,22.88,23.36,186767.0
2018-09-17 05:30:00,NASDAQ:ASRT,23.36,23.44,22.88,23.28,138705.0
2018-09-18 05:30:00,NASDAQ:ASRT,23.24,24.2,23.24,23.56,149501.0
2018-09-19 05:30:00,NASDAQ:ASRT,23.68,24.28,23.64,23.84,105111.0
2018-09-20 05:30:00,NASDAQ:ASRT,24.08,24.8,24.0,24.76,102358.0
2018-09-21 05:30:00,NASDAQ:ASRT,24.64,24.92,24.24,24.56,196010.0
2018-09-24 05:30:00,NASDAQ:ASRT,24.64,24.96,24.0,24.56,114827.0
2018-09-25 05:30:00,NASDAQ:ASRT,24.56,24.64,23.72,23.92,85588.0
2018-09-26 05:30:00,NASDAQ:ASRT,23.8,23.84,23.14,23.24,107785.0
2018-09-27 05:30:00,NASDAQ:ASRT,23.36,24.2,23.28,23.84,119648.0
2018-09-28 05:30:00,NASDAQ:ASRT,23.76,23.92,23.28,23.52,125152.0
2018-10-01 05:30:00,NASDAQ:ASRT,23.68,24.24,22.92,23.0,128184.0
2018-10-02 05:30:00,NASDAQ:ASRT,23.0,23.36,22.12,22.2,114645.0
2018-10-03 05:30:00,NASDAQ:ASRT,22.2,22.84,22.16,22.6,143230.0
2018-10-04 05:30:00,NASDAQ:ASRT,22.68,23.0568,22.28,22.84,96604.0
2018-10-05 05:30:00,NASDAQ:ASRT,22.96,23.16,22.32,22.72,71607.0
2018-10-08 05:30:00,NASDAQ:ASRT,22.68,23.28,22.404,23.12,68578.0
2018-10-09 05:30:00,NASDAQ:ASRT,23.08,23.2,22.24,22.64,99609.0
2018-10-10 05:30:00,NASDAQ:ASRT,22.48,23.2,22.2,22.2,132500.0
2018-10-11 05:30:00,NASDAQ:ASRT,22.0,22.44,21.4,21.56,192549.0
2018-10-12 05:30:00,NASDAQ:ASRT,21.84,22.52,21.68,22.08,86542.0
2018-10-15 05:30:00,NASDAQ:ASRT,22.12,22.54,21.84,22.28,52360.0
2018-10-16 05:30:00,NASDAQ:ASRT,22.52,23.56,22.52,23.4,117487.0
2018-10-17 05:30:00,NASDAQ:ASRT,23.16,23.48,22.36,23.0,86236.0
2018-10-18 05:30:00,NASDAQ:ASRT,22.84,23.68,22.64,23.68,114846.0
2018-10-19 05:30:00,NASDAQ:ASRT,23.72,24.28,22.88,23.04,86278.0
2018-10-22 05:30:00,NASDAQ:ASRT,22.92,23.24,22.4,22.84,95541.0
2018-10-23 05:30:00,NASDAQ:ASRT,22.56,22.84,22.2,22.36,109600.0
2018-10-24 05:30:00,NASDAQ:ASRT,22.4,22.76,20.88,21.0,96419.0
2018-10-25 05:30:00,NASDAQ:ASRT,21.12,22.16,20.8,21.84,175831.0
2018-10-26 05:30:00,NASDAQ:ASRT,21.48,21.86,20.84,21.68,101813.0
2018-10-29 05:30:00,NASDAQ:ASRT,21.84,22.24,21.04,21.32,68994.0
2018-10-30 05:30:00,NASDAQ:ASRT,20.0,21.44,19.16,20.5,227262.0
2018-10-31 05:30:00,NASDAQ:ASRT,20.32,20.88,18.76,19.42,163446.0
2018-11-01 05:30:00,NASDAQ:ASRT,19.48,21.48,19.48,20.6,171531.0
2018-11-02 05:30:00,NASDAQ:ASRT,20.72,21.2,20.08,20.16,98690.0
2018-11-05 05:30:00,NASDAQ:ASRT,20.36,20.56,19.72,20.2,187192.0
2018-11-06 05:30:00,NASDAQ:ASRT,20.24,20.78,19.88,20.44,100615.0
2018-11-07 05:30:00,NASDAQ:ASRT,20.48,20.48,19.8,20.4,253036.0
2018-11-08 05:30:00,NASDAQ:ASRT,20.4,20.6,19.6,20.28,196614.0
2018-11-09 05:30:00,NASDAQ:ASRT,21.0,22.56,18.7624,21.72,331704.0
2018-11-12 05:30:00,NASDAQ:ASRT,21.88,22.68,21.4,21.52,307329.0
2018-11-13 05:30:00,NASDAQ:ASRT,21.4,22.24,21.4,21.52,189092.0
2018-11-14 05:30:00,NASDAQ:ASRT,22.08,23.524,21.814,22.24,211707.0
2018-11-15 05:30:00,NASDAQ:ASRT,22.04,23.2,22.04,23.04,331861.0
2018-11-16 05:30:00,NASDAQ:ASRT,23.04,23.14,21.84,21.96,486095.0
2018-11-19 05:30:00,NASDAQ:ASRT,22.0,22.32,21.08,21.56,196016.0
2018-11-20 05:30:00,NASDAQ:ASRT,21.36,22.04,20.972,21.44,315234.0
2018-11-21 05:30:00,NASDAQ:ASRT,21.6,21.96,20.44,21.04,145375.0
2018-11-23 05:30:00,NASDAQ:ASRT,20.84,22.52,20.84,21.6,95762.0
2018-11-26 05:30:00,NASDAQ:ASRT,22.0,22.22,20.32,20.84,238607.0
2018-11-27 05:30:00,NASDAQ:ASRT,20.88,21.28,20.34,20.8,147609.0
2018-11-28 05:30:00,NASDAQ:ASRT,20.96,21.48,20.48,21.12,233048.0
2018-11-29 05:30:00,NASDAQ:ASRT,21.08,21.24,20.44,20.84,152353.0
2018-11-30 05:30:00,NASDAQ:ASRT,20.0,20.18,18.6,19.94,403906.0
2018-12-03 05:30:00,NASDAQ:ASRT,20.28,20.64,19.08,19.34,231703.0
2018-12-04 05:30:00,NASDAQ:ASRT,19.36,19.4,18.92,19.04,436383.0
2018-12-06 05:30:00,NASDAQ:ASRT,18.68,19.0,17.72,18.0,406026.0
2018-12-07 05:30:00,NASDAQ:ASRT,18.04,18.32,16.8936,17.08,163937.0
2018-12-10 05:30:00,NASDAQ:ASRT,17.0,17.08,16.4,17.0,209233.0
2018-12-11 05:30:00,NASDAQ:ASRT,17.2,17.32,16.24,16.88,149555.0
2018-12-12 05:30:00,NASDAQ:ASRT,17.0,17.34,16.6,17.12,188300.0
2018-12-13 05:30:00,NASDAQ:ASRT,17.2,17.48,16.68,16.8,364866.0
2018-12-14 05:30:00,NASDAQ:ASRT,16.64,16.76,15.92,16.2,165709.0
2018-12-17 05:30:00,NASDAQ:ASRT,16.4,16.4,15.54,15.72,418297.0
2018-12-18 05:30:00,NASDAQ:ASRT,15.88,16.32,15.32,15.64,250726.0
2018-12-19 05:30:00,NASDAQ:ASRT,15.64,16.08,15.16,15.44,251924.0
2018-12-20 05:30:00,NASDAQ:ASRT,15.52,15.68,15.16,15.36,252877.0
2018-12-21 05:30:00,NASDAQ:ASRT,15.2,15.2,14.36,14.48,540547.0
2018-12-24 05:30:00,NASDAQ:ASRT,14.36,14.36,13.84,14.24,251091.0
2018-12-26 05:30:00,NASDAQ:ASRT,14.4,15.04,14.12,14.88,149984.0
2018-12-27 05:30:00,NASDAQ:ASRT,14.64,15.0,13.48,14.12,198364.0
2018-12-28 05:30:00,NASDAQ:ASRT,14.16,14.84,14.0,14.36,219457.0
2018-12-31 05:30:00,NASDAQ:ASRT,14.32,14.72,14.08,14.44,177401.0
2019-01-02 05:30:00,NASDAQ:ASRT,14.28,16.44,14.28,15.92,341440.0
2019-01-03 05:30:00,NASDAQ:ASRT,15.96,16.66,15.8,15.88,529565.0
2019-01-04 05:30:00,NASDAQ:ASRT,15.88,16.82,15.48,16.72,159972.0
2019-01-07 05:30:00,NASDAQ:ASRT,16.76,17.4,16.4,16.88,1166046.0
2019-01-08 05:30:00,NASDAQ:ASRT,17.08,17.8,16.96,17.6,412776.0
2019-01-09 05:30:00,NASDAQ:ASRT,17.96,18.36,16.32,16.4,309957.0
2019-01-10 05:30:00,NASDAQ:ASRT,16.6,17.004,15.92,16.52,165048.0
2019-01-11 05:30:00,NASDAQ:ASRT,16.64,17.32,16.28,17.24,100905.0
2019-01-14 05:30:00,NASDAQ:ASRT,17.24,17.44,16.8,16.88,90811.0
2019-01-15 05:30:00,NASDAQ:ASRT,17.0,17.24,16.68,17.0,59502.0
2019-01-16 05:30:00,NASDAQ:ASRT,17.08,17.6,16.48,16.88,89769.0
2019-01-17 05:30:00,NASDAQ:ASRT,16.88,17.04,16.52,16.8,58133.0
2019-01-18 05:30:00,NASDAQ:ASRT,16.88,17.0,16.56,16.72,166302.0
2019-01-22 05:30:00,NASDAQ:ASRT,16.6,16.6112,15.92,16.04,75288.0
2019-01-23 05:30:00,NASDAQ:ASRT,16.28,16.4012,15.48,15.72,135397.0
2019-01-24 05:30:00,NASDAQ:ASRT,15.76,15.8992,15.4,15.76,69296.0
2019-01-25 05:30:00,NASDAQ:ASRT,15.8,17.0,15.6,16.72,137595.0
2019-01-28 05:30:00,NASDAQ:ASRT,16.72,16.92,16.52,16.8,96022.0
2019-01-29 05:30:00,NASDAQ:ASRT,16.8,17.04,16.44,16.88,101454.0
2019-01-30 05:30:00,NASDAQ:ASRT,16.96,17.6,16.56,17.56,163231.0
2019-01-31 05:30:00,NASDAQ:ASRT,17.4,18.08,17.4,17.84,95776.0
2019-02-01 05:30:00,NASDAQ:ASRT,18.0,18.04,17.48,17.84,154263.0
2019-02-04 05:30:00,NASDAQ:ASRT,17.68,18.18,17.44,18.12,141266.0
2019-02-05 05:30:00,NASDAQ:ASRT,18.24,19.08,18.04,18.12,175233.0
2019-02-06 05:30:00,NASDAQ:ASRT,18.12,18.6,17.62,17.92,85334.0
2019-02-07 05:30:00,NASDAQ:ASRT,17.84,18.52,16.76,17.12,113338.0
2019-02-08 05:30:00,NASDAQ:ASRT,17.04,17.08,16.48,16.8,61168.0
2019-02-11 05:30:00,NASDAQ:ASRT,17.0,17.6,16.6,17.16,68624.0
2019-02-12 05:30:00,NASDAQ:ASRT,17.36,17.68,17.04,17.24,159877.0
2019-02-13 05:30:00,NASDAQ:ASRT,17.2,17.62,16.72,17.12,201969.0
2019-02-14 05:30:00,NASDAQ:ASRT,17.24,17.66,17.04,17.44,108272.0
2019-02-15 05:30:00,NASDAQ:ASRT,17.6,17.68,17.04,17.6,89238.0
