datetime,symbol,open,high,low,close,volume
2014-03-21 05:30:00,NYSE:ATEN,13.75,16.5,13.58,16.21,12704154.0
2014-03-24 05:30:00,NYSE:ATEN,16.26,16.3,15.07,15.25,686804.0
2014-03-25 05:30:00,NYSE:ATEN,15.45,15.45,15.0,15.2,685812.0
2014-03-26 05:30:00,NYSE:ATEN,15.11,15.25,13.63,14.01,1171314.0
2014-03-27 05:30:00,NYSE:ATEN,13.98,14.26,13.65,14.25,432835.0
2014-03-28 05:30:00,NYSE:ATEN,14.44,15.0,14.18,14.66,412703.0
2014-03-31 05:30:00,NYSE:ATEN,14.71,15.04,14.71,15.04,516939.0
2014-04-01 05:30:00,NYSE:ATEN,15.1,15.29,14.9,15.22,283056.0
2014-04-02 05:30:00,NYSE:ATEN,15.26,15.26,14.66,14.7,483278.0
2014-04-03 05:30:00,NYSE:ATEN,14.71,14.84,14.5,14.7,448967.0
2014-04-04 05:30:00,NYSE:ATEN,14.53,14.848,13.86,14.16,365771.0
2014-04-07 05:30:00,NYSE:ATEN,14.1,14.28,13.69,13.82,388542.0
2014-04-08 05:30:00,NYSE:ATEN,13.68,13.93,13.54,13.76,242891.0
2014-04-09 05:30:00,NYSE:ATEN,13.61,14.1165,13.505,13.87,308920.0
2014-04-10 05:30:00,NYSE:ATEN,14.0,14.12,12.92,13.33,613671.0
2014-04-11 05:30:00,NYSE:ATEN,13.17,13.629,13.15,13.56,607088.0
2014-04-14 05:30:00,NYSE:ATEN,13.85,14.12,13.71,14.12,540795.0
2014-04-15 05:30:00,NYSE:ATEN,14.08,14.6,13.73,14.47,550949.0
2014-04-16 05:30:00,NYSE:ATEN,15.4,15.4,14.8,15.02,546851.0
2014-04-17 05:30:00,NYSE:ATEN,14.92,15.25,14.3,14.74,364220.0
2014-04-21 05:30:00,NYSE:ATEN,14.51,15.12,14.26,14.27,253430.0
2014-04-22 05:30:00,NYSE:ATEN,14.28,14.57,13.92,14.25,95177.0
2014-04-23 05:30:00,NYSE:ATEN,14.3,14.42,13.38,13.54,247872.0
2014-04-24 05:30:00,NYSE:ATEN,13.73,13.73,12.6046,12.84,311840.0
2014-04-25 05:30:00,NYSE:ATEN,12.93,13.06,12.38,12.75,426412.0
2014-04-28 05:30:00,NYSE:ATEN,12.85,13.31,12.81,12.87,548565.0
2014-04-29 05:30:00,NYSE:ATEN,12.97,13.25,12.85,13.08,270432.0
2014-04-30 05:30:00,NYSE:ATEN,13.14,13.18,12.87,13.09,316290.0
2014-05-01 05:30:00,NYSE:ATEN,13.12,13.45,12.96,13.04,523106.0
2014-05-02 05:30:00,NYSE:ATEN,13.19,13.266,11.06,12.4,1524156.0
2014-05-05 05:30:00,NYSE:ATEN,12.27,12.81,11.92,12.27,154042.0
2014-05-06 05:30:00,NYSE:ATEN,12.29,12.399,11.64,11.66,104989.0
2014-05-07 05:30:00,NYSE:ATEN,11.65,11.73,10.2,11.52,347537.0
2014-05-08 05:30:00,NYSE:ATEN,11.46,11.75,11.25,11.56,234369.0
2014-05-09 05:30:00,NYSE:ATEN,11.5,12.12,11.39,12.12,281254.0
2014-05-12 05:30:00,NYSE:ATEN,11.97,12.29,11.85,12.2,248134.0
2014-05-13 05:30:00,NYSE:ATEN,12.23,12.8381,11.22,11.85,813148.0
2014-05-14 05:30:00,NYSE:ATEN,11.78,12.46,11.43,12.03,333989.0
2014-05-15 05:30:00,NYSE:ATEN,11.92,12.28,11.52,12.24,216426.0
2014-05-16 05:30:00,NYSE:ATEN,12.2,12.24,11.76,11.83,189076.0
2014-05-19 05:30:00,NYSE:ATEN,11.74,11.8,11.25,11.25,363254.0
2014-05-20 05:30:00,NYSE:ATEN,11.3,11.57,10.79,10.8,319635.0
2014-05-21 05:30:00,NYSE:ATEN,10.82,10.99,10.47,10.65,179446.0
2014-05-22 05:30:00,NYSE:ATEN,10.66,10.8,10.472,10.63,262709.0
2014-05-23 05:30:00,NYSE:ATEN,10.65,10.749,10.55,10.64,126258.0
2014-05-27 05:30:00,NYSE:ATEN,10.67,11.19,10.38,11.01,703724.0
2014-05-28 05:30:00,NYSE:ATEN,11.05,11.13,10.71,10.99,336096.0
2014-05-29 05:30:00,NYSE:ATEN,11.2,12.09,10.99,11.43,534486.0
2014-05-30 05:30:00,NYSE:ATEN,11.44,11.55,11.24,11.44,318103.0
2014-06-02 05:30:00,NYSE:ATEN,11.5,11.5999,10.94,11.14,320772.0
2014-06-03 05:30:00,NYSE:ATEN,11.11,11.27,10.84,11.0,303432.0
2014-06-04 05:30:00,NYSE:ATEN,11.0963,11.13,10.83,10.96,256597.0
2014-06-05 05:30:00,NYSE:ATEN,10.91,11.01,10.8,11.0,237882.0
2014-06-06 05:30:00,NYSE:ATEN,10.98,11.32,10.97,11.21,203922.0
