datetime,symbol,open,high,low,close,volume
2018-06-22 05:30:00,NASDAQ:AUTL,28.0,30.0,25.0,25.0,3153598.0
2018-06-25 05:30:00,NASDAQ:AUTL,24.7,26.95,24.07,26.19,478565.0
2018-06-26 05:30:00,NASDAQ:AUTL,26.51,27.96,25.5,27.75,380046.0
2018-06-27 05:30:00,NASDAQ:AUTL,27.79,27.79,25.345,26.64,180148.0
2018-06-28 05:30:00,NASDAQ:AUTL,25.076,26.81,25.076,26.18,186739.0
2018-06-29 05:30:00,NASDAQ:AUTL,26.24,26.9,24.572,26.79,169299.0
2018-07-02 05:30:00,NASDAQ:AUTL,26.72,27.735,24.77,25.03,149468.0
2018-07-03 05:30:00,NASDAQ:AUTL,25.21,25.4072,23.54,23.84,102040.0
2018-07-05 05:30:00,NASDAQ:AUTL,24.0,26.8202,23.86,26.36,138430.0
2018-07-06 05:30:00,NASDAQ:AUTL,26.33,27.3884,25.735,26.34,113306.0
2018-07-09 05:30:00,NASDAQ:AUTL,26.82,26.99,25.03,25.98,41577.0
2018-07-10 05:30:00,NASDAQ:AUTL,25.76,26.66,25.7346,25.91,29498.0
2018-07-11 05:30:00,NASDAQ:AUTL,25.8,26.24,22.8511,23.31,153172.0
2018-07-12 05:30:00,NASDAQ:AUTL,23.5,24.17,20.88,21.11,155581.0
2018-07-13 05:30:00,NASDAQ:AUTL,21.15,23.45,20.22,20.86,280033.0
2018-07-16 05:30:00,NASDAQ:AUTL,20.49,23.07,19.1733,22.75,359155.0
2018-07-17 05:30:00,NASDAQ:AUTL,23.4,24.8311,21.19,21.77,300753.0
2018-07-18 05:30:00,NASDAQ:AUTL,21.71,23.37,21.71,22.6,120258.0
2018-07-19 05:30:00,NASDAQ:AUTL,22.53,23.46,21.5256,23.36,67512.0
2018-07-20 05:30:00,NASDAQ:AUTL,23.09,25.59,23.09,25.2,95095.0
2018-07-23 05:30:00,NASDAQ:AUTL,25.5,26.75,24.23,24.91,59130.0
2018-07-24 05:30:00,NASDAQ:AUTL,25.18,25.18,23.25,23.5,37636.0
2018-07-25 05:30:00,NASDAQ:AUTL,23.6983,26.1,23.6983,24.35,178543.0
2018-07-26 05:30:00,NASDAQ:AUTL,24.25,25.56,23.66,24.49,65019.0
2018-07-27 05:30:00,NASDAQ:AUTL,24.5,24.93,23.6,24.21,49441.0
2018-07-30 05:30:00,NASDAQ:AUTL,24.59,24.9,23.16,23.68,75070.0
2018-07-31 05:30:00,NASDAQ:AUTL,23.76,23.8993,22.91,23.48,54920.0
2018-08-01 05:30:00,NASDAQ:AUTL,23.46,24.4825,22.78,23.36,181618.0
2018-08-02 05:30:00,NASDAQ:AUTL,23.3,24.4,22.251,23.85,204652.0
2018-08-03 05:30:00,NASDAQ:AUTL,23.82,25.9511,23.26,23.6,50612.0
2018-08-06 05:30:00,NASDAQ:AUTL,23.1,24.75,23.1,24.39,70271.0
2018-08-07 05:30:00,NASDAQ:AUTL,24.58,25.97,24.44,25.23,38326.0
2018-08-08 05:30:00,NASDAQ:AUTL,25.239,25.8399,24.886,25.28,18212.0
2018-08-09 05:30:00,NASDAQ:AUTL,25.12,25.938,24.84,24.84,9287.0
2018-08-10 05:30:00,NASDAQ:AUTL,24.64,26.9,24.64,26.9,30924.0
2018-08-13 05:30:00,NASDAQ:AUTL,26.9,28.25,25.56,27.9,29547.0
2018-08-14 05:30:00,NASDAQ:AUTL,27.92,28.48,26.01,27.67,38123.0
2018-08-15 05:30:00,NASDAQ:AUTL,27.61,28.75,26.73,28.5,99494.0
2018-08-16 05:30:00,NASDAQ:AUTL,28.5,31.849,27.4346,30.4,21710.0
2018-08-17 05:30:00,NASDAQ:AUTL,30.2,32.0,29.5632,30.63,45088.0
2018-08-20 05:30:00,NASDAQ:AUTL,30.43,31.4747,29.43,29.75,43444.0
2018-08-21 05:30:00,NASDAQ:AUTL,30.59,31.9691,29.15,29.15,12208.0
