datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:AXON,4.13,4.37,3.93,4.33,575288.0
2009-03-13 05:30:00,NASDAQ:AXON,4.17,4.35,4.13,4.21,331215.0
2009-03-16 05:30:00,NASDAQ:AXON,4.24,4.31,4.03,4.09,740155.0
2009-03-17 05:30:00,NASDAQ:AXON,4.04,4.26,3.75,4.16,763310.0
2009-03-18 05:30:00,NASDAQ:AXON,4.12,4.46,3.98,4.37,564870.0
2009-03-19 05:30:00,NASDAQ:AXON,4.43,4.4484,4.19,4.22,361233.0
2009-03-20 05:30:00,NASDAQ:AXON,4.27,4.3,4.01,4.08,680475.0
2009-03-23 05:30:00,NASDAQ:AXON,4.27,4.73,4.15,4.73,865491.0
2009-03-24 05:30:00,NASDAQ:AXON,4.58,4.81,4.52,4.73,516671.0
2009-03-25 05:30:00,NASDAQ:AXON,4.73,4.9884,4.37,4.69,507855.0
2009-03-26 05:30:00,NASDAQ:AXON,4.75,4.83,4.57,4.82,442092.0
2009-03-27 05:30:00,NASDAQ:AXON,4.69,4.95,4.55,4.62,545349.0
2009-03-30 05:30:00,NASDAQ:AXON,4.45,4.5,4.32,4.35,397575.0
2009-03-31 05:30:00,NASDAQ:AXON,4.43,4.96,4.39,4.68,699066.0
2009-04-01 05:30:00,NASDAQ:AXON,4.56,4.88,4.4,4.76,579854.0
2009-04-02 05:30:00,NASDAQ:AXON,4.88,4.99,4.7678,4.91,854032.0
2009-04-03 05:30:00,NASDAQ:AXON,4.87,4.94,4.68,4.8,720285.0
2009-04-06 05:30:00,NASDAQ:AXON,4.74,4.94,4.63,4.93,1148476.0
2009-04-07 05:30:00,NASDAQ:AXON,4.76,4.9401,4.73,4.79,744124.0
2009-04-08 05:30:00,NASDAQ:AXON,4.78,5.0,4.76,4.81,877713.0
2009-04-09 05:30:00,NASDAQ:AXON,4.92,5.3,4.85,5.24,817207.0
2009-04-13 05:30:00,NASDAQ:AXON,5.05,5.43,5.05,5.4,492293.0
2009-04-14 05:30:00,NASDAQ:AXON,5.27,5.36,4.86,4.88,941550.0
2009-04-15 05:30:00,NASDAQ:AXON,4.79,4.95,4.77,4.88,509559.0
2009-04-16 05:30:00,NASDAQ:AXON,4.93,5.15,4.89,5.09,514133.0
2009-04-17 05:30:00,NASDAQ:AXON,5.11,5.17,4.98,5.13,437322.0
2009-04-20 05:30:00,NASDAQ:AXON,4.97,5.02,4.68,4.72,571820.0
2009-04-21 05:30:00,NASDAQ:AXON,4.65,5.0,4.63,5.0,788874.0
2009-04-22 05:30:00,NASDAQ:AXON,4.87,5.25,4.87,5.11,909664.0
2009-04-23 05:30:00,NASDAQ:AXON,5.3,5.36,4.86,4.9,722410.0
2009-04-24 05:30:00,NASDAQ:AXON,4.95,5.0917,4.84,5.01,788303.0
2009-04-27 05:30:00,NASDAQ:AXON,4.88,5.01,4.74,4.75,939223.0
2009-04-28 05:30:00,NASDAQ:AXON,4.72,4.85,4.63,4.72,536054.0
2009-04-29 05:30:00,NASDAQ:AXON,4.74,5.0,4.74,4.98,418925.0
2009-04-30 05:30:00,NASDAQ:AXON,5.02,5.12,4.79,4.8,586981.0
