datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:BIG,19.64999,20.14999,19.59,20.06,4739934.0
2009-03-13 05:30:00,NYSE:BIG,20.0,20.62,19.8,20.13,4042647.0
2009-03-16 05:30:00,NYSE:BIG,20.37,20.59,19.45,19.61,3863317.0
2009-03-17 05:30:00,NYSE:BIG,19.60001,20.49001,19.50999,20.48,2925597.0
2009-03-18 05:30:00,NYSE:BIG,20.25999,21.2,19.89999,20.89999,3301589.0
2009-03-19 05:30:00,NYSE:BIG,20.83,21.0,20.34,20.58,3120594.0
2009-03-20 05:30:00,NYSE:BIG,20.57001,20.57001,19.28999,19.67999,3086204.0
2009-03-23 05:30:00,NYSE:BIG,20.21001,20.96001,19.729,20.95,2727949.0
2009-03-24 05:30:00,NYSE:BIG,20.69,20.97,20.32001,20.58,2708631.0
2009-03-25 05:30:00,NYSE:BIG,20.8,21.63,20.34,21.02,2653175.0
2009-03-26 05:30:00,NYSE:BIG,21.28,22.46001,21.10001,22.12,3272441.0
2009-03-27 05:30:00,NYSE:BIG,21.67,22.10001,21.42999,21.62,1156302.0
2009-03-30 05:30:00,NYSE:BIG,21.06,21.2,20.55009,21.17,1224078.0
2009-03-31 05:30:00,NYSE:BIG,21.21001,21.36,20.34,20.78,1554220.0
2009-04-01 05:30:00,NYSE:BIG,20.38,21.16,20.10001,21.06,2118295.0
2009-04-02 05:30:00,NYSE:BIG,21.52,22.83,21.44,22.11,2495876.0
2009-04-03 05:30:00,NYSE:BIG,21.8,22.53,21.75999,22.35001,2313983.0
2009-04-06 05:30:00,NYSE:BIG,22.22,22.25,21.36,21.78999,1927554.0
2009-04-07 05:30:00,NYSE:BIG,21.55,21.73,21.08,21.37,1319810.0
2009-04-08 05:30:00,NYSE:BIG,21.44,22.89999,21.44,22.83,2685751.0
2009-04-09 05:30:00,NYSE:BIG,23.25,24.31,22.75999,24.2,3317930.0
2009-04-13 05:30:00,NYSE:BIG,23.72,24.3,23.21001,24.02,2996265.0
2009-04-14 05:30:00,NYSE:BIG,23.97,24.82001,23.25999,24.07001,3393645.0
2009-04-15 05:30:00,NYSE:BIG,23.97,24.61,23.77,24.41,2752011.0
2009-04-16 05:30:00,NYSE:BIG,24.55,25.83,24.55,25.53,2365919.0
2009-04-17 05:30:00,NYSE:BIG,25.57001,26.03,25.39999,25.92,1576643.0
2009-04-20 05:30:00,NYSE:BIG,25.84,26.52,25.28999,25.53,3120300.0
2009-04-21 05:30:00,NYSE:BIG,25.47,26.03,25.0,25.97,2083373.0
2009-04-22 05:30:00,NYSE:BIG,25.48,27.41,25.28999,26.45,2389676.0
2009-04-23 05:30:00,NYSE:BIG,26.7,27.2,25.25,25.92,4033415.0
2009-04-24 05:30:00,NYSE:BIG,26.02,27.00999,26.00999,26.81,2492897.0
2009-04-27 05:30:00,NYSE:BIG,26.63,27.13,26.0,26.55,2471394.0
2009-04-28 05:30:00,NYSE:BIG,26.3,27.3,26.3,26.85001,2598814.0
2009-04-29 05:30:00,NYSE:BIG,27.06,27.39999,26.44,26.67999,3311348.0
2009-04-30 05:30:00,NYSE:BIG,27.03999,28.36,26.8,27.64,2670709.0
2009-05-01 05:30:00,NYSE:BIG,27.78,27.98,26.91,27.09,1446352.0
2009-05-04 05:30:00,NYSE:BIG,27.78,28.5,27.35001,28.35001,1919759.0
2009-05-05 05:30:00,NYSE:BIG,27.87,28.47,27.35001,27.60001,2162982.0
2009-05-06 05:30:00,NYSE:BIG,27.88,27.94,26.53,27.0,1951636.0
2009-05-07 05:30:00,NYSE:BIG,26.95,27.92999,25.03,25.57001,3876769.0
2009-05-08 05:30:00,NYSE:BIG,25.52,26.23,24.67,25.5,2129593.0
2009-05-11 05:30:00,NYSE:BIG,24.95,26.19,24.55,25.63,1959829.0
2009-05-12 05:30:00,NYSE:BIG,25.52,26.12,24.3,24.67999,2111890.0
2009-05-13 05:30:00,NYSE:BIG,24.25,24.50999,23.88,23.99001,1940108.0
2009-05-14 05:30:00,NYSE:BIG,24.03,24.77,23.84,24.08,1907084.0
