datetime,symbol,open,high,low,close,volume
2021-03-05 05:30:00,NASDAQ:BZFD,9.79,9.8,9.65,9.79,3041.0
2021-03-08 05:30:00,NASDAQ:BZFD,9.76,9.8551,9.76,9.77,8227.0
2021-03-09 05:30:00,NASDAQ:BZFD,9.77,9.99,9.68,9.99,56339.0
2021-03-10 05:30:00,NASDAQ:BZFD,9.72,10.94,9.69,9.91,195210.0
2021-03-11 05:30:00,NASDAQ:BZFD,10.15,10.15,9.92,9.99,736687.0
2021-03-12 05:30:00,NASDAQ:BZFD,9.98,9.98,9.91,9.96,367610.0
2021-03-15 05:30:00,NASDAQ:BZFD,10.0,10.0,9.84,9.94,220404.0
2021-03-16 05:30:00,NASDAQ:BZFD,9.95,9.964,9.86,9.95,84860.0
2021-03-17 05:30:00,NASDAQ:BZFD,9.9001,9.93,9.8201,9.88,18278.0
2021-03-18 05:30:00,NASDAQ:BZFD,9.89,9.89,9.83,9.85,471594.0
2021-03-19 05:30:00,NASDAQ:BZFD,9.79,9.92,9.78,9.9,604173.0
2021-03-22 05:30:00,NASDAQ:BZFD,9.89,10.03,9.7701,10.03,129525.0
2021-03-23 05:30:00,NASDAQ:BZFD,9.9,9.96,9.75,9.84,242122.0
2021-03-24 05:30:00,NASDAQ:BZFD,9.81,9.85,9.65,9.71,230426.0
2021-03-25 05:30:00,NASDAQ:BZFD,9.609,9.6869,9.6025,9.66,40203.0
2021-03-26 05:30:00,NASDAQ:BZFD,9.63,9.82,9.63,9.75,17281.0
2021-03-29 05:30:00,NASDAQ:BZFD,9.7,9.8,9.69,9.8,153536.0
2021-03-30 05:30:00,NASDAQ:BZFD,9.785,9.8095,9.6216,9.74,56652.0
2021-03-31 05:30:00,NASDAQ:BZFD,9.77,9.77,9.66,9.69,127184.0
2021-04-01 05:30:00,NASDAQ:BZFD,9.74,9.83,9.7,9.74,5093.0
2021-04-05 05:30:00,NASDAQ:BZFD,9.83,9.83,9.73,9.79,134690.0
2021-04-06 05:30:00,NASDAQ:BZFD,9.79,9.82,9.76,9.81,18705.0
2021-04-07 05:30:00,NASDAQ:BZFD,9.779,9.85,9.779,9.85,34629.0
2021-04-08 05:30:00,NASDAQ:BZFD,9.8,9.9,9.8,9.9,23626.0
2021-04-09 05:30:00,NASDAQ:BZFD,9.8965,9.97,9.81,9.9351,67124.0
2021-04-12 05:30:00,NASDAQ:BZFD,9.85,9.885,9.77,9.87,122080.0
2021-04-13 05:30:00,NASDAQ:BZFD,9.81,9.87,9.81,9.8665,1294.0
2021-04-14 05:30:00,NASDAQ:BZFD,9.818,9.92,9.818,9.91,13660.0
2021-04-15 05:30:00,NASDAQ:BZFD,9.86,9.9,9.8,9.81,197355.0
2021-04-16 05:30:00,NASDAQ:BZFD,9.85,9.85,9.79,9.83,19804.0
2021-04-19 05:30:00,NASDAQ:BZFD,9.8,9.85,9.79,9.8,7046.0
2021-04-20 05:30:00,NASDAQ:BZFD,9.76,9.85,9.69,9.78,109821.0
2021-04-21 05:30:00,NASDAQ:BZFD,9.76,9.79,9.74,9.78,20960.0
2021-04-22 05:30:00,NASDAQ:BZFD,9.75,9.805,9.75,9.79,5342.0
2021-04-23 05:30:00,NASDAQ:BZFD,9.8,9.85,9.8,9.85,7609.0
2021-04-26 05:30:00,NASDAQ:BZFD,9.7854,9.85,9.7854,9.8101,2544.0
2021-04-27 05:30:00,NASDAQ:BZFD,9.78,9.84,9.76,9.77,10229.0
2021-04-28 05:30:00,NASDAQ:BZFD,9.8027,9.8027,9.79,9.79,280.0
2021-04-29 05:30:00,NASDAQ:BZFD,9.81,9.86,9.77,9.83,49862.0
2021-04-30 05:30:00,NASDAQ:BZFD,9.78,9.88,9.76,9.86,50435.0
2021-05-03 05:30:00,NASDAQ:BZFD,9.8003,9.84,9.8,9.84,5616.0
2021-05-04 05:30:00,NASDAQ:BZFD,9.84,9.93,9.79,9.93,239425.0
2021-05-05 05:30:00,NASDAQ:BZFD,9.83,9.84,9.8,9.8,35959.0
2021-05-06 05:30:00,NASDAQ:BZFD,9.79,9.8119,9.79,9.8001,8257.0
2021-05-07 05:30:00,NASDAQ:BZFD,9.8,9.8001,9.78,9.78,18663.0
2021-05-10 05:30:00,NASDAQ:BZFD,9.78,9.795,9.78,9.7898,1128.0
2021-05-11 05:30:00,NASDAQ:BZFD,9.78,9.85,9.75,9.75,272481.0
2021-05-12 05:30:00,NASDAQ:BZFD,9.78,9.78,9.73,9.74,56024.0
2021-05-13 05:30:00,NASDAQ:BZFD,9.74,9.74,9.68,9.69,17051.0
2021-05-14 05:30:00,NASDAQ:BZFD,9.7,9.7139,9.7,9.7139,1535.0
2021-05-17 05:30:00,NASDAQ:BZFD,9.7,9.7,9.59,9.7,266794.0
2021-05-18 05:30:00,NASDAQ:BZFD,9.6838,9.7,9.66,9.66,253548.0
2021-05-19 05:30:00,NASDAQ:BZFD,9.7,9.71,9.67,9.68,74059.0
2021-05-20 05:30:00,NASDAQ:BZFD,9.7,9.71,9.61,9.63,159113.0
2021-05-21 05:30:00,NASDAQ:BZFD,9.63,9.65,9.62,9.65,125082.0
2021-05-24 05:30:00,NASDAQ:BZFD,9.6798,9.715,9.675,9.7,21264.0
2021-05-25 05:30:00,NASDAQ:BZFD,9.71,9.72,9.66,9.71,5524.0
2021-05-26 05:30:00,NASDAQ:BZFD,9.72,9.73,9.67,9.68,3981.0
2021-05-27 05:30:00,NASDAQ:BZFD,9.69,9.69,9.66,9.665,7140.0
2021-06-01 05:30:00,NASDAQ:BZFD,9.69,9.72,9.65,9.66,14536.0
2021-06-03 05:30:00,NASDAQ:BZFD,9.57,9.69,9.57,9.69,1667.0
2021-06-04 05:30:00,NASDAQ:BZFD,9.698,9.74,9.698,9.74,1738.0
2021-06-07 05:30:00,NASDAQ:BZFD,9.68,9.69,9.68,9.69,974.0
2021-06-08 05:30:00,NASDAQ:BZFD,9.638,9.68,9.638,9.68,2393.0
2021-06-09 05:30:00,NASDAQ:BZFD,9.66,9.742,9.66,9.742,6800.0
2021-06-10 05:30:00,NASDAQ:BZFD,9.72,9.81,9.7,9.8,56798.0
2021-06-11 05:30:00,NASDAQ:BZFD,9.84,9.85,9.81,9.85,12372.0
2021-06-14 05:30:00,NASDAQ:BZFD,9.89,9.89,9.74,9.8,9165.0
2021-06-15 05:30:00,NASDAQ:BZFD,9.82,9.82,9.8,9.81,1720.0
2021-06-16 05:30:00,NASDAQ:BZFD,9.8101,9.84,9.8,9.8,7698.0
2021-06-17 05:30:00,NASDAQ:BZFD,9.81,9.81,9.8,9.8,27233.0
2021-06-18 05:30:00,NASDAQ:BZFD,9.77,9.77,9.77,9.77,231.0
2021-06-21 05:30:00,NASDAQ:BZFD,9.8,9.844,9.8,9.8,10073.0
2021-06-23 05:30:00,NASDAQ:BZFD,9.79,9.8499,9.7,9.78,147427.0
2021-06-24 05:30:00,NASDAQ:BZFD,9.93,9.93,9.84,9.87,2615266.0
2021-06-25 05:30:00,NASDAQ:BZFD,9.91,9.94,9.87,9.94,802816.0
2021-06-28 05:30:00,NASDAQ:BZFD,9.94,9.94,9.89,9.9,941063.0
2021-06-29 05:30:00,NASDAQ:BZFD,9.91,9.9191,9.88,9.9,1392618.0
2021-06-30 05:30:00,NASDAQ:BZFD,9.9,9.9044,9.84,9.86,877149.0
2021-07-01 05:30:00,NASDAQ:BZFD,9.87,9.87,9.7901,9.86,736734.0
2021-07-02 05:30:00,NASDAQ:BZFD,9.87,9.87,9.85,9.87,58994.0
2021-07-06 05:30:00,NASDAQ:BZFD,9.87,9.875,9.85,9.87,97966.0
2021-07-07 05:30:00,NASDAQ:BZFD,9.8776,9.89,9.86,9.87,81467.0
2021-07-08 05:30:00,NASDAQ:BZFD,9.85,9.89,9.85,9.87,43381.0
2021-07-09 05:30:00,NASDAQ:BZFD,9.89,9.89,9.8601,9.87,86785.0
2021-07-12 05:30:00,NASDAQ:BZFD,9.91,9.91,9.87,9.88,171745.0
2021-07-13 05:30:00,NASDAQ:BZFD,9.89,9.9,9.87,9.88,82813.0
2021-07-14 05:30:00,NASDAQ:BZFD,9.92,9.92,9.88,9.91,54843.0
2021-07-15 05:30:00,NASDAQ:BZFD,9.91,9.91,9.85,9.88,159131.0
2021-07-16 05:30:00,NASDAQ:BZFD,9.88,9.88,9.85,9.88,17524.0
2021-07-19 05:30:00,NASDAQ:BZFD,9.86,9.9,9.85,9.88,72451.0
2021-07-20 05:30:00,NASDAQ:BZFD,9.88,9.89,9.86,9.89,42981.0
2021-07-21 05:30:00,NASDAQ:BZFD,9.89,9.91,9.87,9.88,53705.0
2021-07-22 05:30:00,NASDAQ:BZFD,9.86,9.88,9.85,9.87,104514.0
2021-07-23 05:30:00,NASDAQ:BZFD,9.86,9.88,9.86,9.88,46123.0
2021-07-26 05:30:00,NASDAQ:BZFD,9.86,9.9,9.85,9.88,83722.0
2021-07-27 05:30:00,NASDAQ:BZFD,9.87,9.88,9.86,9.87,21503.0
2021-07-28 05:30:00,NASDAQ:BZFD,9.88,9.91,9.86,9.87,86010.0
2021-07-29 05:30:00,NASDAQ:BZFD,9.89,9.89,9.82,9.85,107748.0
2021-07-30 05:30:00,NASDAQ:BZFD,9.86,9.92,9.84,9.91,311667.0
2021-08-02 05:30:00,NASDAQ:BZFD,9.89,9.9,9.87,9.87,85344.0
2021-08-03 05:30:00,NASDAQ:BZFD,9.88,9.88,9.84,9.84,41193.0
2021-08-04 05:30:00,NASDAQ:BZFD,9.81,9.8599,9.81,9.85,20063.0
2021-08-05 05:30:00,NASDAQ:BZFD,9.87,9.87,9.84,9.8401,69340.0
2021-08-06 05:30:00,NASDAQ:BZFD,9.92,9.92,9.84,9.86,25085.0
2021-08-09 05:30:00,NASDAQ:BZFD,9.86,9.88,9.85,9.86,19589.0
