datetime,symbol,open,high,low,close,volume
2015-05-29 05:30:00,NYSE:CAL,31.78,31.8297,30.71,30.93,213113.0
2015-06-01 05:30:00,NYSE:CAL,31.0,31.74,30.61,30.7,329896.0
2015-06-02 05:30:00,NYSE:CAL,30.66,31.65,30.52,31.11,275436.0
2015-06-03 05:30:00,NYSE:CAL,31.07,32.175,30.81,31.85,407212.0
2015-06-04 05:30:00,NYSE:CAL,31.92,32.45,31.68,32.37,247523.0
2015-06-05 05:30:00,NYSE:CAL,32.24,32.66,31.93,32.48,204351.0
2015-06-08 05:30:00,NYSE:CAL,32.33,32.819,32.28,32.41,167368.0
2015-06-09 05:30:00,NYSE:CAL,32.2,32.49,31.56,31.92,173348.0
2015-06-10 05:30:00,NYSE:CAL,32.16,32.51,31.79,31.87,234974.0
2015-06-11 05:30:00,NYSE:CAL,31.83,32.42,31.729,32.14,155424.0
2015-06-12 05:30:00,NYSE:CAL,32.14,32.43,31.91,32.31,133668.0
2015-06-15 05:30:00,NYSE:CAL,32.25,32.47,31.56,32.06,219845.0
2015-06-16 05:30:00,NYSE:CAL,31.8,32.3,31.5,32.17,139762.0
2015-06-17 05:30:00,NYSE:CAL,32.28,32.37,31.87,32.22,150198.0
2015-06-18 05:30:00,NYSE:CAL,32.2,32.91,32.096,32.8,198196.0
2015-06-19 05:30:00,NYSE:CAL,32.92,33.32,32.606,32.91,326022.0
2015-06-22 05:30:00,NYSE:CAL,33.04,33.09,32.37,32.5,215672.0
2015-06-23 05:30:00,NYSE:CAL,32.46,33.06,32.41,32.9,149580.0
2015-06-24 05:30:00,NYSE:CAL,32.82,33.04,32.48,32.57,141569.0
2015-06-25 05:30:00,NYSE:CAL,32.69,32.69,32.15,32.45,138408.0
2015-06-26 05:30:00,NYSE:CAL,32.64,33.2,32.31,32.63,526419.0
2015-06-29 05:30:00,NYSE:CAL,32.53,32.81,31.41,31.52,253076.0
2015-06-30 05:30:00,NYSE:CAL,31.66,31.95,31.45,31.78,245503.0
2015-07-01 05:30:00,NYSE:CAL,31.99,32.52,31.76,32.47,172483.0
2015-07-02 05:30:00,NYSE:CAL,32.6,32.925,32.32,32.56,323770.0
2015-07-06 05:30:00,NYSE:CAL,32.07,32.83,31.81,32.16,192473.0
2015-07-07 05:30:00,NYSE:CAL,32.11,32.25,31.39,32.04,173147.0
2015-07-08 05:30:00,NYSE:CAL,32.54,32.54,31.62,31.89,287948.0
2015-07-09 05:30:00,NYSE:CAL,32.29,32.31,31.64,32.06,335639.0
2015-07-10 05:30:00,NYSE:CAL,32.35,32.49,31.95,32.2,107275.0
2015-07-13 05:30:00,NYSE:CAL,32.47,32.9784,32.335,32.72,277200.0
2015-07-14 05:30:00,NYSE:CAL,32.73,32.87,32.41,32.7,171905.0
2015-07-15 05:30:00,NYSE:CAL,32.64,32.87,32.25,32.61,209485.0
2015-07-16 05:30:00,NYSE:CAL,32.85,33.57,32.61,33.24,339247.0
2015-07-17 05:30:00,NYSE:CAL,33.14,33.38,32.95,33.03,155478.0
2015-07-20 05:30:00,NYSE:CAL,33.51,33.83,32.86,33.03,296514.0
2015-07-21 05:30:00,NYSE:CAL,33.0,33.0,32.29,32.6,350166.0
2015-07-22 05:30:00,NYSE:CAL,32.44,32.925,32.35,32.75,131753.0
2015-07-23 05:30:00,NYSE:CAL,32.75,32.91,32.0901,32.21,209866.0
2015-07-24 05:30:00,NYSE:CAL,32.17,32.17,31.38,31.43,190777.0
2015-07-27 05:30:00,NYSE:CAL,31.21,31.54,30.9,31.5,161210.0
2015-07-28 05:30:00,NYSE:CAL,31.56,31.84,31.0,31.8,226420.0
2015-07-29 05:30:00,NYSE:CAL,31.84,32.64,31.44,32.54,345387.0
2015-07-30 05:30:00,NYSE:CAL,32.4,33.25,32.36,32.67,201951.0
2015-07-31 05:30:00,NYSE:CAL,32.69,33.18,32.52,33.04,153574.0
2015-08-03 05:30:00,NYSE:CAL,33.03,33.2,32.57,32.94,220595.0
2015-08-04 05:30:00,NYSE:CAL,32.9,33.28,32.85,32.89,171574.0
2015-08-05 05:30:00,NYSE:CAL,33.1,33.48,32.86,33.21,108616.0
2015-08-06 05:30:00,NYSE:CAL,33.17,33.17,32.25,32.44,159546.0
2015-08-07 05:30:00,NYSE:CAL,32.26,32.57,31.96,32.0,153288.0
2015-08-10 05:30:00,NYSE:CAL,32.24,32.42,31.84,32.18,193608.0
2015-08-11 05:30:00,NYSE:CAL,32.0,32.27,31.83,32.2,92140.0
2015-08-12 05:30:00,NYSE:CAL,31.97,32.0,31.35,31.84,118511.0
2015-08-13 05:30:00,NYSE:CAL,31.85,32.52,31.71,32.38,176697.0
2015-08-14 05:30:00,NYSE:CAL,32.4,32.76,32.36,32.68,136093.0
2015-08-17 05:30:00,NYSE:CAL,32.52,33.28,32.39,33.28,130399.0
2015-08-18 05:30:00,NYSE:CAL,33.13,33.57,33.09,33.36,245272.0
2015-08-19 05:30:00,NYSE:CAL,33.11,33.73,32.87,33.63,198484.0
2015-08-20 05:30:00,NYSE:CAL,33.22,33.27,32.49,32.54,162208.0
2015-08-21 05:30:00,NYSE:CAL,31.25,32.51,31.25,31.71,279057.0
