datetime,symbol,open,high,low,close,volume
2013-11-13 05:30:00,NYSE:CHGG,11.0,11.25,9.5,9.68,17261676.0
2013-11-14 05:30:00,NYSE:CHGG,9.8,9.93,8.56,8.88,3125275.0
2013-11-15 05:30:00,NYSE:CHGG,9.0,9.6,8.82,9.13,1987579.0
2013-11-18 05:30:00,NYSE:CHGG,9.25,9.5,8.89,9.0,724615.0
2013-11-19 05:30:00,NYSE:CHGG,9.0,9.1,8.68,8.72,671886.0
2013-11-20 05:30:00,NYSE:CHGG,8.69,8.908,7.93,7.97,777417.0
2013-11-21 05:30:00,NYSE:CHGG,8.29,8.29,7.81,7.86,738924.0
2013-11-22 05:30:00,NYSE:CHGG,7.96,7.98,7.45,7.49,1239159.0
2013-11-25 05:30:00,NYSE:CHGG,7.37,7.89,7.31,7.72,894220.0
2013-11-26 05:30:00,NYSE:CHGG,7.76,8.47,7.73,8.15,1395442.0
2013-11-27 05:30:00,NYSE:CHGG,8.1,8.6,8.1,8.39,677914.0
2013-11-29 05:30:00,NYSE:CHGG,8.45,8.53,8.21,8.21,258864.0
2013-12-02 05:30:00,NYSE:CHGG,8.29,8.89,8.2,8.83,833554.0
2013-12-03 05:30:00,NYSE:CHGG,8.85,9.25,8.62,9.2,1089398.0
2013-12-04 05:30:00,NYSE:CHGG,9.08,9.51,8.85,9.44,842575.0
2013-12-05 05:30:00,NYSE:CHGG,9.28,9.6599,9.28,9.49,615200.0
2013-12-06 05:30:00,NYSE:CHGG,9.7,9.7999,9.23,9.57,455388.0
2013-12-09 05:30:00,NYSE:CHGG,9.66,9.6799,8.84,8.89,1052910.0
2013-12-10 05:30:00,NYSE:CHGG,9.01,9.19,8.95,9.0,621977.0
2013-12-11 05:30:00,NYSE:CHGG,8.99,9.1599,8.51,8.58,593073.0
2013-12-12 05:30:00,NYSE:CHGG,8.51,8.6799,8.0,8.2,840437.0
2013-12-13 05:30:00,NYSE:CHGG,8.2,8.34,7.96,8.01,812746.0
2013-12-16 05:30:00,NYSE:CHGG,8.02,8.4999,8.02,8.28,530236.0
2013-12-17 05:30:00,NYSE:CHGG,8.33,8.4,8.09,8.29,402012.0
2013-12-18 05:30:00,NYSE:CHGG,8.35,8.37,8.15,8.28,342314.0
