datetime,symbol,open,high,low,close,volume
2020-12-07 05:30:00,NASDAQ:CIFR,9.8,9.92,9.7,9.8,278797.0
2020-12-08 05:30:00,NASDAQ:CIFR,9.8,9.85,9.8,9.84,46387.0
2020-12-09 05:30:00,NASDAQ:CIFR,9.85,9.89,9.83,9.86,718834.0
2020-12-10 05:30:00,NASDAQ:CIFR,9.91,9.91,9.86,9.88,44811.0
2020-12-11 05:30:00,NASDAQ:CIFR,9.93,9.94,9.8999,9.9,28966.0
2020-12-14 05:30:00,NASDAQ:CIFR,9.94,9.9434,9.88,9.89,40379.0
2020-12-15 05:30:00,NASDAQ:CIFR,9.9189,9.92,9.89,9.89,42963.0
2020-12-16 05:30:00,NASDAQ:CIFR,9.91,9.95,9.9074,9.91,11925.0
2020-12-17 05:30:00,NASDAQ:CIFR,9.96,9.99,9.91,9.91,554064.0
2020-12-18 05:30:00,NASDAQ:CIFR,9.92,9.95,9.92,9.93,11490.0
2020-12-21 05:30:00,NASDAQ:CIFR,9.94,9.9744,9.89,9.9,17026.0
2020-12-22 05:30:00,NASDAQ:CIFR,9.91,9.95,9.91,9.93,21409.0
2020-12-23 05:30:00,NASDAQ:CIFR,9.95,9.99,9.935,9.95,36392.0
2020-12-24 05:30:00,NASDAQ:CIFR,10.0,10.0,9.925,9.95,38067.0
2020-12-28 05:30:00,NASDAQ:CIFR,10.01,10.53,9.92,10.0,90661.0
2020-12-29 05:30:00,NASDAQ:CIFR,10.0,10.05,9.8976,9.99,274192.0
2020-12-30 05:30:00,NASDAQ:CIFR,10.0,10.05,9.94,10.0,73097.0
2020-12-31 05:30:00,NASDAQ:CIFR,9.98,9.98,9.93,9.95,16520.0
2021-01-04 05:30:00,NASDAQ:CIFR,9.965,10.01,9.94,9.98,89804.0
2021-01-05 05:30:00,NASDAQ:CIFR,9.99,9.99,9.94,9.96,128036.0
2021-01-06 05:30:00,NASDAQ:CIFR,10.03,10.04,9.9776,10.02,80585.0
2021-01-07 05:30:00,NASDAQ:CIFR,10.06,10.09,10.02,10.05,274178.0
2021-01-08 05:30:00,NASDAQ:CIFR,10.1,10.15,10.06,10.06,143903.0
2021-01-11 05:30:00,NASDAQ:CIFR,10.13,10.19,10.1,10.135,111853.0
2021-01-12 05:30:00,NASDAQ:CIFR,10.16,10.2,10.1502,10.2,277947.0
2021-01-13 05:30:00,NASDAQ:CIFR,10.2,10.2,10.1799,10.18,24842.0
2021-01-14 05:30:00,NASDAQ:CIFR,10.25,10.25,10.14,10.18,72235.0
2021-01-15 05:30:00,NASDAQ:CIFR,10.19,10.21,10.14,10.15,26139.0
2021-01-19 05:30:00,NASDAQ:CIFR,10.15,10.2,10.14,10.2,52239.0
2021-01-20 05:30:00,NASDAQ:CIFR,10.2,10.25,10.13,10.24,77723.0
2021-01-21 05:30:00,NASDAQ:CIFR,10.24,10.26,10.2,10.25,272511.0
2021-01-22 05:30:00,NASDAQ:CIFR,10.22,10.45,10.22,10.365,167931.0
2021-01-25 05:30:00,NASDAQ:CIFR,10.42,10.45,10.32,10.43,129055.0
2021-01-26 05:30:00,NASDAQ:CIFR,10.4,10.45,10.37,10.37,334828.0
2021-01-27 05:30:00,NASDAQ:CIFR,10.3,10.48,10.25,10.31,199471.0
2021-01-28 05:30:00,NASDAQ:CIFR,10.31,10.38,10.25,10.34,62324.0
2021-01-29 05:30:00,NASDAQ:CIFR,10.34,10.34,10.2,10.26,32197.0
2021-02-01 05:30:00,NASDAQ:CIFR,10.3,10.35,10.255,10.3499,4724.0
