datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:CIM,14.35,15.1,14.1,14.95,106238.0
2009-03-13 05:30:00,NYSE:CIM,15.0,15.2,14.5,15.05,99017.0
2009-03-16 05:30:00,NYSE:CIM,15.0,15.2,13.1,13.25,187218.0
2009-03-17 05:30:00,NYSE:CIM,13.3,13.7,12.75,13.1,677140.0
2009-03-18 05:30:00,NYSE:CIM,13.05,15.5,12.8,14.5,710424.0
2009-03-19 05:30:00,NYSE:CIM,14.9,15.65,14.4,14.5,204691.0
2009-03-20 05:30:00,NYSE:CIM,14.75,14.9,13.05,13.05,173685.0
2009-03-23 05:30:00,NYSE:CIM,14.2,15.8,13.9,15.75,816585.0
2009-03-24 05:30:00,NYSE:CIM,15.45,17.83,15.45,16.75,435146.0
2009-03-25 05:30:00,NYSE:CIM,17.05,17.45,15.5,16.85,271589.0
2009-03-26 05:30:00,NYSE:CIM,17.15,17.9,16.8,17.45,252318.0
2009-03-27 05:30:00,NYSE:CIM,17.55,17.75,16.1,16.4,97124.0
2009-03-30 05:30:00,NYSE:CIM,15.85,16.45,15.0,15.3,100732.0
2009-03-31 05:30:00,NYSE:CIM,15.55,17.05,15.3,16.8,64834.0
2009-04-01 05:30:00,NYSE:CIM,16.35,17.4,15.65,17.25,79570.0
2009-04-02 05:30:00,NYSE:CIM,17.5,18.2,17.5,18.1,243106.0
2009-04-03 05:30:00,NYSE:CIM,18.1,18.85,17.8,18.25,149921.0
2009-04-06 05:30:00,NYSE:CIM,18.0,18.0,16.05,16.45,234542.0
2009-04-07 05:30:00,NYSE:CIM,15.85,16.45,15.65,15.65,67182.0
2009-04-08 05:30:00,NYSE:CIM,15.9,16.5,15.2,15.9,99527.0
2009-04-09 05:30:00,NYSE:CIM,16.45,17.8,16.15,17.55,98117.0
2009-04-13 05:30:00,NYSE:CIM,17.3,17.3,15.6,16.6,194695.0
2009-04-14 05:30:00,NYSE:CIM,16.3,16.8,16.0,16.4,436654.0
2009-04-15 05:30:00,NYSE:CIM,15.95,17.5,15.0,16.25,1240228.0
2009-04-16 05:30:00,NYSE:CIM,15.3,17.15,14.75,16.75,19699488.0
2009-04-17 05:30:00,NYSE:CIM,16.4,17.5,15.8,17.0,3639788.0
2009-04-20 05:30:00,NYSE:CIM,16.4,17.5,16.0,16.15,2269010.0
