datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:COLB,4.99,6.24,4.76,5.94,215483.0
2009-03-13 05:30:00,NASDAQ:COLB,6.01,6.6,5.86,6.23,194884.0
2009-03-16 05:30:00,NASDAQ:COLB,6.35,6.48,5.79,5.88,117487.0
2009-03-17 05:30:00,NASDAQ:COLB,6.39,6.77,5.8205,6.74,125927.0
2009-03-18 05:30:00,NASDAQ:COLB,6.72,6.93,6.51,6.79,190777.0
2009-03-19 05:30:00,NASDAQ:COLB,6.94,7.0,6.57,6.77,114508.0
2009-03-20 05:30:00,NASDAQ:COLB,6.86,6.96,6.51,6.52,108128.0
2009-03-23 05:30:00,NASDAQ:COLB,6.75,7.31,6.48,7.26,162943.0
2009-03-24 05:30:00,NASDAQ:COLB,7.14,7.62,6.91,6.96,77424.0
2009-03-25 05:30:00,NASDAQ:COLB,6.96,7.556,6.86,7.34,139344.0
2009-03-26 05:30:00,NASDAQ:COLB,7.52,7.75,7.13,7.74,96125.0
2009-03-27 05:30:00,NASDAQ:COLB,7.38,7.72,6.65,6.67,130093.0
2009-03-30 05:30:00,NASDAQ:COLB,6.5,6.5,5.96,5.97,120948.0
2009-03-31 05:30:00,NASDAQ:COLB,6.09,7.0,5.95,6.4,128346.0
2009-04-01 05:30:00,NASDAQ:COLB,6.22,6.56,5.93,6.54,122557.0
2009-04-02 05:30:00,NASDAQ:COLB,6.73,7.32,6.69,7.14,171412.0
2009-04-03 05:30:00,NASDAQ:COLB,7.2,7.448,6.96,7.44,68562.0
2009-04-06 05:30:00,NASDAQ:COLB,7.41,7.49,6.9101,7.45,147433.0
2009-04-07 05:30:00,NASDAQ:COLB,7.28,7.62,7.25,7.27,140446.0
2009-04-08 05:30:00,NASDAQ:COLB,7.36,7.49,6.9,7.4,100290.0
2009-04-09 05:30:00,NASDAQ:COLB,7.65,8.78,7.63,8.72,134781.0
2009-04-13 05:30:00,NASDAQ:COLB,8.54,9.36,8.54,9.18,143211.0
2009-04-14 05:30:00,NASDAQ:COLB,8.95,9.19,8.37,8.48,112315.0
2009-04-15 05:30:00,NASDAQ:COLB,8.42,8.912,8.42,8.81,63618.0
2009-04-16 05:30:00,NASDAQ:COLB,9.07,9.74,8.48,9.5,126361.0
2009-04-17 05:30:00,NASDAQ:COLB,9.55,10.25,9.25,10.03,129954.0
2009-04-20 05:30:00,NASDAQ:COLB,9.69,9.69,8.22,8.46,130225.0
2009-04-21 05:30:00,NASDAQ:COLB,8.38,9.0425,7.75,9.01,176162.0
2009-04-22 05:30:00,NASDAQ:COLB,8.51,9.32,8.51,9.13,155012.0
2009-04-23 05:30:00,NASDAQ:COLB,9.17,9.82,9.075,9.45,109339.0
2009-04-24 05:30:00,NASDAQ:COLB,9.56,10.71,9.32,10.47,199155.0
2009-04-27 05:30:00,NASDAQ:COLB,10.05,10.2,9.48,9.84,158206.0
2009-04-28 05:30:00,NASDAQ:COLB,9.67,10.18,9.51,9.82,135193.0
2009-04-29 05:30:00,NASDAQ:COLB,9.97,10.49,9.72,10.27,96942.0
2009-04-30 05:30:00,NASDAQ:COLB,10.3,10.53,9.9,9.9,148712.0
