datetime,symbol,open,high,low,close,volume
2013-05-23 05:30:00,NYSE:CSTM,13.5,14.65,13.26,14.53,9415871.0
2013-05-24 05:30:00,NYSE:CSTM,14.94,15.0,14.7,14.82,2020496.0
2013-05-28 05:30:00,NYSE:CSTM,14.87,15.15,14.83,14.85,1747486.0
2013-05-29 05:30:00,NYSE:CSTM,14.84,14.98,14.6,14.63,462040.0
2013-05-30 05:30:00,NYSE:CSTM,14.74,14.82,14.65,14.78,556806.0
2013-05-31 05:30:00,NYSE:CSTM,14.7,14.85,14.7,14.7,414246.0
2013-06-03 05:30:00,NYSE:CSTM,14.9,15.18,14.72,15.01,558807.0
2013-06-04 05:30:00,NYSE:CSTM,15.01,15.64,14.95,15.06,580481.0
2013-06-05 05:30:00,NYSE:CSTM,15.0,15.09,14.9,14.98,261215.0
2013-06-06 05:30:00,NYSE:CSTM,14.95,15.1,14.93,14.95,130182.0
2013-06-07 05:30:00,NYSE:CSTM,14.98,15.16,14.98,15.04,188328.0
2013-06-10 05:30:00,NYSE:CSTM,15.0,15.17,14.96,15.11,227359.0
2013-06-11 05:30:00,NYSE:CSTM,14.92,15.09,14.75,14.82,575468.0
2013-06-12 05:30:00,NYSE:CSTM,14.99,15.09,14.82,14.88,227249.0
2013-06-13 05:30:00,NYSE:CSTM,14.95,15.02,14.9,14.95,183395.0
2013-06-14 05:30:00,NYSE:CSTM,14.95,15.15,14.94,15.15,344768.0
2013-06-17 05:30:00,NYSE:CSTM,15.26,15.26,14.95,15.03,314953.0
2013-06-18 05:30:00,NYSE:CSTM,15.0,15.25,15.0,15.21,229222.0
2013-06-19 05:30:00,NYSE:CSTM,15.21,15.62,15.13,15.43,308526.0
2013-06-20 05:30:00,NYSE:CSTM,15.23,15.6,15.16,15.46,564923.0
2013-06-21 05:30:00,NYSE:CSTM,15.54,15.54,15.26,15.32,292579.0
2013-06-24 05:30:00,NYSE:CSTM,15.2,15.35,14.78,15.15,470761.0
2013-06-25 05:30:00,NYSE:CSTM,15.26,15.26,14.93,14.98,675537.0
2013-06-26 05:30:00,NYSE:CSTM,15.07,15.26,14.94,15.1,402250.0
2013-06-27 05:30:00,NYSE:CSTM,15.18,16.0,15.09,15.88,360182.0
2013-06-28 05:30:00,NYSE:CSTM,15.91,16.47,15.73,16.14999,371186.0
2013-07-01 05:30:00,NYSE:CSTM,16.24001,16.81,16.125,16.25,354771.0
2013-07-02 05:30:00,NYSE:CSTM,16.39999,16.59,15.75,15.86,398931.0
2013-07-03 05:30:00,NYSE:CSTM,15.76,16.28,15.76,16.17999,29725.0
2013-07-05 05:30:00,NYSE:CSTM,16.3,16.32001,16.03999,16.32001,40393.0
2013-07-08 05:30:00,NYSE:CSTM,16.42999,16.64999,16.39999,16.53999,254321.0
