datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:CUTR,5.84,5.93,5.75,5.86,70137.0
2009-03-13 05:30:00,NASDAQ:CUTR,5.92,5.93,5.84,5.86,33864.0
2009-03-16 05:30:00,NASDAQ:CUTR,5.81,6.01,5.78,5.84,26513.0
2009-03-17 05:30:00,NASDAQ:CUTR,5.8,5.95,5.75,5.95,22339.0
2009-03-18 05:30:00,NASDAQ:CUTR,6.02,6.2,5.95,6.2,41606.0
2009-03-19 05:30:00,NASDAQ:CUTR,6.17,6.62,6.17,6.58,32237.0
2009-03-20 05:30:00,NASDAQ:CUTR,6.55,6.86,6.37,6.37,30720.0
2009-03-23 05:30:00,NASDAQ:CUTR,6.39,6.75,6.39,6.73,39080.0
2009-03-24 05:30:00,NASDAQ:CUTR,6.55,6.73,6.5,6.65,37768.0
2009-03-25 05:30:00,NASDAQ:CUTR,6.72,6.8,6.48,6.51,34399.0
2009-03-26 05:30:00,NASDAQ:CUTR,6.58,6.7,6.46,6.56,21460.0
2009-03-27 05:30:00,NASDAQ:CUTR,6.48,6.51,6.39,6.42,11892.0
2009-03-30 05:30:00,NASDAQ:CUTR,6.33,6.43,6.2401,6.43,22817.0
2009-03-31 05:30:00,NASDAQ:CUTR,6.4,6.63,6.2,6.39,28135.0
2009-04-01 05:30:00,NASDAQ:CUTR,6.42,6.6,6.36,6.55,13732.0
2009-04-02 05:30:00,NASDAQ:CUTR,6.6768,6.89,6.66,6.79,19821.0
2009-04-03 05:30:00,NASDAQ:CUTR,6.62,6.86,6.5104,6.85,17611.0
2009-04-06 05:30:00,NASDAQ:CUTR,6.9,6.99,6.79,6.98,60579.0
2009-04-07 05:30:00,NASDAQ:CUTR,7.01,7.01,6.65,6.72,95981.0
2009-04-08 05:30:00,NASDAQ:CUTR,6.9,6.9,6.65,6.83,88932.0
2009-04-09 05:30:00,NASDAQ:CUTR,6.76,6.86,6.65,6.83,45313.0
2009-04-13 05:30:00,NASDAQ:CUTR,6.76,6.76,6.54,6.71,43352.0
2009-04-14 05:30:00,NASDAQ:CUTR,6.73,6.77,6.6625,6.76,11857.0
2009-04-15 05:30:00,NASDAQ:CUTR,6.67,6.7,6.51,6.63,42937.0
2009-04-16 05:30:00,NASDAQ:CUTR,6.6399,6.86,6.58,6.79,24408.0
2009-04-17 05:30:00,NASDAQ:CUTR,6.69,6.83,6.48,6.55,186905.0
2009-04-20 05:30:00,NASDAQ:CUTR,6.6,6.6,6.35,6.5,65690.0
2009-04-21 05:30:00,NASDAQ:CUTR,6.47,6.55,6.36,6.54,79997.0
2009-04-22 05:30:00,NASDAQ:CUTR,6.4901,6.52,6.4,6.42,14195.0
2009-04-23 05:30:00,NASDAQ:CUTR,6.42,6.5,6.212,6.23,15612.0
2009-04-24 05:30:00,NASDAQ:CUTR,6.44,6.45,6.21,6.3,81229.0
2009-04-27 05:30:00,NASDAQ:CUTR,6.3,6.3,5.93,5.93,75317.0
2009-04-28 05:30:00,NASDAQ:CUTR,5.96,6.25,5.95,6.01,145458.0
2009-04-29 05:30:00,NASDAQ:CUTR,6.1,6.245,5.9801,6.1,156877.0
2009-04-30 05:30:00,NASDAQ:CUTR,6.1,6.29,6.1,6.28,180116.0
2009-05-01 05:30:00,NASDAQ:CUTR,6.21,6.47,5.84,6.47,103779.0
2009-05-04 05:30:00,NASDAQ:CUTR,6.6,6.97,6.51,6.63,67220.0
2009-05-05 05:30:00,NASDAQ:CUTR,6.05,7.29,6.05,7.25,212937.0
2009-05-06 05:30:00,NASDAQ:CUTR,7.06,7.28,6.8,7.1,466687.0
2009-05-07 05:30:00,NASDAQ:CUTR,7.08,7.37,7.07,7.23,104402.0
2009-05-08 05:30:00,NASDAQ:CUTR,7.22,7.78,7.22,7.75,76573.0
