datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:DBI,3.505,3.92,3.46,3.88,1158458.0
2009-03-13 05:30:00,NYSE:DBI,3.9,4.255,3.9,4.225,861806.0
2009-03-16 05:30:00,NYSE:DBI,4.235,4.24,4.015,4.05,449828.0
2009-03-17 05:30:00,NYSE:DBI,4.025,4.45,4.005,4.45,369486.0
2009-03-18 05:30:00,NYSE:DBI,4.45,4.95,4.41,4.92,685774.0
2009-03-19 05:30:00,NYSE:DBI,4.945,5.0,4.805,4.83,298220.0
2009-03-20 05:30:00,NYSE:DBI,4.88,4.88,4.61,4.615,406592.0
2009-03-23 05:30:00,NYSE:DBI,4.75,5.09,4.69,5.085,392188.0
2009-03-24 05:30:00,NYSE:DBI,5.0,5.11,4.79,4.985,716188.0
2009-03-25 05:30:00,NYSE:DBI,4.545,4.97,4.25,4.61,1049414.0
2009-03-26 05:30:00,NYSE:DBI,4.66,4.755,4.43,4.525,960632.0
2009-03-27 05:30:00,NYSE:DBI,4.44,4.61,4.355,4.57,464912.0
2009-03-30 05:30:00,NYSE:DBI,4.48,4.71,4.365,4.66,532242.0
2009-03-31 05:30:00,NYSE:DBI,4.685,4.735,4.455,4.645,474268.0
2009-04-01 05:30:00,NYSE:DBI,4.55,5.015,4.55,5.0,732634.0
2009-04-02 05:30:00,NYSE:DBI,5.05,5.34,5.015,5.32,906266.0
2009-04-03 05:30:00,NYSE:DBI,5.32,5.525,5.275,5.525,413614.0
2009-04-06 05:30:00,NYSE:DBI,5.425,5.525,5.135,5.365,504304.0
2009-04-07 05:30:00,NYSE:DBI,5.25,5.275,4.985,5.06,411678.0
2009-04-08 05:30:00,NYSE:DBI,5.06,5.375,5.005,5.28,383916.0
2009-04-09 05:30:00,NYSE:DBI,5.455,5.675,5.445,5.625,490958.0
2009-04-13 05:30:00,NYSE:DBI,5.545,5.795,5.495,5.77,328310.0
2009-04-14 05:30:00,NYSE:DBI,5.67,5.84,5.465,5.51,546244.0
2009-04-15 05:30:00,NYSE:DBI,5.48,5.64,5.12,5.31,444986.0
2009-04-16 05:30:00,NYSE:DBI,5.36,5.805,5.285,5.705,561586.0
2009-04-17 05:30:00,NYSE:DBI,5.73,5.73,5.445,5.545,388046.0
2009-04-20 05:30:00,NYSE:DBI,5.415,5.415,4.98,5.05,464884.0
2009-04-21 05:30:00,NYSE:DBI,5.055,5.15,4.82,5.0,606186.0
