datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:ENLC,1.54,1.58,1.4,1.56,693512.0
2009-03-13 05:30:00,NYSE:ENLC,1.74,1.82,1.6,1.77,1083689.0
2009-03-16 05:30:00,NYSE:ENLC,1.82,2.09,1.74,1.93,794118.0
2009-03-17 05:30:00,NYSE:ENLC,1.93,2.0,1.8,1.94,401112.0
2009-03-18 05:30:00,NYSE:ENLC,1.9,1.94,1.66,1.9,640089.0
2009-03-19 05:30:00,NYSE:ENLC,1.92,1.93,1.75,1.85,375201.0
2009-03-20 05:30:00,NYSE:ENLC,1.89,1.9,1.5874,1.59,1524638.0
2009-03-23 05:30:00,NYSE:ENLC,1.7,1.88,1.69,1.88,519234.0
2009-03-24 05:30:00,NYSE:ENLC,1.85,1.89,1.75,1.79,463639.0
2009-03-25 05:30:00,NYSE:ENLC,1.82,1.9,1.78,1.88,556248.0
2009-03-26 05:30:00,NYSE:ENLC,1.96,1.98,1.88,1.97,441796.0
2009-03-27 05:30:00,NYSE:ENLC,1.91,1.953,1.85,1.87,514442.0
2009-03-30 05:30:00,NYSE:ENLC,1.75,1.83,1.6199,1.64,438605.0
2009-03-31 05:30:00,NYSE:ENLC,1.71,1.8,1.64,1.64,488637.0
2009-04-01 05:30:00,NYSE:ENLC,1.62,1.89,1.62,1.87,547877.0
2009-04-02 05:30:00,NYSE:ENLC,1.97,2.08,1.91,1.98,529207.0
2009-04-03 05:30:00,NYSE:ENLC,1.99,2.01,1.91,2.01,245389.0
2009-04-06 05:30:00,NYSE:ENLC,2.0,2.03,1.88,1.91,285121.0
2009-04-07 05:30:00,NYSE:ENLC,1.87,1.9,1.79,1.79,288664.0
2009-04-08 05:30:00,NYSE:ENLC,1.79,1.87,1.76,1.86,170483.0
2009-04-09 05:30:00,NYSE:ENLC,1.94,1.97,1.88,1.95,493320.0
2009-04-13 05:30:00,NYSE:ENLC,1.91,1.96,1.89,1.95,308769.0
2009-04-14 05:30:00,NYSE:ENLC,1.98,2.09,1.89,1.9,528814.0
2009-04-15 05:30:00,NYSE:ENLC,1.89,1.96,1.89,1.9,353228.0
2009-04-16 05:30:00,NYSE:ENLC,1.92,1.9588,1.9,1.93,363308.0
2009-04-17 05:30:00,NYSE:ENLC,1.96,2.14,1.95,2.12,657607.0
2009-04-20 05:30:00,NYSE:ENLC,2.03,2.05,1.83,1.9,703127.0
2009-04-21 05:30:00,NYSE:ENLC,1.83,2.0,1.82,2.0,244960.0
2009-04-22 05:30:00,NYSE:ENLC,1.93,2.12,1.83,1.95,490117.0
2009-04-23 05:30:00,NYSE:ENLC,2.02,2.0599,1.9,1.9,322233.0
2009-04-24 05:30:00,NYSE:ENLC,1.95,2.04,1.9,2.04,537401.0
2009-04-27 05:30:00,NYSE:ENLC,1.97,1.98,1.92,1.95,301283.0
2009-04-28 05:30:00,NYSE:ENLC,1.91,1.947,1.9,1.93,156545.0
2009-04-29 05:30:00,NYSE:ENLC,1.94,2.03,1.92,2.01,313543.0
2009-04-30 05:30:00,NYSE:ENLC,2.04,2.09,1.97,1.97,483280.0
2009-05-01 05:30:00,NYSE:ENLC,1.99,2.3,1.97,2.21,980265.0
2009-05-04 05:30:00,NYSE:ENLC,2.3,3.74,2.3,3.66,4045508.0
2009-05-05 05:30:00,NYSE:ENLC,4.22,4.93,3.81,4.63,4682297.0
2009-05-06 05:30:00,NYSE:ENLC,4.86,4.9,3.82,4.1,3303253.0
2009-05-07 05:30:00,NYSE:ENLC,4.4999,4.5,3.63,4.06,1393536.0
2009-05-08 05:30:00,NYSE:ENLC,3.5,4.19,3.5,4.14,1458723.0
2009-05-11 05:30:00,NYSE:ENLC,4.02,4.5,3.91,4.38,1196633.0
2009-05-12 05:30:00,NYSE:ENLC,4.06,4.19,3.59,3.78,1239513.0
2009-05-13 05:30:00,NYSE:ENLC,3.6,3.7,3.03,3.21,1019252.0
2009-05-14 05:30:00,NYSE:ENLC,3.05,3.5,2.89,3.2,896155.0
2009-05-15 05:30:00,NYSE:ENLC,3.21,3.37,2.92,3.02,708066.0
2009-05-18 05:30:00,NYSE:ENLC,3.07,3.3,3.05,3.22,619699.0
2009-05-19 05:30:00,NYSE:ENLC,3.29,3.64,3.2404,3.55,755684.0
2009-05-20 05:30:00,NYSE:ENLC,3.59,3.9,3.51,3.6,622968.0
2009-05-21 05:30:00,NYSE:ENLC,3.52,3.6,3.25,3.58,563571.0
2009-05-22 05:30:00,NYSE:ENLC,3.55,3.6273,3.29,3.33,321071.0
