datetime,symbol,open,high,low,close,volume
2010-05-13 05:30:00,NYSE:EXPR,17.0,17.39999,16.5,16.75,8791805.0
2010-05-14 05:30:00,NYSE:EXPR,16.85001,16.85001,15.59,15.86,1719120.0
2010-05-17 05:30:00,NYSE:EXPR,15.86,16.10001,15.27,16.00999,893047.0
2010-05-18 05:30:00,NYSE:EXPR,16.0,16.12,15.42,15.6,765951.0
2010-05-19 05:30:00,NYSE:EXPR,15.8,15.8,14.65,14.85,1032770.0
2010-05-20 05:30:00,NYSE:EXPR,14.65,14.78,14.22,14.74,651542.0
2010-05-21 05:30:00,NYSE:EXPR,14.72,14.98,14.65,14.75,602865.0
2010-05-24 05:30:00,NYSE:EXPR,14.66,14.96,14.31,14.75,402926.0
2010-05-25 05:30:00,NYSE:EXPR,14.51,14.75,14.26,14.5,454226.0
2010-05-26 05:30:00,NYSE:EXPR,14.49,14.51,13.58,14.3,300892.0
2010-05-27 05:30:00,NYSE:EXPR,14.49,15.32,14.29,14.35,488785.0
2010-05-28 05:30:00,NYSE:EXPR,14.45,14.63,14.18,14.3,333324.0
2010-06-01 05:30:00,NYSE:EXPR,14.4,14.51,14.12,14.24,316713.0
2010-06-02 05:30:00,NYSE:EXPR,14.06,14.35,13.82,14.31,480396.0
2010-06-03 05:30:00,NYSE:EXPR,14.5,14.73,14.33,14.66,756624.0
2010-06-04 05:30:00,NYSE:EXPR,14.3,14.46,13.77,13.98,122356.0
2010-06-07 05:30:00,NYSE:EXPR,13.95,14.13,13.5,13.51,406900.0
2010-06-08 05:30:00,NYSE:EXPR,13.4,13.54,12.89,13.27,578061.0
2010-06-09 05:30:00,NYSE:EXPR,13.29,13.55,13.0,13.44,863212.0
2010-06-10 05:30:00,NYSE:EXPR,13.53,14.415,13.3,14.01,132845.0
2010-06-11 05:30:00,NYSE:EXPR,14.25,16.0,14.18,15.66,506232.0
2010-06-14 05:30:00,NYSE:EXPR,15.7,17.03999,15.627,16.7,659699.0
2010-06-15 05:30:00,NYSE:EXPR,16.60001,17.0,15.75,16.94,437529.0
2010-06-16 05:30:00,NYSE:EXPR,16.67999,16.95,16.32001,16.88,176649.0
2010-06-17 05:30:00,NYSE:EXPR,16.69,16.89999,16.17,16.78999,132255.0
2010-06-18 05:30:00,NYSE:EXPR,16.56,17.0,16.56,16.95,152902.0
2010-06-21 05:30:00,NYSE:EXPR,17.0,17.25,16.74001,16.94,298785.0
2010-06-22 05:30:00,NYSE:EXPR,17.35001,17.85001,17.08,17.21001,671918.0
2010-06-23 05:30:00,NYSE:EXPR,17.33,17.60001,16.67,16.74001,431609.0
2010-06-24 05:30:00,NYSE:EXPR,16.89,16.98,15.8915,16.14999,279170.0
2010-06-25 05:30:00,NYSE:EXPR,16.37,16.81,16.03,16.55,1998660.0
2010-06-28 05:30:00,NYSE:EXPR,16.55,16.75,16.42999,16.64999,454560.0
2010-06-29 05:30:00,NYSE:EXPR,16.42999,16.85001,16.28999,16.67,355111.0
2010-06-30 05:30:00,NYSE:EXPR,16.72,17.0,16.32001,16.37,343159.0
2010-07-01 05:30:00,NYSE:EXPR,16.14,16.31,15.795,16.0,352459.0
2010-07-02 05:30:00,NYSE:EXPR,16.03999,16.05949,14.98,15.24,477465.0
2010-07-06 05:30:00,NYSE:EXPR,15.45,16.06,15.45,15.96,493144.0
2010-07-07 05:30:00,NYSE:EXPR,16.06,16.06,15.42,15.78,264687.0
2010-07-08 05:30:00,NYSE:EXPR,16.00999,16.10001,15.53,15.74,244906.0
2010-07-09 05:30:00,NYSE:EXPR,15.7,15.82,15.5,15.79,99898.0
2010-07-12 05:30:00,NYSE:EXPR,15.78,16.12,15.74,16.09,401182.0
2010-07-13 05:30:00,NYSE:EXPR,16.27,16.83,15.99,16.82001,244234.0
2010-07-14 05:30:00,NYSE:EXPR,16.61,17.17999,16.61,17.12,291419.0
2010-07-15 05:30:00,NYSE:EXPR,17.12,17.41,16.89999,17.31,217396.0
2010-07-16 05:30:00,NYSE:EXPR,17.25,17.25,16.72,16.88,336525.0
2010-07-19 05:30:00,NYSE:EXPR,16.89,17.24001,16.77,17.19,255344.0
2010-07-20 05:30:00,NYSE:EXPR,16.99001,17.96001,16.98,17.92,312586.0
