datetime,symbol,open,high,low,close,volume
2009-03-11 05:30:00,NASDAQ:FLEX,2.19,2.35,2.17,2.24,8109270.0
2009-03-12 05:30:00,NASDAQ:FLEX,2.23,2.46,2.2,2.43,9037344.0
2009-03-13 05:30:00,NASDAQ:FLEX,2.47,2.55,2.4,2.54,8865445.0
2009-03-16 05:30:00,NASDAQ:FLEX,2.49,2.58,2.45,2.5,8191117.0
2009-03-17 05:30:00,NASDAQ:FLEX,2.52,2.66,2.48,2.64,7583648.0
2009-03-18 05:30:00,NASDAQ:FLEX,2.63,2.65,2.43,2.64,11416887.0
2009-03-19 05:30:00,NASDAQ:FLEX,2.73,2.74,2.53,2.55,7889336.0
2009-03-20 05:30:00,NASDAQ:FLEX,2.66,2.66,2.32,2.36,8707621.0
2009-03-23 05:30:00,NASDAQ:FLEX,2.52,2.65,2.45,2.65,7707391.0
2009-03-24 05:30:00,NASDAQ:FLEX,2.66,2.7,2.52,2.55,4712449.0
2009-03-25 05:30:00,NASDAQ:FLEX,2.6,2.74,2.41,2.5,7558738.0
2009-03-26 05:30:00,NASDAQ:FLEX,2.62,3.02,2.59,3.02,15658055.0
2009-03-27 05:30:00,NASDAQ:FLEX,2.91,3.1,2.87,2.93,8764145.0
2009-03-30 05:30:00,NASDAQ:FLEX,2.87,2.92,2.62,2.75,8586426.0
2009-03-31 05:30:00,NASDAQ:FLEX,2.87,2.98,2.79,2.89,7557977.0
2009-04-01 05:30:00,NASDAQ:FLEX,2.84,3.03,2.75,2.94,8897000.0
2009-04-02 05:30:00,NASDAQ:FLEX,3.04,3.37,3.03,3.27,15870727.0
2009-04-03 05:30:00,NASDAQ:FLEX,3.12,3.37,3.12,3.33,5116141.0
2009-04-06 05:30:00,NASDAQ:FLEX,3.28,3.28,3.08,3.18,4625617.0
2009-04-07 05:30:00,NASDAQ:FLEX,3.12,3.13,2.97,3.02,6693180.0
2009-04-08 05:30:00,NASDAQ:FLEX,3.03,3.15,3.02,3.08,4863215.0
2009-04-09 05:30:00,NASDAQ:FLEX,3.12,3.7,3.12,3.57,11721500.0
2009-04-13 05:30:00,NASDAQ:FLEX,3.61,3.61,3.34,3.45,4426223.0
2009-04-14 05:30:00,NASDAQ:FLEX,3.5,3.51,3.34,3.39,7400293.0
2009-04-15 05:30:00,NASDAQ:FLEX,3.35,3.56,3.34,3.55,6829621.0
2009-04-16 05:30:00,NASDAQ:FLEX,3.65,3.89,3.51,3.81,7925836.0
2009-04-17 05:30:00,NASDAQ:FLEX,3.8,4.12,3.68,4.1,12070297.0
2009-04-20 05:30:00,NASDAQ:FLEX,3.98,4.0,3.51,3.57,8688082.0
2009-04-21 05:30:00,NASDAQ:FLEX,3.6,3.79,3.5,3.74,4539973.0
