datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:FNB,6.61,7.63,6.39,7.4,1023769.0
2009-03-13 05:30:00,NYSE:FNB,7.45,7.45,7.0,7.11,761962.0
2009-03-16 05:30:00,NYSE:FNB,7.3,7.5,6.98,7.04,805974.0
2009-03-17 05:30:00,NYSE:FNB,7.05,7.73,6.92,7.65,617041.0
2009-03-18 05:30:00,NYSE:FNB,7.63,8.12,7.31,7.99,1021384.0
2009-03-19 05:30:00,NYSE:FNB,8.18,8.24,7.37,7.39,925420.0
2009-03-20 05:30:00,NYSE:FNB,7.49,7.77,7.13,7.14,757607.0
2009-03-23 05:30:00,NYSE:FNB,7.44,8.49,7.44,8.47,1151823.0
2009-03-24 05:30:00,NYSE:FNB,8.28,8.34,7.53,7.57,705964.0
2009-03-25 05:30:00,NYSE:FNB,7.82,8.15,7.12,7.88,523900.0
2009-03-26 05:30:00,NYSE:FNB,8.01,8.08,7.48,7.9,661059.0
2009-03-27 05:30:00,NYSE:FNB,7.73,7.83,7.3,7.3,630026.0
2009-03-30 05:30:00,NYSE:FNB,7.12,7.29,6.97,7.22,739854.0
2009-03-31 05:30:00,NYSE:FNB,7.47,7.89,7.29,7.67,767065.0
2009-04-01 05:30:00,NYSE:FNB,7.31,7.91,7.24,7.73,461581.0
2009-04-02 05:30:00,NYSE:FNB,8.0,8.23,7.87,8.05,685977.0
2009-04-03 05:30:00,NYSE:FNB,8.05,8.23,7.87,8.15,526417.0
2009-04-06 05:30:00,NYSE:FNB,7.86,7.86,7.1,7.25,781462.0
2009-04-07 05:30:00,NYSE:FNB,7.07,7.23,6.88,6.93,483416.0
2009-04-08 05:30:00,NYSE:FNB,7.02,7.08,6.65,6.84,383897.0
2009-04-09 05:30:00,NYSE:FNB,7.07,7.55,7.06,7.49,1046593.0
2009-04-13 05:30:00,NYSE:FNB,7.39,7.8,7.03,7.74,722438.0
2009-04-14 05:30:00,NYSE:FNB,7.71,7.76,6.99,7.02,720706.0
2009-04-15 05:30:00,NYSE:FNB,6.98,7.37,6.66,7.31,599769.0
2009-04-16 05:30:00,NYSE:FNB,7.43,7.6,6.92,7.42,535514.0
2009-04-17 05:30:00,NYSE:FNB,7.4,7.82,7.06,7.6,566329.0
2009-04-20 05:30:00,NYSE:FNB,7.35,7.35,6.48,6.48,813281.0
2009-04-21 05:30:00,NYSE:FNB,6.46,7.0,5.87,6.95,906671.0
2009-04-22 05:30:00,NYSE:FNB,6.77,7.02,6.47,6.61,820288.0
2009-04-23 05:30:00,NYSE:FNB,6.7,6.83,6.29,6.56,563480.0
2009-04-24 05:30:00,NYSE:FNB,6.8,7.87,6.76,7.68,1328394.0
2009-04-27 05:30:00,NYSE:FNB,7.5,7.7,6.95,7.04,738367.0
2009-04-28 05:30:00,NYSE:FNB,6.97,7.44,6.84,7.1,365398.0
2009-04-29 05:30:00,NYSE:FNB,7.2,7.85,7.15,7.85,568063.0
2009-04-30 05:30:00,NYSE:FNB,7.98,8.0,7.48,7.52,477625.0
2009-05-01 05:30:00,NYSE:FNB,7.52,7.85,7.46,7.56,536805.0
2009-05-04 05:30:00,NYSE:FNB,7.82,8.42,7.57,8.4,760095.0
2009-05-05 05:30:00,NYSE:FNB,8.36,8.36,7.95,7.98,607490.0
2009-05-06 05:30:00,NYSE:FNB,8.18,8.5,7.99,8.33,656735.0
2009-05-07 05:30:00,NYSE:FNB,8.54,8.75,8.22,8.35,626833.0
2009-05-08 05:30:00,NYSE:FNB,8.57,9.31,8.37,9.3,690578.0
2009-05-11 05:30:00,NYSE:FNB,8.99,9.07,8.49,8.54,592235.0
2009-05-12 05:30:00,NYSE:FNB,8.58,8.78,8.0,8.3,507738.0
