datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:GOGL,61.3,66.1,58.05,65.55,19920.0
2009-03-13 05:30:00,NASDAQ:GOGL,66.35,70.0,64.3,65.0,19427.0
2009-03-16 05:30:00,NASDAQ:GOGL,65.35,71.95,65.35,66.95,23882.0
2009-03-17 05:30:00,NASDAQ:GOGL,67.0,74.5,66.35,74.35,34007.0
2009-03-18 05:30:00,NASDAQ:GOGL,74.1,76.15,71.0,74.5,37482.0
2009-03-19 05:30:00,NASDAQ:GOGL,76.0,78.4,74.65,76.5,25816.0
2009-03-20 05:30:00,NASDAQ:GOGL,77.05,77.45,69.15,69.45,45692.0
2009-03-23 05:30:00,NASDAQ:GOGL,72.25,79.8,71.05,79.5,60103.0
2009-03-24 05:30:00,NASDAQ:GOGL,77.3,77.75,72.0,72.15,47562.0
2009-03-25 05:30:00,NASDAQ:GOGL,73.0,76.7,71.7,76.15,38738.0
2009-03-26 05:30:00,NASDAQ:GOGL,77.45,79.05,76.55,78.7,34085.0
2009-03-27 05:30:00,NASDAQ:GOGL,76.6,77.05,73.35,74.35,33920.0
2009-03-30 05:30:00,NASDAQ:GOGL,72.25,74.75,69.5505,72.15,29958.0
2009-03-31 05:30:00,NASDAQ:GOGL,73.15,75.6,72.15,72.75,27149.0
2009-04-01 05:30:00,NASDAQ:GOGL,71.0,75.85,71.0,75.55,22144.0
2009-04-02 05:30:00,NASDAQ:GOGL,78.0,80.8,76.725,77.6,27612.0
2009-04-03 05:30:00,NASDAQ:GOGL,77.6,78.9,76.4,78.9,12705.0
2009-04-06 05:30:00,NASDAQ:GOGL,77.25,77.5,72.5,75.45,29130.0
2009-04-07 05:30:00,NASDAQ:GOGL,75.0,75.4,69.7,69.7,32327.0
2009-04-08 05:30:00,NASDAQ:GOGL,70.2,72.3345,68.1,71.55,23877.0
2009-04-09 05:30:00,NASDAQ:GOGL,72.0,72.95,69.5,72.0,30620.0
2009-04-13 05:30:00,NASDAQ:GOGL,71.85,72.0,68.9,71.1,27028.0
2009-04-14 05:30:00,NASDAQ:GOGL,69.9,70.4525,67.75,68.85,33047.0
2009-04-15 05:30:00,NASDAQ:GOGL,68.75,71.35,68.05,70.15,13858.0
2009-04-16 05:30:00,NASDAQ:GOGL,70.85,72.1,69.05,71.65,18412.0
2009-04-17 05:30:00,NASDAQ:GOGL,71.9,72.55,70.55,71.0,26955.0
2009-04-20 05:30:00,NASDAQ:GOGL,70.0,70.05,66.5,67.4,27549.0
2009-04-21 05:30:00,NASDAQ:GOGL,65.5,69.9,65.5,69.35,20082.0
2009-04-22 05:30:00,NASDAQ:GOGL,67.7,71.915,67.5,67.85,19283.0
2009-04-23 05:30:00,NASDAQ:GOGL,68.1,68.25,66.4,67.85,20814.0
2009-04-24 05:30:00,NASDAQ:GOGL,68.95,69.45,66.65,67.55,22272.0
2009-04-27 05:30:00,NASDAQ:GOGL,66.65,67.25,63.7,64.75,28059.0
2009-04-28 05:30:00,NASDAQ:GOGL,64.85,66.15,63.55,64.0,17321.0
2009-04-29 05:30:00,NASDAQ:GOGL,65.35,69.85,64.96,69.2,34989.0
2009-04-30 05:30:00,NASDAQ:GOGL,70.2,70.9495,65.55,66.15,24155.0
