datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:GRBK,5.4,6.6,5.4,6.0,3915.0
2009-03-13 05:30:00,NYSE:GRBK,7.0,7.2,6.0,7.0,1463.0
2009-03-16 05:30:00,NYSE:GRBK,7.2,7.4,6.8,6.8,1515.0
2009-03-17 05:30:00,NYSE:GRBK,7.6,7.6,5.0,6.2,2234.0
2009-03-18 05:30:00,NYSE:GRBK,6.6,7.6,6.4,6.602,1619.0
2009-03-19 05:30:00,NYSE:GRBK,7.8,7.8,6.624,7.4,1631.0
2009-03-20 05:30:00,NYSE:GRBK,7.8,7.8,7.4,7.602,1148.0
2009-03-23 05:30:00,NYSE:GRBK,7.6,7.8,6.8,7.6,3125.0
2009-03-24 05:30:00,NYSE:GRBK,7.6,7.8,6.224,7.2,2956.0
2009-03-25 05:30:00,NYSE:GRBK,7.798,7.798,6.0,7.4,2534.0
2009-03-26 05:30:00,NYSE:GRBK,7.8,7.8,7.4,7.7,874.0
2009-03-27 05:30:00,NYSE:GRBK,7.78,7.78,6.8,7.6,793.0
2009-03-30 05:30:00,NYSE:GRBK,6.0,7.6,6.0,7.2,3232.0
2009-03-31 05:30:00,NYSE:GRBK,7.6,7.6,6.806,7.4,454.0
2009-04-01 05:30:00,NYSE:GRBK,7.4,7.4,6.6,6.8,398.0
2009-04-02 05:30:00,NYSE:GRBK,7.4,7.4,6.8,6.8,1121.0
2009-04-03 05:30:00,NYSE:GRBK,7.4,7.6,6.0,6.0,11116.0
2009-04-06 05:30:00,NYSE:GRBK,7.6,7.6,6.2,6.6,8641.0
2009-04-07 05:30:00,NYSE:GRBK,6.2,7.6,6.2,6.4,12678.0
2009-04-08 05:30:00,NYSE:GRBK,7.59,7.59,5.8,5.8,2878.0
2009-04-09 05:30:00,NYSE:GRBK,7.0,7.0,6.0,6.268,7977.0
2009-04-13 05:30:00,NYSE:GRBK,7.0,7.018,6.268,6.406,4330.0
2009-04-14 05:30:00,NYSE:GRBK,6.4,6.98,5.8,5.8,4866.0
