datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:HIMX,1.68,1.81,1.68,1.8,224330.0
2009-03-13 05:30:00,NASDAQ:HIMX,1.82,1.82,1.71,1.76,294960.0
2009-03-16 05:30:00,NASDAQ:HIMX,1.81,1.82,1.78,1.78,243732.0
2009-03-17 05:30:00,NASDAQ:HIMX,1.75,1.94,1.75,1.9,411651.0
2009-03-18 05:30:00,NASDAQ:HIMX,1.95,2.36,1.91,2.34,518869.0
2009-03-19 05:30:00,NASDAQ:HIMX,2.35,2.35,2.15,2.175,273877.0
2009-03-20 05:30:00,NASDAQ:HIMX,2.17,2.302,2.17,2.24,184886.0
2009-03-23 05:30:00,NASDAQ:HIMX,2.3,2.55,2.28,2.54,556254.0
2009-03-24 05:30:00,NASDAQ:HIMX,2.56,2.81,2.54,2.81,845361.0
2009-03-25 05:30:00,NASDAQ:HIMX,2.8,3.12,2.75,3.1,1107521.0
2009-03-26 05:30:00,NASDAQ:HIMX,3.15,3.27,2.85,2.97,1265657.0
2009-03-27 05:30:00,NASDAQ:HIMX,2.91,2.92,2.75,2.8,358651.0
2009-03-30 05:30:00,NASDAQ:HIMX,2.69,2.69,2.1,2.41,802614.0
2009-03-31 05:30:00,NASDAQ:HIMX,2.56,2.82,2.52,2.8,1043107.0
2009-04-01 05:30:00,NASDAQ:HIMX,2.8,2.895,2.61,2.82,356862.0
2009-04-02 05:30:00,NASDAQ:HIMX,3.0,3.0,2.84,2.84,574071.0
2009-04-03 05:30:00,NASDAQ:HIMX,2.9,2.9,2.68,2.8,410178.0
2009-04-06 05:30:00,NASDAQ:HIMX,2.7,2.8,2.6,2.63,407574.0
2009-04-07 05:30:00,NASDAQ:HIMX,2.6,2.75,2.52,2.52,479436.0
2009-04-08 05:30:00,NASDAQ:HIMX,2.51,2.71,2.5,2.66,354108.0
2009-04-09 05:30:00,NASDAQ:HIMX,2.66,2.8,2.66,2.8,299335.0
2009-04-13 05:30:00,NASDAQ:HIMX,2.83,2.92,2.8,2.92,392281.0
2009-04-14 05:30:00,NASDAQ:HIMX,2.81,2.93,2.81,2.86,340511.0
2009-04-15 05:30:00,NASDAQ:HIMX,2.86,2.96,2.84,2.86,1258314.0
2009-04-16 05:30:00,NASDAQ:HIMX,2.87,2.9,2.86,2.89,322048.0
2009-04-17 05:30:00,NASDAQ:HIMX,2.88,2.89,2.73,2.88,666697.0
2009-04-20 05:30:00,NASDAQ:HIMX,2.8,2.85,2.6,2.63,369295.0
2009-04-21 05:30:00,NASDAQ:HIMX,2.53,2.81,2.51,2.76,500979.0
2009-04-22 05:30:00,NASDAQ:HIMX,2.7,2.82,2.7,2.81,201998.0
2009-04-23 05:30:00,NASDAQ:HIMX,2.83,2.83,2.63,2.75,525751.0
2009-04-24 05:30:00,NASDAQ:HIMX,2.75,2.79,2.65,2.74,299478.0
2009-04-27 05:30:00,NASDAQ:HIMX,2.73,2.73,2.62,2.64,578783.0
2009-04-28 05:30:00,NASDAQ:HIMX,2.6,2.61,2.51,2.53,346478.0
2009-04-29 05:30:00,NASDAQ:HIMX,2.5,2.7,2.49,2.61,526504.0
2009-04-30 05:30:00,NASDAQ:HIMX,2.71,2.73,2.65,2.71,386603.0
2009-05-01 05:30:00,NASDAQ:HIMX,2.72,2.74,2.65,2.73,294239.0
2009-05-04 05:30:00,NASDAQ:HIMX,2.75,2.9,2.7499,2.9,911021.0
2009-05-05 05:30:00,NASDAQ:HIMX,2.9,2.9,2.81,2.84,218188.0
2009-05-06 05:30:00,NASDAQ:HIMX,2.9,2.95,2.85,2.91,319137.0
2009-05-07 05:30:00,NASDAQ:HIMX,2.86,2.91,2.57,2.72,497673.0
2009-05-08 05:30:00,NASDAQ:HIMX,2.9,2.9,2.74,2.77,236773.0
2009-05-11 05:30:00,NASDAQ:HIMX,2.69,2.85,2.65,2.69,192847.0
2009-05-12 05:30:00,NASDAQ:HIMX,2.74,2.74,2.54,2.55,669244.0
2009-05-13 05:30:00,NASDAQ:HIMX,2.55,2.62,2.53,2.53,272111.0
2009-05-14 05:30:00,NASDAQ:HIMX,2.53,2.64,2.52,2.52,391607.0
2009-05-15 05:30:00,NASDAQ:HIMX,2.59,2.61,2.47,2.47,469607.0
2009-05-18 05:30:00,NASDAQ:HIMX,2.47,2.69,2.47,2.59,663762.0
2009-05-19 05:30:00,NASDAQ:HIMX,2.88,2.94,2.65,2.89,1885684.0
2009-05-20 05:30:00,NASDAQ:HIMX,2.98,3.42,2.97,3.09,4393750.0
2009-05-21 05:30:00,NASDAQ:HIMX,3.13,3.16,2.75,3.14,1737479.0
2009-05-22 05:30:00,NASDAQ:HIMX,3.19,3.2,3.03,3.03,545550.0
2009-05-26 05:30:00,NASDAQ:HIMX,3.08,3.22,3.018,3.22,645848.0
2009-05-27 05:30:00,NASDAQ:HIMX,3.29,3.29,3.09,3.1,519839.0
2009-05-28 05:30:00,NASDAQ:HIMX,3.14,3.24,3.02,3.23,688351.0
2009-05-29 05:30:00,NASDAQ:HIMX,3.25,3.63,3.25,3.63,1256313.0
2009-06-01 05:30:00,NASDAQ:HIMX,3.7,3.73,3.26,3.43,2345716.0
2009-06-02 05:30:00,NASDAQ:HIMX,3.6,3.8,3.36,3.42,715417.0
2009-06-03 05:30:00,NASDAQ:HIMX,3.42,3.42,3.06,3.08,1493894.0
2009-06-04 05:30:00,NASDAQ:HIMX,3.2,3.27,3.08,3.25,1266389.0
2009-06-05 05:30:00,NASDAQ:HIMX,3.34,3.37,3.13,3.27,973868.0
2009-06-08 05:30:00,NASDAQ:HIMX,3.33,3.5,3.3,3.49,665390.0
2009-06-09 05:30:00,NASDAQ:HIMX,3.5,3.62,3.5,3.58,1067809.0
2009-06-10 05:30:00,NASDAQ:HIMX,3.65,3.65,3.35,3.48,1067105.0
2009-06-11 05:30:00,NASDAQ:HIMX,3.48,3.6,3.45,3.52,503797.0
2009-06-12 05:30:00,NASDAQ:HIMX,3.41,3.56,3.41,3.54,628436.0
2009-06-15 05:30:00,NASDAQ:HIMX,3.54,3.59,3.47,3.59,1050007.0
2009-06-16 05:30:00,NASDAQ:HIMX,3.6,3.6,3.52,3.52,604817.0
2009-06-17 05:30:00,NASDAQ:HIMX,3.52,3.5418,3.36,3.38,677283.0
2009-06-18 05:30:00,NASDAQ:HIMX,3.13,3.37,3.12,3.3,501350.0
2009-06-19 05:30:00,NASDAQ:HIMX,3.31,3.39,3.25,3.35,386215.0
2009-06-22 05:30:00,NASDAQ:HIMX,3.13,3.3,3.13,3.2,527554.0
2009-06-23 05:30:00,NASDAQ:HIMX,3.16,3.2,2.91,3.17,771448.0
2009-06-24 05:30:00,NASDAQ:HIMX,3.13,3.23,3.1,3.17,421652.0
2009-06-25 05:30:00,NASDAQ:HIMX,3.17,3.25,3.16,3.22,201517.0
2009-06-26 05:30:00,NASDAQ:HIMX,3.22,3.5,3.22,3.47,570899.0
2009-06-29 05:30:00,NASDAQ:HIMX,3.43,3.63,3.36,3.6,869315.0
2009-06-30 05:30:00,NASDAQ:HIMX,3.55,3.79,3.45,3.75,964745.0
2009-07-01 05:30:00,NASDAQ:HIMX,3.75,3.97,3.71,3.85,1032253.0
2009-07-02 05:30:00,NASDAQ:HIMX,3.94,3.95,3.59,3.94,934890.0
2009-07-06 05:30:00,NASDAQ:HIMX,3.9,3.9,3.58,3.59,522176.0
2009-07-07 05:30:00,NASDAQ:HIMX,3.69,3.69,3.5,3.51,529165.0
2009-07-08 05:30:00,NASDAQ:HIMX,3.74,3.74,3.3,3.5,734017.0
2009-07-09 05:30:00,NASDAQ:HIMX,3.45,3.53,3.4,3.44,231532.0
2009-07-10 05:30:00,NASDAQ:HIMX,3.5,3.53,3.45,3.49,353694.0
2009-07-13 05:30:00,NASDAQ:HIMX,3.43,3.51,3.32,3.46,512405.0
2009-07-14 05:30:00,NASDAQ:HIMX,3.46,3.57,3.46,3.52,290682.0
2009-07-15 05:30:00,NASDAQ:HIMX,3.6,3.68,3.57,3.62,706693.0
2009-07-16 05:30:00,NASDAQ:HIMX,3.6,3.8,3.5001,3.78,527799.0
2009-07-17 05:30:00,NASDAQ:HIMX,3.78,3.85,3.74,3.78,339797.0
2009-07-20 05:30:00,NASDAQ:HIMX,3.78,3.85,3.74,3.77,342504.0
2009-07-21 05:30:00,NASDAQ:HIMX,3.75,3.81,3.73,3.73,342077.0
2009-07-22 05:30:00,NASDAQ:HIMX,3.7,3.82,3.7,3.74,466503.0
2009-07-23 05:30:00,NASDAQ:HIMX,3.75,3.82,3.7,3.77,550298.0
2009-07-24 05:30:00,NASDAQ:HIMX,3.75,3.8,3.72,3.8,535191.0
2009-07-27 05:30:00,NASDAQ:HIMX,3.8,3.85,3.8,3.8,622613.0
2009-07-28 05:30:00,NASDAQ:HIMX,3.77,3.92,3.76,3.86,829952.0
2009-07-29 05:30:00,NASDAQ:HIMX,3.85,3.88,3.79,3.85,332167.0
2009-07-30 05:30:00,NASDAQ:HIMX,3.8,3.865,3.79,3.82,452069.0
2009-07-31 05:30:00,NASDAQ:HIMX,3.82,3.82,3.76,3.82,269733.0
2009-08-03 05:30:00,NASDAQ:HIMX,3.84,3.84,3.79,3.8,306129.0
2009-08-04 05:30:00,NASDAQ:HIMX,3.82,3.89,3.78,3.8,943115.0
2009-08-05 05:30:00,NASDAQ:HIMX,3.8,3.83,3.7,3.8,554900.0
2009-08-06 05:30:00,NASDAQ:HIMX,3.8,3.8,3.22,3.35,2563430.0
2009-08-07 05:30:00,NASDAQ:HIMX,3.37,3.64,3.3,3.54,1231241.0
2009-08-10 05:30:00,NASDAQ:HIMX,3.6,3.6,3.47,3.55,353776.0
2009-08-11 05:30:00,NASDAQ:HIMX,3.47,3.58,3.36,3.36,617752.0
