datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:HLIT,5.27,5.7,5.1825,5.69,1043859.0
2009-03-13 05:30:00,NASDAQ:HLIT,5.58,5.79,5.56,5.71,757877.0
2009-03-16 05:30:00,NASDAQ:HLIT,5.78,5.8,5.46,5.48,945615.0
2009-03-17 05:30:00,NASDAQ:HLIT,5.49,5.92,5.4201,5.92,714464.0
2009-03-18 05:30:00,NASDAQ:HLIT,5.89,6.36,5.73,6.32,939809.0
2009-03-19 05:30:00,NASDAQ:HLIT,6.38,6.38,6.12,6.16,522722.0
2009-03-20 05:30:00,NASDAQ:HLIT,6.23,6.24,5.75,5.8,735114.0
2009-03-23 05:30:00,NASDAQ:HLIT,5.98,6.52,5.98,6.51,1467411.0
2009-03-24 05:30:00,NASDAQ:HLIT,6.4,6.5,6.28,6.3,769604.0
2009-03-25 05:30:00,NASDAQ:HLIT,6.47,6.54,6.23,6.5,1107040.0
2009-03-26 05:30:00,NASDAQ:HLIT,6.56,7.0,6.47,6.99,1115279.0
2009-03-27 05:30:00,NASDAQ:HLIT,6.78,6.78,6.61,6.63,742606.0
2009-03-30 05:30:00,NASDAQ:HLIT,6.44,6.63,6.21,6.42,604123.0
2009-03-31 05:30:00,NASDAQ:HLIT,6.52,6.75,6.49,6.5,612409.0
2009-04-01 05:30:00,NASDAQ:HLIT,6.35,6.75,6.29,6.73,596374.0
2009-04-02 05:30:00,NASDAQ:HLIT,6.96,7.0,6.68,6.84,1633036.0
2009-04-03 05:30:00,NASDAQ:HLIT,6.81,6.99,6.76,6.94,462597.0
2009-04-06 05:30:00,NASDAQ:HLIT,6.77,6.88,6.68,6.84,526054.0
2009-04-07 05:30:00,NASDAQ:HLIT,6.73,6.78,6.49,6.51,648663.0
2009-04-08 05:30:00,NASDAQ:HLIT,6.54,6.76,6.47,6.73,413457.0
2009-04-09 05:30:00,NASDAQ:HLIT,6.86,7.14,6.82,7.12,669277.0
2009-04-13 05:30:00,NASDAQ:HLIT,7.08,7.08,6.54,6.78,959551.0
2009-04-14 05:30:00,NASDAQ:HLIT,6.65,6.72,6.47,6.51,965997.0
2009-04-15 05:30:00,NASDAQ:HLIT,6.5,6.58,6.37,6.53,523532.0
2009-04-16 05:30:00,NASDAQ:HLIT,6.61,6.8,6.5393,6.65,1263610.0
2009-04-17 05:30:00,NASDAQ:HLIT,6.67,6.8,6.55,6.67,1090471.0
2009-04-20 05:30:00,NASDAQ:HLIT,6.55,6.58,6.23,6.26,668654.0
2009-04-21 05:30:00,NASDAQ:HLIT,6.22,6.7,6.16,6.67,822924.0
2009-04-22 05:30:00,NASDAQ:HLIT,6.58,6.89,6.52,6.81,1035640.0
2009-04-23 05:30:00,NASDAQ:HLIT,6.84,7.05,6.67,6.98,1559349.0
2009-04-24 05:30:00,NASDAQ:HLIT,6.95,7.13,6.9,7.08,899127.0
2009-04-27 05:30:00,NASDAQ:HLIT,6.81,7.0,6.81,6.88,1051371.0
2009-04-28 05:30:00,NASDAQ:HLIT,6.8,7.19,6.76,7.14,873236.0
2009-04-29 05:30:00,NASDAQ:HLIT,7.18,7.58,7.1,7.5,1097502.0
2009-04-30 05:30:00,NASDAQ:HLIT,7.55,7.82,7.27,7.33,901365.0
2009-05-01 05:30:00,NASDAQ:HLIT,7.33,7.75,7.15,7.61,1207175.0
2009-05-04 05:30:00,NASDAQ:HLIT,7.69,7.85,7.61,7.73,918472.0
2009-05-05 05:30:00,NASDAQ:HLIT,6.33,6.33,5.8,6.05,6859961.0
2009-05-06 05:30:00,NASDAQ:HLIT,6.11,6.15,5.82,6.0,2086555.0
2009-05-07 05:30:00,NASDAQ:HLIT,6.14,6.14,5.45,5.7,2188329.0
2009-05-08 05:30:00,NASDAQ:HLIT,5.71,5.93,5.68,5.87,1697026.0
