datetime,symbol,open,high,low,close,volume
2019-06-21 05:30:00,NASDAQ:IMVT,9.95,9.95,9.95,9.95,250000.0
2019-06-26 05:30:00,NASDAQ:IMVT,9.8,9.8,9.8,9.8,500.0
2019-07-03 05:30:00,NASDAQ:IMVT,9.79,9.79,9.79,9.79,200.0
2019-07-05 05:30:00,NASDAQ:IMVT,9.78,9.78,9.78,9.78,800.0
2019-07-08 05:30:00,NASDAQ:IMVT,9.78,9.78,9.78,9.78,500.0
2019-07-12 05:30:00,NASDAQ:IMVT,9.59,9.74,9.57,9.6,10000.0
2019-07-18 05:30:00,NASDAQ:IMVT,9.9,9.9,9.78,9.78,2300.0
2019-07-19 05:30:00,NASDAQ:IMVT,9.77,9.77,9.77,9.77,200.0
2019-07-22 05:30:00,NASDAQ:IMVT,9.8,9.81,9.8,9.81,1500.0
2019-07-26 05:30:00,NASDAQ:IMVT,9.81,9.81,9.8,9.8,2800.0
2019-07-31 05:30:00,NASDAQ:IMVT,9.82,9.82,9.79,9.79,200.0
2019-08-02 05:30:00,NASDAQ:IMVT,10.1,10.25,9.8,9.8,736.0
2019-08-09 05:30:00,NASDAQ:IMVT,9.84,9.84,9.84,9.84,110.0
2019-08-27 05:30:00,NASDAQ:IMVT,9.84,9.87,9.84,9.87,23500.0
2019-08-28 05:30:00,NASDAQ:IMVT,9.87,9.88,9.87,9.88,7900.0
2019-08-29 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,15200.0
2019-08-30 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,10000.0
2019-09-09 05:30:00,NASDAQ:IMVT,9.75,9.91,9.75,9.91,1690.0
2019-09-10 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,400.0
2019-09-11 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,300.0
2019-09-12 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,38780.0
2019-09-13 05:30:00,NASDAQ:IMVT,9.9152,9.92,9.9152,9.92,690.0
2019-09-16 05:30:00,NASDAQ:IMVT,9.75,9.75,9.75,9.75,586.0
2019-09-17 05:30:00,NASDAQ:IMVT,9.9,9.9,9.9,9.9,498.0
2019-09-18 05:30:00,NASDAQ:IMVT,9.94,9.95,9.94,9.95,278000.0
2019-09-19 05:30:00,NASDAQ:IMVT,9.98,9.98,9.9664,9.9664,996.0
2019-09-20 05:30:00,NASDAQ:IMVT,9.98,9.98,9.98,9.98,1060.0
2019-09-23 05:30:00,NASDAQ:IMVT,10.0,10.0,9.99,10.0,2036.0
2019-09-24 05:30:00,NASDAQ:IMVT,9.95,9.97,9.95,9.95,1702.0
2019-09-25 05:30:00,NASDAQ:IMVT,9.95,9.96,9.95,9.96,10122.0
2019-09-26 05:30:00,NASDAQ:IMVT,10.04,10.04,10.02,10.02,1000.0
2019-09-27 05:30:00,NASDAQ:IMVT,10.04,10.05,9.95,10.02,9350.0
2019-10-02 05:30:00,NASDAQ:IMVT,10.28,10.32,10.15,10.15,426868.0
2019-10-03 05:30:00,NASDAQ:IMVT,10.19,10.2,10.13,10.15,505400.0
2019-10-04 05:30:00,NASDAQ:IMVT,10.16,10.2,10.16,10.2,121109.0
2019-10-07 05:30:00,NASDAQ:IMVT,10.2,10.2,10.15,10.2,41101.0
2019-10-08 05:30:00,NASDAQ:IMVT,10.22,10.2354,10.17,10.2,12902.0
2019-10-09 05:30:00,NASDAQ:IMVT,10.21,10.21,10.2,10.21,18536.0
2019-10-10 05:30:00,NASDAQ:IMVT,10.23,10.24,10.2,10.2222,325271.0
2019-10-11 05:30:00,NASDAQ:IMVT,10.22,10.26,10.2,10.22,22350.0
2019-10-14 05:30:00,NASDAQ:IMVT,10.22,10.22,10.15,10.19,11400.0
2019-10-16 05:30:00,NASDAQ:IMVT,10.19,10.19,10.16,10.18,5700.0
2019-10-17 05:30:00,NASDAQ:IMVT,10.18,10.18,10.16,10.16,54800.0
2019-10-18 05:30:00,NASDAQ:IMVT,10.16,10.16,10.16,10.16,1200.0
2019-10-21 05:30:00,NASDAQ:IMVT,10.16,10.16,10.14,10.14,109256.0
2019-10-22 05:30:00,NASDAQ:IMVT,10.15,10.15,10.15,10.15,435.0
2019-10-23 05:30:00,NASDAQ:IMVT,10.15,10.15,10.14,10.14,27700.0
2019-10-24 05:30:00,NASDAQ:IMVT,10.15,10.15,10.14,10.14,82944.0
2019-10-25 05:30:00,NASDAQ:IMVT,10.15,10.15,10.145,10.15,5296.0
2019-10-28 05:30:00,NASDAQ:IMVT,10.15,10.15,10.1,10.1,11254.0
2019-10-29 05:30:00,NASDAQ:IMVT,10.12,10.12,10.12,10.12,10000.0
2019-10-30 05:30:00,NASDAQ:IMVT,10.13,10.13,10.13,10.13,4110.0
2019-10-31 05:30:00,NASDAQ:IMVT,10.13,10.18,10.13,10.16,592725.0
2019-11-01 05:30:00,NASDAQ:IMVT,10.18,10.18,10.14,10.16,6200.0
2019-11-04 05:30:00,NASDAQ:IMVT,10.1698,10.17,10.16,10.17,20306.0
2019-11-05 05:30:00,NASDAQ:IMVT,10.18,10.18,10.165,10.165,3490.0
2019-11-06 05:30:00,NASDAQ:IMVT,10.1705,10.18,10.16,10.1735,2600.0
2019-11-07 05:30:00,NASDAQ:IMVT,10.18,10.18,10.17,10.17,30290.0
2019-11-08 05:30:00,NASDAQ:IMVT,10.16,10.17,10.16,10.17,32337.0
2019-11-11 05:30:00,NASDAQ:IMVT,10.18,10.18,10.17,10.18,23200.0
2019-11-12 05:30:00,NASDAQ:IMVT,10.1925,10.1925,10.17,10.17,216309.0
2019-11-13 05:30:00,NASDAQ:IMVT,10.1747,10.1747,10.17,10.17,129667.0
