datetime,symbol,open,high,low,close,volume
2013-09-25 05:30:00,NASDAQ:ISEE,23.06,26.92,23.0,26.3,7522020.0
2013-09-26 05:30:00,NASDAQ:ISEE,26.1,28.9921,25.52,28.26,740738.0
2013-09-27 05:30:00,NASDAQ:ISEE,29.54,31.99,26.61,29.18,486315.0
2013-09-30 05:30:00,NASDAQ:ISEE,29.0,30.6,28.17,29.71,243302.0
2013-10-01 05:30:00,NASDAQ:ISEE,29.74,30.9405,29.08,29.81,322255.0
2013-10-02 05:30:00,NASDAQ:ISEE,29.5,32.75,29.5,32.74,322381.0
2013-10-03 05:30:00,NASDAQ:ISEE,33.65,34.7474,32.75,33.24,392596.0
2013-10-04 05:30:00,NASDAQ:ISEE,33.93,36.0,33.3,34.59,292956.0
2013-10-07 05:30:00,NASDAQ:ISEE,34.97,35.63,30.75,30.98,305050.0
2013-10-08 05:30:00,NASDAQ:ISEE,30.5,30.855,29.05,29.06,189586.0
2013-10-09 05:30:00,NASDAQ:ISEE,28.98,28.98,25.765,28.22,422920.0
2013-10-10 05:30:00,NASDAQ:ISEE,28.5,29.75,26.0,27.38,462094.0
2013-10-11 05:30:00,NASDAQ:ISEE,26.8,27.97,26.53,27.63,300718.0
2013-10-14 05:30:00,NASDAQ:ISEE,27.24,27.97,27.1,27.81,73378.0
2013-10-15 05:30:00,NASDAQ:ISEE,28.0,28.2333,27.25,27.59,68344.0
2013-10-16 05:30:00,NASDAQ:ISEE,27.97,29.05,27.11,29.0,117357.0
2013-10-17 05:30:00,NASDAQ:ISEE,29.25,29.25,28.08,28.75,156419.0
2013-10-18 05:30:00,NASDAQ:ISEE,28.67,30.26,28.564,29.25,49582.0
2013-10-21 05:30:00,NASDAQ:ISEE,31.32,32.95,30.28,32.67,784816.0
2013-10-22 05:30:00,NASDAQ:ISEE,34.25,34.25,32.0001,33.08,269494.0
2013-10-23 05:30:00,NASDAQ:ISEE,33.62,34.35,32.16,33.27,138660.0
2013-10-24 05:30:00,NASDAQ:ISEE,33.09,36.6,33.09,34.93,314398.0
2013-10-25 05:30:00,NASDAQ:ISEE,34.91,34.93,33.08,34.0,288118.0
2013-10-28 05:30:00,NASDAQ:ISEE,35.24,35.75,33.19,34.37,98038.0
2013-10-29 05:30:00,NASDAQ:ISEE,34.23,36.36,33.55,34.01,98576.0
2013-10-30 05:30:00,NASDAQ:ISEE,34.31,34.495,33.14,33.75,130757.0
2013-10-31 05:30:00,NASDAQ:ISEE,33.88,33.999,31.52,33.52,163993.0
2013-11-01 05:30:00,NASDAQ:ISEE,33.21,34.0,31.652,32.35,194050.0
2013-11-04 05:30:00,NASDAQ:ISEE,32.13,32.74,29.75,31.344,339339.0
2013-11-05 05:30:00,NASDAQ:ISEE,30.98,32.2,29.75,30.5,117692.0
2013-11-06 05:30:00,NASDAQ:ISEE,31.94,31.94,28.02,28.72,252989.0
2013-11-07 05:30:00,NASDAQ:ISEE,28.53,28.53,26.135,27.0,257649.0
2013-11-08 05:30:00,NASDAQ:ISEE,27.35,28.54,26.8,27.5,91752.0
2013-11-11 05:30:00,NASDAQ:ISEE,27.57,29.37,27.0001,28.52,61431.0
2013-11-12 05:30:00,NASDAQ:ISEE,28.62,31.2,26.02,26.49,178415.0
2013-11-13 05:30:00,NASDAQ:ISEE,26.5,26.745,23.3001,26.0,632352.0
2013-11-14 05:30:00,NASDAQ:ISEE,26.0,27.22,23.6,24.64,310611.0
2013-11-15 05:30:00,NASDAQ:ISEE,24.66,25.2,23.25,23.69,208299.0
2013-11-18 05:30:00,NASDAQ:ISEE,23.84,24.61,22.61,24.49,189670.0
2013-11-19 05:30:00,NASDAQ:ISEE,25.16,25.4899,23.55,23.88,99498.0
2013-11-20 05:30:00,NASDAQ:ISEE,23.9,25.8,23.44,24.62,451260.0
2013-11-21 05:30:00,NASDAQ:ISEE,24.63,25.43,23.54,24.678,134843.0
2013-11-22 05:30:00,NASDAQ:ISEE,24.65,26.27,23.66,25.47,70830.0
2013-11-25 05:30:00,NASDAQ:ISEE,25.39,25.842,25.16,25.62,16053.0
2013-11-26 05:30:00,NASDAQ:ISEE,25.7,27.36,25.7,27.09,100498.0
2013-11-27 05:30:00,NASDAQ:ISEE,27.29,27.75,26.41,26.65,92011.0
2013-11-29 05:30:00,NASDAQ:ISEE,26.8,28.58,26.8,28.25,86598.0
2013-12-02 05:30:00,NASDAQ:ISEE,28.25,29.6,28.09,28.41,104631.0
2013-12-03 05:30:00,NASDAQ:ISEE,28.14,28.42,26.05,26.97,74799.0
2013-12-04 05:30:00,NASDAQ:ISEE,27.0,28.91,26.54,28.09,124367.0
2013-12-05 05:30:00,NASDAQ:ISEE,28.32,29.87,28.2301,28.91,125863.0
2013-12-06 05:30:00,NASDAQ:ISEE,29.11,31.93,28.985,30.0,201304.0
2013-12-09 05:30:00,NASDAQ:ISEE,30.8,31.36,29.59,29.81,151691.0
2013-12-10 05:30:00,NASDAQ:ISEE,29.8,30.191,28.33,28.51,135351.0
2013-12-11 05:30:00,NASDAQ:ISEE,28.4,29.61,27.77,28.78,87568.0
2013-12-12 05:30:00,NASDAQ:ISEE,28.62,30.22,28.135,29.68,81650.0
2013-12-13 05:30:00,NASDAQ:ISEE,29.89,31.11,29.74,30.89,128627.0
