datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:KRG,11.4,12.4,10.76,12.4,64150.0
2009-03-13 05:30:00,NYSE:KRG,12.44,12.44,11.72,12.04,27849.0
2009-03-16 05:30:00,NYSE:KRG,12.2,12.64,11.08,11.48,32069.0
2009-03-17 05:30:00,NYSE:KRG,11.2,12.16,11.2,11.8,104903.0
2009-03-18 05:30:00,NYSE:KRG,11.84,11.84,10.8,11.4,82657.0
2009-03-19 05:30:00,NYSE:KRG,11.6,11.68,10.04,10.6,55196.0
2009-03-20 05:30:00,NYSE:KRG,10.72,11.04,10.0,10.0,40572.0
2009-03-23 05:30:00,NYSE:KRG,10.36,10.8,10.16,10.56,69046.0
2009-03-24 05:30:00,NYSE:KRG,10.32,10.8,9.72,9.76,38849.0
2009-03-25 05:30:00,NYSE:KRG,9.92,11.028,9.72,10.32,38147.0
2009-03-26 05:30:00,NYSE:KRG,10.48,11.24,9.72,10.0,69294.0
2009-03-27 05:30:00,NYSE:KRG,10.0,10.52,9.2,9.32,66436.0
2009-03-30 05:30:00,NYSE:KRG,9.36,9.36,8.12,8.64,36146.0
2009-03-31 05:30:00,NYSE:KRG,8.88,9.8,8.64,9.8,61845.0
2009-04-01 05:30:00,NYSE:KRG,9.84,9.88,9.0,9.88,81322.0
2009-04-02 05:30:00,NYSE:KRG,10.2,11.0,9.64,10.6,217827.0
2009-04-03 05:30:00,NYSE:KRG,10.0,10.56,9.0,10.48,106201.0
2009-04-06 05:30:00,NYSE:KRG,10.52,10.76,10.0,10.44,101389.0
2009-04-07 05:30:00,NYSE:KRG,10.12,10.56,10.0804,10.4,60264.0
2009-04-08 05:30:00,NYSE:KRG,10.24,10.4,9.68,10.04,35268.0
2009-04-09 05:30:00,NYSE:KRG,10.36,10.76,10.12,10.72,115725.0
2009-04-13 05:30:00,NYSE:KRG,10.6,10.68,9.84,10.24,87910.0
2009-04-14 05:30:00,NYSE:KRG,10.08,10.44,9.52,9.96,51222.0
2009-04-15 05:30:00,NYSE:KRG,9.88,10.4,9.68,10.4,46355.0
2009-04-16 05:30:00,NYSE:KRG,10.36,11.0,10.24,11.0,160287.0
2009-04-17 05:30:00,NYSE:KRG,11.0,14.44,10.72,13.56,131771.0
2009-04-20 05:30:00,NYSE:KRG,12.8,13.08,10.0,10.2,101367.0
2009-04-21 05:30:00,NYSE:KRG,10.04,12.2,10.0,11.52,164831.0
2009-04-22 05:30:00,NYSE:KRG,11.36,12.76,10.72,12.76,160619.0
2009-04-23 05:30:00,NYSE:KRG,12.96,13.88,12.48,13.88,100411.0
2009-04-24 05:30:00,NYSE:KRG,14.0,14.96,12.96,13.72,86680.0
2009-04-27 05:30:00,NYSE:KRG,13.24,13.44,12.0,12.4,68243.0
2009-04-28 05:30:00,NYSE:KRG,12.32,12.64,11.6,11.76,62750.0
2009-04-29 05:30:00,NYSE:KRG,11.92,13.28,11.8,13.24,50857.0
2009-04-30 05:30:00,NYSE:KRG,13.24,14.92,13.24,14.0,114241.0
2009-05-01 05:30:00,NYSE:KRG,14.0,14.0,12.56,12.56,62953.0
2009-05-04 05:30:00,NYSE:KRG,12.88,15.8,12.84,15.4,115114.0
2009-05-05 05:30:00,NYSE:KRG,15.32,16.36,14.92,16.08,83869.0
2009-05-06 05:30:00,NYSE:KRG,16.08,17.52,15.48,17.32,73442.0
2009-05-07 05:30:00,NYSE:KRG,17.96,17.96,16.16,16.6,76553.0
2009-05-08 05:30:00,NYSE:KRG,16.92,18.16,16.32,18.08,63491.0
2009-05-11 05:30:00,NYSE:KRG,17.56,19.08,16.2,16.44,87345.0
2009-05-12 05:30:00,NYSE:KRG,17.08,17.4,15.36,16.0,125012.0
2009-05-13 05:30:00,NYSE:KRG,12.48,12.96,11.68,12.88,2042474.0
2009-05-14 05:30:00,NYSE:KRG,12.76,13.4,12.52,13.32,337575.0
2009-05-15 05:30:00,NYSE:KRG,13.4,13.4,12.24,13.24,186134.0
2009-05-18 05:30:00,NYSE:KRG,13.24,13.32,12.72,13.24,122118.0
2009-05-19 05:30:00,NYSE:KRG,12.8,13.2,12.12,12.72,114707.0
2009-05-20 05:30:00,NYSE:KRG,12.92,14.0,12.5,13.6,322048.0
2009-05-21 05:30:00,NYSE:KRG,13.52,13.92,12.96,13.6,155266.0
2009-05-22 05:30:00,NYSE:KRG,13.6,13.92,13.0,13.92,316742.0
2009-05-26 05:30:00,NYSE:KRG,13.64,14.0,13.28,14.0,225669.0
2009-05-27 05:30:00,NYSE:KRG,13.92,13.96,12.4,12.56,125885.0
2009-05-28 05:30:00,NYSE:KRG,12.68,13.32,12.68,13.28,184712.0
2009-05-29 05:30:00,NYSE:KRG,13.36,13.46,12.76,12.96,491164.0
2009-06-01 05:30:00,NYSE:KRG,13.24,15.24,12.8,14.6,437235.0
