datetime,symbol,open,high,low,close,volume
2020-10-09 05:30:00,NASDAQ:KRON,28.5,29.95,25.5006,27.07,3751586.0
2020-10-12 05:30:00,NASDAQ:KRON,28.29,32.0,27.51,29.0,841193.0
2020-10-13 05:30:00,NASDAQ:KRON,29.63,30.5,28.5001,29.29,586261.0
2020-10-14 05:30:00,NASDAQ:KRON,28.96,32.851,28.6623,31.57,1160470.0
2020-10-15 05:30:00,NASDAQ:KRON,30.83,34.9,30.0,31.79,1844548.0
2020-10-16 05:30:00,NASDAQ:KRON,32.24,33.215,31.1,32.06,212639.0
2020-10-19 05:30:00,NASDAQ:KRON,32.41,33.62,32.08,33.1,209436.0
2020-10-20 05:30:00,NASDAQ:KRON,32.68,33.5,30.111,32.59,243864.0
2020-10-21 05:30:00,NASDAQ:KRON,32.29,33.25,31.8,32.28,190726.0
2020-10-22 05:30:00,NASDAQ:KRON,31.91,33.45,30.87,33.17,136613.0
2020-10-23 05:30:00,NASDAQ:KRON,33.16,33.65,32.11,32.42,132223.0
2020-10-26 05:30:00,NASDAQ:KRON,32.0,32.2,28.71,29.03,237983.0
2020-10-27 05:30:00,NASDAQ:KRON,28.82,30.79,26.55,30.0,276813.0
2020-10-28 05:30:00,NASDAQ:KRON,29.56,31.345,28.6962,30.13,88948.0
2020-10-29 05:30:00,NASDAQ:KRON,30.37,30.37,28.49,28.69,154490.0
2020-10-30 05:30:00,NASDAQ:KRON,28.22,28.645,27.75,28.09,86516.0
2020-11-02 05:30:00,NASDAQ:KRON,28.08,28.39,25.57,26.93,270729.0
2020-11-03 05:30:00,NASDAQ:KRON,27.11,27.6274,26.14,26.68,260590.0
2020-11-04 05:30:00,NASDAQ:KRON,26.73,28.845,26.73,27.54,180468.0
2020-11-05 05:30:00,NASDAQ:KRON,27.62,28.46,26.98,27.76,196934.0
2020-11-06 05:30:00,NASDAQ:KRON,27.74,31.18,27.5505,30.4,196766.0
2020-11-09 05:30:00,NASDAQ:KRON,30.85,31.925,29.325,29.37,182910.0
2020-11-10 05:30:00,NASDAQ:KRON,29.62,29.62,27.11,29.18,135845.0
2020-11-11 05:30:00,NASDAQ:KRON,29.63,30.0,28.54,28.98,116892.0
2020-11-12 05:30:00,NASDAQ:KRON,28.76,29.77,27.97,28.7,227725.0
2020-11-13 05:30:00,NASDAQ:KRON,28.87,29.49,27.855,27.89,204211.0
2020-11-16 05:30:00,NASDAQ:KRON,28.24,30.98,28.0,30.53,250635.0
2020-11-17 05:30:00,NASDAQ:KRON,30.64,33.145,30.01,32.84,240101.0
2020-11-18 05:30:00,NASDAQ:KRON,32.26,32.75,30.29,30.5,200867.0
2020-11-19 05:30:00,NASDAQ:KRON,30.5,33.545,30.02,33.27,251318.0
2020-11-20 05:30:00,NASDAQ:KRON,33.11,36.535,31.99,35.23,148580.0
2020-11-23 05:30:00,NASDAQ:KRON,35.77,39.0,34.745,38.09,121544.0
2020-11-24 05:30:00,NASDAQ:KRON,38.83,39.605,36.8801,38.23,135764.0
2020-11-25 05:30:00,NASDAQ:KRON,37.95,38.23,33.745,33.84,221122.0
2020-11-27 05:30:00,NASDAQ:KRON,33.87,34.94,33.84,34.68,95497.0
2020-11-30 05:30:00,NASDAQ:KRON,34.38,34.89,31.0031,32.07,178850.0
2020-12-01 05:30:00,NASDAQ:KRON,32.08,33.255,31.34,31.5,115665.0
2020-12-02 05:30:00,NASDAQ:KRON,31.21,31.21,29.1,29.28,137412.0
2020-12-03 05:30:00,NASDAQ:KRON,29.28,29.89,28.21,28.36,170656.0
2020-12-04 05:30:00,NASDAQ:KRON,28.5,29.98,28.5,29.98,108844.0
2020-12-07 05:30:00,NASDAQ:KRON,30.26,31.6,29.67,31.57,162599.0
2020-12-08 05:30:00,NASDAQ:KRON,31.16,32.5,30.2201,31.29,134127.0
2020-12-09 05:30:00,NASDAQ:KRON,31.67,32.0276,29.9501,30.94,98142.0
