datetime,symbol,open,high,low,close,volume
2018-01-12 05:30:00,NYSE:LBRT,21.2,22.12,21.05,21.75,10448681.0
2018-01-16 05:30:00,NYSE:LBRT,21.9,22.09,21.36,21.82,1044172.0
2018-01-17 05:30:00,NYSE:LBRT,22.0,22.83,22.0,22.32,1086123.0
2018-01-18 05:30:00,NYSE:LBRT,22.35,22.93,22.17,22.32,695725.0
2018-01-19 05:30:00,NYSE:LBRT,22.44,23.78,22.29,22.58,850831.0
2018-01-22 05:30:00,NYSE:LBRT,22.74,22.99,22.57,22.9,365519.0
2018-01-23 05:30:00,NYSE:LBRT,22.94,23.3,22.731,23.03,207082.0
2018-01-24 05:30:00,NYSE:LBRT,23.01,23.0601,22.29,22.92,635138.0
2018-01-25 05:30:00,NYSE:LBRT,22.96,22.96,22.59,22.78,517501.0
2018-01-26 05:30:00,NYSE:LBRT,22.61,22.9199,22.5,22.65,401213.0
2018-01-29 05:30:00,NYSE:LBRT,22.93,23.0,22.5,22.55,346031.0
2018-01-30 05:30:00,NYSE:LBRT,22.37,22.51,21.97,22.1,1108850.0
2018-01-31 05:30:00,NYSE:LBRT,22.1,22.3,22.0,22.14,816299.0
2018-02-01 05:30:00,NYSE:LBRT,22.06,22.1943,21.57,21.72,355213.0
2018-02-02 05:30:00,NYSE:LBRT,21.64,21.77,20.381,20.9,531238.0
2018-02-05 05:30:00,NYSE:LBRT,20.82,20.82,20.06,20.47,420783.0
2018-02-06 05:30:00,NYSE:LBRT,20.29,21.7,20.25,21.19,1100541.0
2018-02-07 05:30:00,NYSE:LBRT,21.37,21.43,20.74,20.86,552146.0
2018-02-08 05:30:00,NYSE:LBRT,21.0,21.14,19.66,20.31,935572.0
2018-02-09 05:30:00,NYSE:LBRT,20.4,20.42,17.79,18.82,2320482.0
2018-02-12 05:30:00,NYSE:LBRT,18.9,19.3,18.79,19.23,323664.0
2018-02-13 05:30:00,NYSE:LBRT,18.61,19.371,18.31,19.22,245226.0
2018-02-14 05:30:00,NYSE:LBRT,19.12,20.06,19.07,19.9,608779.0
2018-02-15 05:30:00,NYSE:LBRT,20.01,20.16,19.5,19.85,705236.0
2018-02-16 05:30:00,NYSE:LBRT,19.75,20.0,19.39,19.8,274072.0
2018-02-20 05:30:00,NYSE:LBRT,19.74,20.09,19.7,19.86,205925.0
2018-02-21 05:30:00,NYSE:LBRT,19.9,20.41,19.72,20.05,271637.0
2018-02-22 05:30:00,NYSE:LBRT,20.11,20.19,19.82,19.9,417415.0
2018-02-23 05:30:00,NYSE:LBRT,20.08,20.5,19.46,20.48,296019.0
2018-02-26 05:30:00,NYSE:LBRT,20.5,20.53,20.03,20.2,343310.0
2018-02-27 05:30:00,NYSE:LBRT,20.2,20.52,19.095,19.61,327215.0
2018-02-28 05:30:00,NYSE:LBRT,19.64,19.742,18.31,18.59,513407.0
2018-03-01 05:30:00,NYSE:LBRT,18.44,18.94,17.72,17.76,1042145.0
2018-03-02 05:30:00,NYSE:LBRT,17.66,17.92,16.8,17.5,1084580.0
2018-03-05 05:30:00,NYSE:LBRT,17.32,19.1,17.32,18.36,501248.0
2018-03-06 05:30:00,NYSE:LBRT,18.45,18.6899,17.86,18.24,513515.0
2018-03-07 05:30:00,NYSE:LBRT,18.03,18.4,17.28,17.86,644388.0
2018-03-08 05:30:00,NYSE:LBRT,17.78,18.1,17.05,17.55,420362.0
2018-03-09 05:30:00,NYSE:LBRT,17.56,18.66,17.55,18.41,255967.0
2018-03-12 05:30:00,NYSE:LBRT,18.45,19.07,18.16,18.99,646397.0
2018-03-13 05:30:00,NYSE:LBRT,17.3,18.965,17.1,18.44,1327974.0
2018-03-14 05:30:00,NYSE:LBRT,18.41,18.73,17.57,17.63,960798.0
2018-03-15 05:30:00,NYSE:LBRT,17.66,17.99,16.625,17.02,704166.0
2018-03-16 05:30:00,NYSE:LBRT,16.69,17.79,16.69,17.73,2245802.0
2018-03-19 05:30:00,NYSE:LBRT,17.65,17.65,16.65,17.15,493303.0
2018-03-20 05:30:00,NYSE:LBRT,17.29,17.48,16.59,17.44,508977.0
2018-03-21 05:30:00,NYSE:LBRT,17.47,18.59,17.277,18.39,450713.0
2018-03-22 05:30:00,NYSE:LBRT,18.21,18.54,17.94,18.12,218379.0
2018-03-23 05:30:00,NYSE:LBRT,18.19,18.5719,17.61,17.83,590477.0
2018-03-26 05:30:00,NYSE:LBRT,18.09,18.22,17.14,17.54,648263.0
2018-03-27 05:30:00,NYSE:LBRT,17.57,17.785,16.43,16.64,752890.0
2018-03-28 05:30:00,NYSE:LBRT,16.69,17.0058,16.18,16.22,586575.0
2018-03-29 05:30:00,NYSE:LBRT,16.23,17.03,16.0,16.89,598930.0
2018-04-02 05:30:00,NYSE:LBRT,16.71,17.25,16.27,16.44,372619.0
2018-04-03 05:30:00,NYSE:LBRT,16.64,16.955,16.115,16.93,278484.0
2018-04-04 05:30:00,NYSE:LBRT,16.67,17.25,16.035,17.21,246130.0
2018-04-05 05:30:00,NYSE:LBRT,17.31,17.87,17.26,17.77,371146.0
2018-04-06 05:30:00,NYSE:LBRT,17.67,17.8,17.29,17.52,370760.0
2018-04-09 05:30:00,NYSE:LBRT,17.6,17.85,17.25,17.44,412619.0
2018-04-10 05:30:00,NYSE:LBRT,17.72,19.37,17.13,19.26,754744.0
2018-04-11 05:30:00,NYSE:LBRT,18.9,19.75,18.62,19.01,673824.0
2018-04-12 05:30:00,NYSE:LBRT,19.05,19.1864,18.17,18.74,293192.0
2018-04-13 05:30:00,NYSE:LBRT,18.76,18.93,18.54,18.69,253391.0
2018-04-16 05:30:00,NYSE:LBRT,18.76,19.1,18.54,19.04,195914.0
2018-04-17 05:30:00,NYSE:LBRT,19.26,19.82,18.77,19.41,369238.0
2018-04-18 05:30:00,NYSE:LBRT,19.81,20.74,19.56,19.66,763565.0
2018-04-19 05:30:00,NYSE:LBRT,19.8,20.57,19.67,19.83,312749.0
2018-04-20 05:30:00,NYSE:LBRT,19.53,19.91,18.88,19.48,969871.0
2018-04-23 05:30:00,NYSE:LBRT,19.62,19.68,19.25,19.3,383005.0
2018-04-24 05:30:00,NYSE:LBRT,19.41,20.34,19.03,19.94,500625.0
2018-04-25 05:30:00,NYSE:LBRT,19.89,20.25,19.52,19.9,321344.0
2018-04-26 05:30:00,NYSE:LBRT,20.05,20.385,19.83,19.94,243037.0
