datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:LCII,5.54,6.44,5.4,6.33,281836.0
2009-03-13 05:30:00,NYSE:LCII,6.5,7.2,6.36,7.15,135157.0
2009-03-16 05:30:00,NYSE:LCII,7.25,7.52,7.01,7.42,301020.0
2009-03-17 05:30:00,NYSE:LCII,7.54,8.76,7.11,8.73,234018.0
2009-03-18 05:30:00,NYSE:LCII,8.7,8.81,8.2,8.56,200495.0
2009-03-19 05:30:00,NYSE:LCII,8.68,9.25,8.57,8.58,118045.0
2009-03-20 05:30:00,NYSE:LCII,8.7,8.73,8.24,8.52,217446.0
2009-03-23 05:30:00,NYSE:LCII,8.78,9.96,8.61,9.96,141149.0
2009-03-24 05:30:00,NYSE:LCII,9.74,9.88,9.13,9.22,127457.0
2009-03-25 05:30:00,NYSE:LCII,9.42,10.54,9.15,9.65,175252.0
2009-03-26 05:30:00,NYSE:LCII,9.8,10.16,9.72,9.99,156594.0
2009-03-27 05:30:00,NYSE:LCII,9.76,10.0,9.51,9.51,124431.0
2009-03-30 05:30:00,NYSE:LCII,9.17,9.21,8.7,8.86,95460.0
2009-03-31 05:30:00,NYSE:LCII,9.03,9.085,8.665,8.68,114122.0
2009-04-01 05:30:00,NYSE:LCII,8.43,8.78,8.15,8.5,212411.0
2009-04-02 05:30:00,NYSE:LCII,8.73,10.0,8.63,9.73,171909.0
2009-04-03 05:30:00,NYSE:LCII,9.68,10.1899,9.55,10.04,214583.0
2009-04-06 05:30:00,NYSE:LCII,9.89,10.38,9.75,10.33,119247.0
2009-04-07 05:30:00,NYSE:LCII,10.11,10.32,9.82,9.94,119406.0
2009-04-08 05:30:00,NYSE:LCII,10.01,10.89,9.89,10.44,153052.0
2009-04-09 05:30:00,NYSE:LCII,10.83,11.89,10.31,11.74,163379.0
2009-04-13 05:30:00,NYSE:LCII,11.42,11.79,10.89,11.58,132785.0
2009-04-14 05:30:00,NYSE:LCII,11.3,11.53,10.46,10.7,152817.0
2009-04-15 05:30:00,NYSE:LCII,10.58,11.7,10.5,11.21,97883.0
2009-04-16 05:30:00,NYSE:LCII,11.22,11.73,10.81,11.73,187519.0
