datetime,symbol,open,high,low,close,volume
2015-06-25 05:30:00,NASDAQ:LNTH,6.12,7.19,5.97,6.77,2066942.0
2015-06-26 05:30:00,NASDAQ:LNTH,6.6,6.77,6.18,6.43,306285.0
2015-06-29 05:30:00,NASDAQ:LNTH,6.12,6.35,6.02,6.15,120116.0
2015-06-30 05:30:00,NASDAQ:LNTH,6.24,6.39,6.13,6.19,21459.0
2015-07-01 05:30:00,NASDAQ:LNTH,6.36,6.38,6.13,6.32,65586.0
2015-07-02 05:30:00,NASDAQ:LNTH,6.49,6.73,6.47,6.67,54910.0
2015-07-06 05:30:00,NASDAQ:LNTH,6.57,7.21,6.4,6.87,160094.0
2015-07-07 05:30:00,NASDAQ:LNTH,7.12,7.4999,6.76,6.89,37357.0
2015-07-08 05:30:00,NASDAQ:LNTH,7.38,7.38,6.522,7.15,71685.0
2015-07-09 05:30:00,NASDAQ:LNTH,7.15,7.15,6.5001,7.0,29099.0
2015-07-10 05:30:00,NASDAQ:LNTH,6.97,7.0,6.8,6.91,17701.0
2015-07-13 05:30:00,NASDAQ:LNTH,6.87,6.95,6.69,6.88,38922.0
2015-07-14 05:30:00,NASDAQ:LNTH,6.8,7.08,6.7501,7.0,67552.0
2015-07-15 05:30:00,NASDAQ:LNTH,6.89,7.1,6.74,6.99,22355.0
2015-07-16 05:30:00,NASDAQ:LNTH,7.25,7.25,6.7261,7.13,33848.0
2015-07-17 05:30:00,NASDAQ:LNTH,7.2,7.5,7.0,7.47,52965.0
2015-07-20 05:30:00,NASDAQ:LNTH,6.98,7.66,6.7546,6.91,134335.0
2015-07-21 05:30:00,NASDAQ:LNTH,7.16,7.68,7.0101,7.33,76988.0
2015-07-22 05:30:00,NASDAQ:LNTH,7.26,7.3,7.0,7.19,57238.0
2015-07-23 05:30:00,NASDAQ:LNTH,7.3,7.3,6.96,7.17,66581.0
2015-07-24 05:30:00,NASDAQ:LNTH,7.01,7.4492,7.01,7.18,35953.0
2015-07-27 05:30:00,NASDAQ:LNTH,7.11,7.45,6.0805,6.53,135064.0
2015-07-28 05:30:00,NASDAQ:LNTH,6.4,6.74,6.4,6.71,82134.0
2015-07-29 05:30:00,NASDAQ:LNTH,6.8,7.2,6.49,7.2,81597.0
2015-07-30 05:30:00,NASDAQ:LNTH,7.27,7.49,7.09,7.27,156565.0
2015-07-31 05:30:00,NASDAQ:LNTH,7.45,7.45,7.15,7.37,60980.0
2015-08-03 05:30:00,NASDAQ:LNTH,7.45,7.5,6.7,7.16,183873.0
2015-08-04 05:30:00,NASDAQ:LNTH,7.35,7.38,6.4,6.72,85872.0
2015-08-05 05:30:00,NASDAQ:LNTH,7.01,7.128,6.5,6.77,168975.0
2015-08-06 05:30:00,NASDAQ:LNTH,6.7,7.17,6.452,6.63,241800.0
2015-08-07 05:30:00,NASDAQ:LNTH,6.95,6.95,6.4,6.46,179924.0
2015-08-10 05:30:00,NASDAQ:LNTH,6.36,6.79,6.36,6.68,158575.0
2015-08-11 05:30:00,NASDAQ:LNTH,6.75,6.76,6.31,6.33,151660.0
2015-08-12 05:30:00,NASDAQ:LNTH,6.3,6.56,6.12,6.55,102687.0
2015-08-13 05:30:00,NASDAQ:LNTH,6.57,7.1,6.57,7.07,71842.0
2015-08-14 05:30:00,NASDAQ:LNTH,6.89,7.47,6.86,7.43,50338.0
2015-08-17 05:30:00,NASDAQ:LNTH,8.16,8.58,7.44,8.56,145849.0
2015-08-18 05:30:00,NASDAQ:LNTH,8.42,8.58,8.241,8.39,122224.0
2015-08-19 05:30:00,NASDAQ:LNTH,8.28,8.28,7.81,7.97,108513.0
2015-08-20 05:30:00,NASDAQ:LNTH,7.89,8.25,7.49,7.95,103201.0
2015-08-21 05:30:00,NASDAQ:LNTH,7.84,7.84,7.205,7.35,78885.0
2015-08-24 05:30:00,NASDAQ:LNTH,6.87,7.35,6.07,6.12,135918.0
2015-08-25 05:30:00,NASDAQ:LNTH,6.52,7.37,6.4801,6.59,82961.0
2015-08-26 05:30:00,NASDAQ:LNTH,6.45,7.16,6.45,6.89,133847.0
2015-08-27 05:30:00,NASDAQ:LNTH,6.762,7.805,6.762,7.42,58342.0
2015-08-28 05:30:00,NASDAQ:LNTH,7.41,7.42,6.65,6.75,190276.0
2015-08-31 05:30:00,NASDAQ:LNTH,6.2,6.63,6.13,6.21,211286.0
2015-09-01 05:30:00,NASDAQ:LNTH,6.23,6.25,5.81,6.0,153299.0
2015-09-02 05:30:00,NASDAQ:LNTH,6.1,6.1772,6.01,6.1,117654.0
2015-09-03 05:30:00,NASDAQ:LNTH,6.17,6.93,6.17,6.82,119195.0
2015-09-04 05:30:00,NASDAQ:LNTH,7.14,7.14,6.6205,6.84,61213.0
2015-09-08 05:30:00,NASDAQ:LNTH,7.0,7.175,6.46,6.99,112562.0
2015-09-09 05:30:00,NASDAQ:LNTH,6.98,7.37,6.98,7.31,52589.0
2015-09-10 05:30:00,NASDAQ:LNTH,7.19,7.24,6.82,6.94,74250.0
2015-09-11 05:30:00,NASDAQ:LNTH,7.24,7.24,6.98,6.98,36563.0
2015-09-14 05:30:00,NASDAQ:LNTH,6.97,7.01,6.21,7.0,41541.0
2015-09-15 05:30:00,NASDAQ:LNTH,6.98,7.2,6.42,6.54,82715.0
2015-09-16 05:30:00,NASDAQ:LNTH,6.5,7.01,6.38,6.4,70969.0
2015-09-17 05:30:00,NASDAQ:LNTH,6.59,6.59,6.38,6.47,101325.0
2015-09-18 05:30:00,NASDAQ:LNTH,6.44,6.99,5.38,5.38,398211.0
2015-09-21 05:30:00,NASDAQ:LNTH,5.79,6.23,5.7,5.94,157059.0
2015-09-22 05:30:00,NASDAQ:LNTH,5.92,5.99,5.66,5.76,89626.0
2015-09-23 05:30:00,NASDAQ:LNTH,5.69,6.04,5.69,5.98,51978.0
2015-09-24 05:30:00,NASDAQ:LNTH,5.96,5.96,5.72,5.84,48757.0
2015-09-25 05:30:00,NASDAQ:LNTH,5.8,5.9,5.72,5.75,152157.0
2015-09-28 05:30:00,NASDAQ:LNTH,5.51,5.635,4.785,4.98,146602.0
2015-09-29 05:30:00,NASDAQ:LNTH,5.0,5.29,4.86,4.98,117806.0
2015-09-30 05:30:00,NASDAQ:LNTH,4.74,4.74,3.82,4.3,1523498.0
2015-10-01 05:30:00,NASDAQ:LNTH,4.38,4.79,4.2601,4.76,225914.0
2015-10-02 05:30:00,NASDAQ:LNTH,4.73,4.73,4.01,4.07,123821.0
2015-10-05 05:30:00,NASDAQ:LNTH,4.06,4.1,3.72,3.72,128774.0
