datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:LNW,12.29,13.06,11.82,13.01,1749107.0
2009-03-13 05:30:00,NASDAQ:LNW,13.07,14.05,13.05,14.01,1644504.0
2009-03-16 05:30:00,NASDAQ:LNW,14.07,14.07,13.3,13.42,1461098.0
2009-03-17 05:30:00,NASDAQ:LNW,13.5,14.63,13.47,14.52,1566218.0
2009-03-18 05:30:00,NASDAQ:LNW,14.37,14.68,13.951,14.4,1820689.0
2009-03-19 05:30:00,NASDAQ:LNW,14.61,14.985,14.48,14.75,907214.0
2009-03-20 05:30:00,NASDAQ:LNW,14.82,14.86,13.69,13.93,712818.0
2009-03-23 05:30:00,NASDAQ:LNW,14.3,15.11,14.13,15.11,1009727.0
2009-03-24 05:30:00,NASDAQ:LNW,15.0,15.0,14.07,14.1,1278699.0
2009-03-25 05:30:00,NASDAQ:LNW,14.1,14.16,12.59,13.07,1826676.0
2009-03-26 05:30:00,NASDAQ:LNW,13.12,14.015,13.1,13.8,1516271.0
2009-03-27 05:30:00,NASDAQ:LNW,13.55,13.8,13.11,13.2,981318.0
2009-03-30 05:30:00,NASDAQ:LNW,13.01,13.3,12.06,12.23,1322011.0
2009-03-31 05:30:00,NASDAQ:LNW,12.4,12.75,12.065,12.11,1297926.0
2009-04-01 05:30:00,NASDAQ:LNW,11.86,12.64,11.77,12.61,1026094.0
2009-04-02 05:30:00,NASDAQ:LNW,12.87,14.28,12.87,13.87,1527685.0
2009-04-03 05:30:00,NASDAQ:LNW,13.92,14.88,13.77,14.88,1542768.0
2009-04-06 05:30:00,NASDAQ:LNW,14.78,14.8,14.18,14.29,959084.0
2009-04-07 05:30:00,NASDAQ:LNW,13.99,13.99,13.33,13.4,660313.0
2009-04-08 05:30:00,NASDAQ:LNW,13.56,13.85,13.44,13.68,737847.0
2009-04-09 05:30:00,NASDAQ:LNW,14.29,15.0,13.78,14.96,1215308.0
2009-04-13 05:30:00,NASDAQ:LNW,14.74,15.41,14.4301,15.27,1164860.0
2009-04-14 05:30:00,NASDAQ:LNW,15.2,15.41,14.64,14.9,781103.0
2009-04-15 05:30:00,NASDAQ:LNW,14.73,15.12,14.46,14.82,556699.0
2009-04-16 05:30:00,NASDAQ:LNW,15.03,16.06,14.84,15.9,1384212.0
2009-04-17 05:30:00,NASDAQ:LNW,15.88,15.88,15.22,15.51,1323586.0
2009-04-20 05:30:00,NASDAQ:LNW,15.14,15.46,14.54,14.6,822353.0
2009-04-21 05:30:00,NASDAQ:LNW,14.61,15.15,14.37,14.78,1121029.0
2009-04-22 05:30:00,NASDAQ:LNW,14.53,15.27,14.45,14.9,1354163.0
2009-04-23 05:30:00,NASDAQ:LNW,14.98,15.49,14.64,15.4,1540601.0
2009-04-24 05:30:00,NASDAQ:LNW,15.51,16.28999,15.4,16.16,1200574.0
2009-04-27 05:30:00,NASDAQ:LNW,15.83,16.42999,15.56,16.17,1516821.0
2009-04-28 05:30:00,NASDAQ:LNW,15.92,16.6897,15.62,16.39,1291464.0
2009-04-29 05:30:00,NASDAQ:LNW,16.47,17.31,16.42999,17.17999,1182940.0
2009-04-30 05:30:00,NASDAQ:LNW,17.34,18.295,17.3,17.49001,1375736.0
2009-05-01 05:30:00,NASDAQ:LNW,17.42,17.46001,16.73,17.0,900908.0
2009-05-04 05:30:00,NASDAQ:LNW,17.13,17.84,17.02,17.82001,1032966.0
2009-05-05 05:30:00,NASDAQ:LNW,17.66,18.07961,17.53,17.7,1090402.0
2009-05-06 05:30:00,NASDAQ:LNW,17.98,18.32001,16.83,17.33749,1343741.0
2009-05-07 05:30:00,NASDAQ:LNW,17.63,18.13,15.89,16.41,1505496.0
2009-05-08 05:30:00,NASDAQ:LNW,17.96001,20.16,17.25999,19.09,2895592.0
2009-05-11 05:30:00,NASDAQ:LNW,18.89999,20.10001,18.46001,19.89,1831717.0
2009-05-12 05:30:00,NASDAQ:LNW,19.86,19.86,18.36,18.58,1683678.0
2009-05-13 05:30:00,NASDAQ:LNW,18.41,18.45,17.02,17.08,1485601.0
2009-05-14 05:30:00,NASDAQ:LNW,17.27,17.60001,16.87,17.3,974909.0
2009-05-15 05:30:00,NASDAQ:LNW,17.25,17.75999,16.89999,17.00999,890631.0
2009-05-18 05:30:00,NASDAQ:LNW,17.13,18.62,17.13,18.56,1017608.0
2009-05-19 05:30:00,NASDAQ:LNW,18.28,18.33,17.82001,17.87,1226211.0
2009-05-20 05:30:00,NASDAQ:LNW,18.06,18.25,17.7,17.95,1070996.0
2009-05-21 05:30:00,NASDAQ:LNW,17.72,17.8,16.8,17.0,965855.0
2009-05-22 05:30:00,NASDAQ:LNW,17.16,17.28,16.62,16.71001,564666.0
2009-05-26 05:30:00,NASDAQ:LNW,16.66,17.87,16.64,17.7,623223.0
2009-05-27 05:30:00,NASDAQ:LNW,17.64999,18.25999,17.41,17.42999,611177.0
2009-05-28 05:30:00,NASDAQ:LNW,17.56,17.67,16.95,17.45,391957.0
2009-05-29 05:30:00,NASDAQ:LNW,17.57001,17.97,17.21001,17.83,543441.0
2009-06-01 05:30:00,NASDAQ:LNW,17.95,19.07001,17.91,18.92999,1268809.0
2009-06-02 05:30:00,NASDAQ:LNW,18.66,19.34,18.61,19.12,884354.0
2009-06-03 05:30:00,NASDAQ:LNW,18.89,19.25,18.69,19.03999,526523.0
2009-06-04 05:30:00,NASDAQ:LNW,19.0,19.35001,18.75999,19.28,576913.0
2009-06-05 05:30:00,NASDAQ:LNW,19.47,19.73,18.97,19.07001,695821.0
2009-06-08 05:30:00,NASDAQ:LNW,19.00999,19.05,18.46001,18.89999,466284.0
2009-06-09 05:30:00,NASDAQ:LNW,18.99001,19.0775,18.78999,18.99001,674769.0
2009-06-10 05:30:00,NASDAQ:LNW,19.10001,19.10001,18.35001,18.72,717618.0
2009-06-11 05:30:00,NASDAQ:LNW,18.85001,19.16,18.73,19.06,725003.0
2009-06-12 05:30:00,NASDAQ:LNW,18.92,19.17999,18.60001,19.14999,748022.0
2009-06-15 05:30:00,NASDAQ:LNW,18.88,18.98,17.7,18.09,804385.0
2009-06-16 05:30:00,NASDAQ:LNW,18.17,18.87,17.84,18.09,724677.0
2009-06-17 05:30:00,NASDAQ:LNW,18.12,18.45,17.38,18.14999,669175.0
2009-06-18 05:30:00,NASDAQ:LNW,18.11,18.16,17.69,17.91,356494.0
2009-06-19 05:30:00,NASDAQ:LNW,18.13,18.21001,17.44,17.59,933326.0
2009-06-22 05:30:00,NASDAQ:LNW,17.36,17.5,16.55,16.63,809951.0
2009-06-23 05:30:00,NASDAQ:LNW,16.64999,16.88,16.37,16.47,928666.0
2009-06-24 05:30:00,NASDAQ:LNW,16.63,17.03,16.36,16.5,662300.0
2009-06-25 05:30:00,NASDAQ:LNW,16.37,16.95,16.35001,16.78,820475.0
2009-06-26 05:30:00,NASDAQ:LNW,16.72,16.94,16.05499,16.22,1712636.0
2009-06-29 05:30:00,NASDAQ:LNW,16.35001,16.64,16.14999,16.37,1208120.0
2009-06-30 05:30:00,NASDAQ:LNW,16.36,16.55,15.535,15.76,1310969.0
2009-07-01 05:30:00,NASDAQ:LNW,16.00999,16.2,15.8,15.86,823012.0
2009-07-02 05:30:00,NASDAQ:LNW,15.55,15.59,14.73,14.74,841890.0
2009-07-06 05:30:00,NASDAQ:LNW,14.56,14.72,13.95,14.19,871420.0
2009-07-07 05:30:00,NASDAQ:LNW,14.17,14.3,13.64,13.73,735936.0
2009-07-08 05:30:00,NASDAQ:LNW,13.75,13.88,13.3,13.51,983668.0
2009-07-09 05:30:00,NASDAQ:LNW,13.6,14.25,13.46,13.82,989556.0
2009-07-10 05:30:00,NASDAQ:LNW,13.75,14.23,13.68,14.15,1341942.0
2009-07-13 05:30:00,NASDAQ:LNW,14.73,15.32,14.715,15.31,2354741.0
2009-07-14 05:30:00,NASDAQ:LNW,15.25,15.65,15.15,15.62,979829.0
2009-07-15 05:30:00,NASDAQ:LNW,15.83,16.17,15.83,15.92,701434.0
2009-07-16 05:30:00,NASDAQ:LNW,15.41,15.41,14.62,15.15,2207439.0
2009-07-17 05:30:00,NASDAQ:LNW,15.3,15.49,15.02,15.46,1061915.0
2009-07-20 05:30:00,NASDAQ:LNW,15.46,15.97,15.3,15.48,952201.0
2009-07-21 05:30:00,NASDAQ:LNW,15.51,15.52,14.92,15.33,819975.0
2009-07-22 05:30:00,NASDAQ:LNW,15.3,15.59,15.13,15.38,1235965.0
2009-07-23 05:30:00,NASDAQ:LNW,15.4,15.75,15.31,15.46,1044397.0
2009-07-24 05:30:00,NASDAQ:LNW,15.28,15.72,15.1,15.68,634111.0
2009-07-27 05:30:00,NASDAQ:LNW,15.54,15.86,15.34,15.69,573384.0
2009-07-28 05:30:00,NASDAQ:LNW,15.6,15.78,15.465,15.68,620150.0
2009-07-29 05:30:00,NASDAQ:LNW,15.5,15.95,15.36,15.75,738350.0
2009-07-30 05:30:00,NASDAQ:LNW,15.92,16.57001,15.8,16.21001,1140210.0
2009-07-31 05:30:00,NASDAQ:LNW,16.10001,18.34,15.97,18.02,2048658.0
2009-08-03 05:30:00,NASDAQ:LNW,18.07001,18.3,17.75999,18.13,1356369.0
2009-08-04 05:30:00,NASDAQ:LNW,17.95,18.59,17.89999,18.37,685844.0
