datetime,symbol,open,high,low,close,volume
2020-06-11 05:30:00,NASDAQ:LPRO,14.76,14.8,12.8946,12.9,348436.0
2020-06-12 05:30:00,NASDAQ:LPRO,13.54,13.92,12.7,13.4,452065.0
2020-06-15 05:30:00,NASDAQ:LPRO,13.5,13.7,13.0,13.5,312952.0
2020-06-16 05:30:00,NASDAQ:LPRO,14.5,14.6,13.5,14.3,461821.0
2020-06-17 05:30:00,NASDAQ:LPRO,14.92,15.53,14.2665,14.73,757160.0
2020-06-18 05:30:00,NASDAQ:LPRO,14.87,15.35,14.55,15.1,429552.0
2020-06-19 05:30:00,NASDAQ:LPRO,15.0,16.24,15.0,15.36,539822.0
2020-06-22 05:30:00,NASDAQ:LPRO,15.19,15.51,14.5025,15.14,541460.0
2020-06-23 05:30:00,NASDAQ:LPRO,15.08,16.3599,14.56,15.0,634026.0
2020-06-24 05:30:00,NASDAQ:LPRO,15.05,15.1,14.52,14.9,421456.0
2020-06-25 05:30:00,NASDAQ:LPRO,14.77,15.25,14.16,15.15,333272.0
2020-06-26 05:30:00,NASDAQ:LPRO,15.0,15.05,14.715,14.91,332908.0
2020-06-29 05:30:00,NASDAQ:LPRO,14.77,15.0,14.39,14.82,322081.0
2020-06-30 05:30:00,NASDAQ:LPRO,14.9,15.24,14.55,15.1,1198083.0
2020-07-01 05:30:00,NASDAQ:LPRO,15.12,15.25,14.91,15.15,949756.0
2020-07-02 05:30:00,NASDAQ:LPRO,15.16,15.99,15.16,15.46,633751.0
2020-07-06 05:30:00,NASDAQ:LPRO,15.25,15.73,15.0,15.64,888794.0
2020-07-07 05:30:00,NASDAQ:LPRO,15.59,15.76,15.37,15.76,315573.0
2020-07-08 05:30:00,NASDAQ:LPRO,15.77,16.03,15.63,15.84,366306.0
2020-07-09 05:30:00,NASDAQ:LPRO,15.8,15.8,14.93,15.72,313061.0
2020-07-10 05:30:00,NASDAQ:LPRO,15.59,15.625,15.02,15.38,627106.0
2020-07-13 05:30:00,NASDAQ:LPRO,15.39,15.69,15.28,15.67,409268.0
2020-07-14 05:30:00,NASDAQ:LPRO,15.92,17.96,15.71,17.95,1728749.0
2020-07-15 05:30:00,NASDAQ:LPRO,17.98,19.3,17.98,19.05,1328052.0
2020-07-16 05:30:00,NASDAQ:LPRO,19.01,19.39,18.2,18.41,632705.0
2020-07-17 05:30:00,NASDAQ:LPRO,18.34,18.35,17.08,17.3,818117.0
2020-07-20 05:30:00,NASDAQ:LPRO,17.35,17.81,17.3,17.54,792968.0
2020-07-21 05:30:00,NASDAQ:LPRO,17.45,18.05,17.45,17.83,848847.0
2020-07-22 05:30:00,NASDAQ:LPRO,17.78,18.0,17.67,17.94,414489.0
2020-07-23 05:30:00,NASDAQ:LPRO,17.91,18.05,17.695,18.0,431098.0
2020-07-24 05:30:00,NASDAQ:LPRO,17.87,17.98,17.36,17.64,1575653.0
2020-07-27 05:30:00,NASDAQ:LPRO,17.68,17.7899,17.345,17.46,1609254.0
2020-07-28 05:30:00,NASDAQ:LPRO,17.48,17.63,17.25,17.3,692236.0
2020-07-29 05:30:00,NASDAQ:LPRO,17.34,17.5,17.21,17.42,777859.0
2020-07-30 05:30:00,NASDAQ:LPRO,17.3,17.46,16.885,17.02,708550.0
2020-07-31 05:30:00,NASDAQ:LPRO,17.15,17.35,16.4501,16.96,512793.0
2020-08-03 05:30:00,NASDAQ:LPRO,16.99,17.39,16.58,17.27,416270.0
2020-08-04 05:30:00,NASDAQ:LPRO,17.25,17.38,17.04,17.29,340409.0
2020-08-05 05:30:00,NASDAQ:LPRO,17.47,17.66,17.18,17.36,564538.0
2020-08-06 05:30:00,NASDAQ:LPRO,17.32,17.77,17.275,17.69,395592.0
2020-08-07 05:30:00,NASDAQ:LPRO,17.73,17.87,17.345,17.86,348470.0
2020-08-10 05:30:00,NASDAQ:LPRO,17.89,18.5,17.88,18.37,882954.0
2020-08-11 05:30:00,NASDAQ:LPRO,18.63,19.16,18.47,18.68,1299926.0
2020-08-12 05:30:00,NASDAQ:LPRO,18.9,19.93,17.92,17.93,1673499.0
2020-08-13 05:30:00,NASDAQ:LPRO,18.05,18.89,18.0,18.33,465793.0
2020-08-14 05:30:00,NASDAQ:LPRO,18.47,18.75,18.16,18.42,354262.0
2020-08-17 05:30:00,NASDAQ:LPRO,18.32,19.35,18.07,19.31,1420094.0
2020-08-18 05:30:00,NASDAQ:LPRO,19.34,19.83,19.1,19.25,634808.0
2020-08-19 05:30:00,NASDAQ:LPRO,19.24,19.94,19.06,19.93,1006811.0
2020-08-20 05:30:00,NASDAQ:LPRO,20.0,20.33,19.36,19.61,690126.0
2020-08-21 05:30:00,NASDAQ:LPRO,19.67,20.3,19.11,19.45,755792.0
2020-08-24 05:30:00,NASDAQ:LPRO,20.15,20.25,19.57,20.1,713307.0
2020-08-25 05:30:00,NASDAQ:LPRO,19.95,21.57,19.9,20.99,1188862.0
2020-08-26 05:30:00,NASDAQ:LPRO,21.18,23.22,21.03,21.72,989164.0
2020-08-27 05:30:00,NASDAQ:LPRO,22.07,22.98,21.29,22.38,1488942.0
2020-08-28 05:30:00,NASDAQ:LPRO,22.65,22.8299,22.04,22.685,972650.0
2020-08-31 05:30:00,NASDAQ:LPRO,22.81,22.97,21.66,21.86,808497.0
2020-09-01 05:30:00,NASDAQ:LPRO,22.01,23.0,21.75,21.99,732768.0
2020-09-02 05:30:00,NASDAQ:LPRO,22.1,22.5,21.43,21.5,374416.0
2020-09-03 05:30:00,NASDAQ:LPRO,21.5,21.5,20.54,20.85,980869.0
2020-09-04 05:30:00,NASDAQ:LPRO,21.05,21.19,19.53,20.1,1003378.0
2020-09-08 05:30:00,NASDAQ:LPRO,20.01,22.37,19.76,21.51,1879575.0
2020-09-09 05:30:00,NASDAQ:LPRO,21.57,22.2594,21.3,21.44,1111900.0
2020-09-10 05:30:00,NASDAQ:LPRO,21.45,22.3,20.54,21.39,1313450.0
2020-09-11 05:30:00,NASDAQ:LPRO,21.35,22.2994,21.03,21.4,943891.0
2020-09-14 05:30:00,NASDAQ:LPRO,21.53,21.93,21.25,21.51,1421058.0
2020-09-15 05:30:00,NASDAQ:LPRO,21.9,22.98,21.72,22.21,1190798.0
2020-09-16 05:30:00,NASDAQ:LPRO,22.26,23.34,22.0201,22.9,2733253.0
2020-09-17 05:30:00,NASDAQ:LPRO,22.71,22.9,21.64,21.8,2025054.0
2020-09-18 05:30:00,NASDAQ:LPRO,21.7,22.01,21.08,21.9,4209016.0
2020-09-21 05:30:00,NASDAQ:LPRO,21.61,21.99,20.595,20.95,1758610.0
2020-09-22 05:30:00,NASDAQ:LPRO,20.94,23.18,20.585,22.23,2106358.0
2020-09-23 05:30:00,NASDAQ:LPRO,22.55,23.05,21.925,22.35,666552.0
2020-09-24 05:30:00,NASDAQ:LPRO,22.49,22.49,21.66,22.3,630989.0
2020-09-25 05:30:00,NASDAQ:LPRO,22.24,23.6799,21.71,23.55,1315142.0
2020-09-28 05:30:00,NASDAQ:LPRO,23.98,25.15,23.79,24.79,1052824.0
2020-09-29 05:30:00,NASDAQ:LPRO,25.5,25.54,24.505,25.16,1746835.0
2020-09-30 05:30:00,NASDAQ:LPRO,25.28,26.0,24.94,25.5,1042708.0
2020-10-01 05:30:00,NASDAQ:LPRO,25.98,27.36,25.98,26.84,1473128.0
2020-10-02 05:30:00,NASDAQ:LPRO,26.8,28.31,26.4001,27.49,1545990.0
2020-10-05 05:30:00,NASDAQ:LPRO,27.62,28.12,26.85,27.61,696621.0
2020-10-06 05:30:00,NASDAQ:LPRO,27.89,28.17,27.12,27.97,704133.0
