datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:LWLG,0.55,0.55,0.55,0.55,6240.0
2009-03-13 05:30:00,NASDAQ:LWLG,0.51,0.55,0.41,0.55,12682.0
2009-03-16 05:30:00,NASDAQ:LWLG,0.55,0.6,0.48,0.6,24100.0
2009-03-17 05:30:00,NASDAQ:LWLG,0.55,0.55,0.52,0.52,40000.0
2009-03-18 05:30:00,NASDAQ:LWLG,0.55,0.55,0.4,0.4,15220.0
2009-03-19 05:30:00,NASDAQ:LWLG,0.49,0.59,0.49,0.49,44257.0
2009-03-20 05:30:00,NASDAQ:LWLG,0.49,0.65,0.49,0.6,30700.0
2009-03-23 05:30:00,NASDAQ:LWLG,0.52,0.52,0.49,0.52,54900.0
2009-03-24 05:30:00,NASDAQ:LWLG,0.52,0.52,0.46,0.46,92500.0
2009-03-25 05:30:00,NASDAQ:LWLG,0.5,0.51,0.5,0.5,13710.0
2009-03-26 05:30:00,NASDAQ:LWLG,0.51,0.56,0.46,0.51,62605.0
2009-03-27 05:30:00,NASDAQ:LWLG,0.55,0.55,0.46,0.54,58471.0
2009-03-30 05:30:00,NASDAQ:LWLG,0.53,0.53,0.48,0.5,36900.0
2009-03-31 05:30:00,NASDAQ:LWLG,0.48,0.5,0.48,0.5,8500.0
2009-04-01 05:30:00,NASDAQ:LWLG,0.5,0.53,0.45,0.46,75200.0
2009-04-02 05:30:00,NASDAQ:LWLG,0.49,0.49,0.43,0.46,74200.0
2009-04-03 05:30:00,NASDAQ:LWLG,0.55,0.55,0.45,0.5,67190.0
2009-04-06 05:30:00,NASDAQ:LWLG,0.54,0.54,0.47,0.5,83124.0
2009-04-07 05:30:00,NASDAQ:LWLG,0.51,0.51,0.47,0.47,25000.0
2009-04-08 05:30:00,NASDAQ:LWLG,0.47,0.47,0.43,0.47,39590.0
2009-04-09 05:30:00,NASDAQ:LWLG,0.45,0.48,0.43,0.48,16875.0
2009-04-13 05:30:00,NASDAQ:LWLG,0.43,0.48,0.38,0.42,101455.0
2009-04-14 05:30:00,NASDAQ:LWLG,0.48,0.51,0.48,0.48,21100.0
2009-04-15 05:30:00,NASDAQ:LWLG,0.51,0.58,0.51,0.58,116500.0
2009-04-16 05:30:00,NASDAQ:LWLG,0.6,0.65,0.56,0.6,97745.0
2009-04-17 05:30:00,NASDAQ:LWLG,0.6,0.699,0.51,0.51,35481.0
2009-04-20 05:30:00,NASDAQ:LWLG,0.59,0.7,0.52,0.649,63900.0
2009-04-21 05:30:00,NASDAQ:LWLG,0.6,0.699,0.55,0.63,47400.0
2009-04-22 05:30:00,NASDAQ:LWLG,0.63,0.64,0.55,0.55,41525.0
2009-04-23 05:30:00,NASDAQ:LWLG,0.55,0.59,0.55,0.59,8100.0
2009-04-24 05:30:00,NASDAQ:LWLG,0.59,0.6,0.58,0.6,24480.0
2009-04-27 05:30:00,NASDAQ:LWLG,0.6,0.6,0.55,0.57,28800.0
2009-04-28 05:30:00,NASDAQ:LWLG,0.58,0.59,0.57,0.58,42029.0
