datetime,symbol,open,high,low,close,volume
2009-01-13 05:30:00,NASDAQ:MARK,42.0,42.0,27.0,37.0,211.0
2009-01-14 05:30:00,NASDAQ:MARK,37.0,40.0,36.0,36.0,301.0
2009-01-15 05:30:00,NASDAQ:MARK,36.1,47.0,30.0,30.0,363.0
2009-01-16 05:30:00,NASDAQ:MARK,32.0,32.0,27.0,29.0,626.0
2009-01-20 05:30:00,NASDAQ:MARK,29.0,31.0,25.0,25.0,861.0
2009-01-21 05:30:00,NASDAQ:MARK,40.0,40.0,24.72,28.0,754.0
2009-01-22 05:30:00,NASDAQ:MARK,29.98,29.98,24.0,24.0,511.0
2009-01-23 05:30:00,NASDAQ:MARK,24.0,36.0,22.45,24.0,590.0
2009-01-26 05:30:00,NASDAQ:MARK,22.0,28.99,22.0,26.0,271.0
2009-01-27 05:30:00,NASDAQ:MARK,30.0,35.0,22.0,23.0,1391.0
2009-01-28 05:30:00,NASDAQ:MARK,31.0,39.0,23.0,29.0,1703.0
2009-01-29 05:30:00,NASDAQ:MARK,26.1,33.9,25.0,25.0,447.0
2009-01-30 05:30:00,NASDAQ:MARK,25.0,26.0,22.01,23.0,537.0
2009-02-02 05:30:00,NASDAQ:MARK,23.0,28.01,22.0,23.0,212.0
2009-02-03 05:30:00,NASDAQ:MARK,24.0,28.88,22.0,23.0,494.0
2009-02-04 05:30:00,NASDAQ:MARK,23.0,25.0,18.03,20.0,1476.0
2009-02-05 05:30:00,NASDAQ:MARK,21.0,24.0,21.0,23.0,325.0
2009-02-06 05:30:00,NASDAQ:MARK,20.0,22.0,16.0,18.0,3361.0
2009-02-09 05:30:00,NASDAQ:MARK,18.0,20.0,17.5,17.51,1416.0
2009-02-10 05:30:00,NASDAQ:MARK,18.0,19.0,13.2,13.2,2206.0
2009-02-11 05:30:00,NASDAQ:MARK,14.0,20.88,14.0,16.25,4019.0
2009-02-12 05:30:00,NASDAQ:MARK,20.0,20.0,16.2,16.2,1460.0
2009-02-13 05:30:00,NASDAQ:MARK,17.0,23.0,16.6,23.0,921.0
2009-02-17 05:30:00,NASDAQ:MARK,23.0,23.5,19.0,19.0,604.0
2009-02-18 05:30:00,NASDAQ:MARK,20.0,23.0,20.0,22.0,919.0
2009-02-19 05:30:00,NASDAQ:MARK,22.9,26.0,22.9,23.0,1035.0
2009-02-20 05:30:00,NASDAQ:MARK,23.0,24.0,20.0,22.5,534.0
2009-02-23 05:30:00,NASDAQ:MARK,23.0,24.5,20.0,20.5,998.0
2009-02-24 05:30:00,NASDAQ:MARK,20.0,22.0,20.0,21.0,1196.0
2009-02-25 05:30:00,NASDAQ:MARK,21.0,26.0,20.0,20.0,1992.0
2009-02-26 05:30:00,NASDAQ:MARK,20.0,23.75,16.31,20.0,4132.0
2009-02-27 05:30:00,NASDAQ:MARK,20.0,26.0,17.5,18.0,938.0
2009-03-02 05:30:00,NASDAQ:MARK,17.0,17.98,15.0,15.0,3842.0
2009-03-03 05:30:00,NASDAQ:MARK,16.0,16.5,11.03,15.0,641.0
2009-03-04 05:30:00,NASDAQ:MARK,15.5,19.81,11.05,14.0,2484.0
2009-03-05 05:30:00,NASDAQ:MARK,14.0,14.0,10.0,11.0,3895.0
2009-03-06 05:30:00,NASDAQ:MARK,12.0,12.11,10.5,10.5,1798.0
2009-03-09 05:30:00,NASDAQ:MARK,11.0,11.61,10.8,10.91,854.0
2009-03-10 05:30:00,NASDAQ:MARK,11.6,14.0,9.1,14.0,2548.0
2009-03-11 05:30:00,NASDAQ:MARK,10.06,14.0,10.06,13.0,496.0
2009-03-12 05:30:00,NASDAQ:MARK,12.0,13.0,10.0,11.0,2367.0
2009-03-13 05:30:00,NASDAQ:MARK,11.0,11.49,8.0,10.5,2955.0
2009-03-16 05:30:00,NASDAQ:MARK,10.0,11.0,9.5,10.0,1734.0
2009-03-17 05:30:00,NASDAQ:MARK,10.9,10.9,9.5,10.0,1296.0
2009-03-18 05:30:00,NASDAQ:MARK,9.0,11.0,9.0,11.0,1398.0
2009-03-19 05:30:00,NASDAQ:MARK,12.0,13.0,8.1,9.0,1489.0
2009-03-20 05:30:00,NASDAQ:MARK,9.9,14.9,9.5,11.0,5142.0
2009-03-23 05:30:00,NASDAQ:MARK,9.1,16.0,9.1,15.0,6904.0
2009-03-24 05:30:00,NASDAQ:MARK,14.0,14.0,11.01,11.01,3544.0
2009-03-25 05:30:00,NASDAQ:MARK,12.0,20.9,11.75,18.47,21050.0
2009-03-26 05:30:00,NASDAQ:MARK,18.0,23.0,15.0,20.0,11839.0
2009-03-27 05:30:00,NASDAQ:MARK,19.98,19.98,12.12,14.0,8019.0
2009-03-30 05:30:00,NASDAQ:MARK,16.0,17.55,15.05,15.05,4966.0
2009-03-31 05:30:00,NASDAQ:MARK,16.87,18.0,15.07,16.5,2971.0
2009-04-01 05:30:00,NASDAQ:MARK,15.0,17.0,15.0,17.0,3615.0
2009-04-02 05:30:00,NASDAQ:MARK,16.5,19.61,16.0,19.0,3453.0
2009-04-03 05:30:00,NASDAQ:MARK,18.8,18.8,16.07,18.0,1137.0
2009-04-06 05:30:00,NASDAQ:MARK,17.98,18.5,14.21,16.0,3545.0
2009-04-07 05:30:00,NASDAQ:MARK,16.5,17.99,16.0,16.08,3751.0
2009-04-08 05:30:00,NASDAQ:MARK,16.97,18.0,16.0,18.0,1250.0
2009-04-09 05:30:00,NASDAQ:MARK,19.0,47.0,18.0,27.0,17067.0
2009-04-13 05:30:00,NASDAQ:MARK,27.0,27.0,22.07,23.0,5973.0
2009-04-14 05:30:00,NASDAQ:MARK,24.98,24.98,20.1,22.8,2368.0
2009-04-15 05:30:00,NASDAQ:MARK,21.03,23.0,20.0,21.0,2062.0
2009-04-16 05:30:00,NASDAQ:MARK,21.0,23.0,20.0,21.0,2133.0
2009-04-17 05:30:00,NASDAQ:MARK,21.99,25.0,20.03,24.0,3024.0
2009-04-20 05:30:00,NASDAQ:MARK,22.0,26.8,22.0,22.0,1476.0
2009-04-21 05:30:00,NASDAQ:MARK,22.0,24.5,21.1,23.0,2501.0
2009-04-22 05:30:00,NASDAQ:MARK,21.0,25.0,21.0,25.0,826.0
2009-04-23 05:30:00,NASDAQ:MARK,24.0,25.01,23.1,24.0,1036.0
2009-04-24 05:30:00,NASDAQ:MARK,24.0,28.0,22.05,27.98,2500.0
2009-04-27 05:30:00,NASDAQ:MARK,26.0,28.0,25.25,27.0,955.0
2009-04-28 05:30:00,NASDAQ:MARK,28.0,29.0,25.0,26.0,1138.0
2009-04-29 05:30:00,NASDAQ:MARK,24.0,27.75,22.99,26.0,1190.0
2009-04-30 05:30:00,NASDAQ:MARK,24.01,26.99,21.01,23.0,1156.0
2009-05-01 05:30:00,NASDAQ:MARK,23.0,29.0,23.0,25.0,2755.0
2009-05-04 05:30:00,NASDAQ:MARK,26.0,31.95,26.0,27.0,3073.0
2009-05-05 05:30:00,NASDAQ:MARK,27.0,28.98,26.0,26.0,1154.0
2009-05-06 05:30:00,NASDAQ:MARK,25.2,28.0,23.02,25.0,1408.0
2009-05-07 05:30:00,NASDAQ:MARK,27.0,27.0,21.0,23.0,4065.0
2009-05-08 05:30:00,NASDAQ:MARK,25.0,25.0,23.0,25.0,2408.0
2009-05-11 05:30:00,NASDAQ:MARK,25.0,26.98,23.1,24.0,1880.0
2009-05-12 05:30:00,NASDAQ:MARK,24.32,25.0,23.0,24.0,433.0
2009-05-13 05:30:00,NASDAQ:MARK,23.0,23.89,22.0,22.0,1494.0
2009-05-14 05:30:00,NASDAQ:MARK,23.0,23.0,21.5,22.01,305.0
2009-05-15 05:30:00,NASDAQ:MARK,23.99,23.99,21.0,21.0,499.0
2009-05-18 05:30:00,NASDAQ:MARK,21.0,23.0,21.0,23.0,510.0
2009-05-19 05:30:00,NASDAQ:MARK,22.0,24.0,21.94,24.0,689.0
2009-05-20 05:30:00,NASDAQ:MARK,23.0,24.0,21.0,22.0,721.0
2009-05-21 05:30:00,NASDAQ:MARK,21.01,23.0,21.01,21.01,310.0
2009-05-22 05:30:00,NASDAQ:MARK,23.0,24.0,16.05,18.0,3404.0
2009-05-26 05:30:00,NASDAQ:MARK,19.0,19.0,16.0,18.0,3860.0
2009-05-27 05:30:00,NASDAQ:MARK,17.9,17.9,16.0,17.9,3768.0
2009-05-28 05:30:00,NASDAQ:MARK,17.0,17.98,15.2,15.2,3497.0
2009-05-29 05:30:00,NASDAQ:MARK,15.25,20.0,15.2,16.0,6946.0
2009-06-01 05:30:00,NASDAQ:MARK,17.98,19.0,16.14,19.0,2785.0
2009-06-02 05:30:00,NASDAQ:MARK,20.0,23.99,18.0,19.0,8156.0
2009-06-03 05:30:00,NASDAQ:MARK,19.0,20.0,17.0,19.0,4839.0
2009-06-04 05:30:00,NASDAQ:MARK,18.98,22.7,16.21,22.7,7253.0
2009-06-05 05:30:00,NASDAQ:MARK,22.0,31.49,19.07,25.0,23774.0
2009-06-08 05:30:00,NASDAQ:MARK,26.99,26.99,19.0,20.1,9236.0
2009-06-09 05:30:00,NASDAQ:MARK,21.0,22.0,19.01,22.0,5393.0
2009-06-10 05:30:00,NASDAQ:MARK,22.0,31.92,20.0,26.0,20906.0
2009-06-11 05:30:00,NASDAQ:MARK,26.48,28.7,23.3,26.0,8211.0
2009-06-12 05:30:00,NASDAQ:MARK,25.0,26.0,23.0,24.0,4433.0
2009-06-15 05:30:00,NASDAQ:MARK,24.9,27.65,23.0,25.0,3072.0
2009-06-16 05:30:00,NASDAQ:MARK,27.65,32.76,26.0,30.0,10644.0
