datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:MBI,3.53,3.95,3.31,3.95,6706074.0
2009-03-13 05:30:00,NYSE:MBI,4.0,4.25,3.84,4.25,4940410.0
2009-03-16 05:30:00,NYSE:MBI,4.28,4.5,4.0,4.04,5793496.0
2009-03-17 05:30:00,NYSE:MBI,4.04,4.34,3.87,4.34,5103320.0
2009-03-18 05:30:00,NYSE:MBI,4.25,5.08,4.12,5.08,8055973.0
2009-03-19 05:30:00,NYSE:MBI,5.25,5.35,4.42,4.46,6855949.0
2009-03-20 05:30:00,NYSE:MBI,4.61,4.7,4.01,4.15,6881727.0
2009-03-23 05:30:00,NYSE:MBI,4.69,5.05,4.45,5.05,6098527.0
2009-03-24 05:30:00,NYSE:MBI,4.9,5.13,4.52,4.9,5140711.0
2009-03-25 05:30:00,NYSE:MBI,4.95,5.14,4.39,4.89,5552848.0
2009-03-26 05:30:00,NYSE:MBI,4.95,5.05,4.62,4.95,5271520.0
2009-03-27 05:30:00,NYSE:MBI,4.73,5.15,4.63,4.97,4568551.0
2009-03-30 05:30:00,NYSE:MBI,4.71,4.75,4.2,4.21,5459633.0
2009-03-31 05:30:00,NYSE:MBI,4.42,4.65,4.17,4.58,6755391.0
2009-04-01 05:30:00,NYSE:MBI,4.4,4.9,4.38,4.9,3491090.0
2009-04-02 05:30:00,NYSE:MBI,5.11,5.18,4.73,4.93,4603910.0
2009-04-03 05:30:00,NYSE:MBI,4.93,5.35,4.73,5.18,3789026.0
2009-04-06 05:30:00,NYSE:MBI,4.98,5.16,4.86,5.07,3794050.0
2009-04-07 05:30:00,NYSE:MBI,4.92,5.08,4.75,4.81,2945571.0
2009-04-08 05:30:00,NYSE:MBI,4.93,5.0399,4.54,4.62,3402512.0
2009-04-09 05:30:00,NYSE:MBI,4.89,5.07,4.8,5.03,5604129.0
2009-04-13 05:30:00,NYSE:MBI,5.1,5.55,4.94,5.42,7566223.0
2009-04-14 05:30:00,NYSE:MBI,5.19,5.46,4.96,4.98,4454895.0
2009-04-15 05:30:00,NYSE:MBI,4.91,5.4,4.81,5.38,3728386.0
2009-04-16 05:30:00,NYSE:MBI,5.48,5.5,5.15,5.35,3890175.0
2009-04-17 05:30:00,NYSE:MBI,5.33,5.5001,5.09,5.35,4214074.0
2009-04-20 05:30:00,NYSE:MBI,5.27,5.27,4.45,4.46,4453887.0
2009-04-21 05:30:00,NYSE:MBI,4.37,4.87,4.285,4.81,5716539.0
2009-04-22 05:30:00,NYSE:MBI,4.59,4.91,4.3,4.61,4855316.0
2009-04-23 05:30:00,NYSE:MBI,4.67,4.79,4.38,4.68,3007443.0
