datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:MCS,7.33,8.42,7.13,8.34,115245.0
2009-03-13 05:30:00,NYSE:MCS,8.39,8.55,7.7,8.01,92026.0
2009-03-16 05:30:00,NYSE:MCS,8.04,8.29,7.55,7.61,92293.0
2009-03-17 05:30:00,NYSE:MCS,7.55,8.14,7.42,8.07,164149.0
2009-03-18 05:30:00,NYSE:MCS,7.99,8.89,7.99,8.43,154780.0
2009-03-19 05:30:00,NYSE:MCS,8.9,10.35,8.64,9.73,205466.0
2009-03-20 05:30:00,NYSE:MCS,9.86,9.91,8.68,8.68,139823.0
2009-03-23 05:30:00,NYSE:MCS,8.9,9.23,8.0,9.23,249192.0
2009-03-24 05:30:00,NYSE:MCS,8.95,9.52,8.16,8.33,197986.0
2009-03-25 05:30:00,NYSE:MCS,8.41,8.81,7.9,8.72,147122.0
2009-03-26 05:30:00,NYSE:MCS,8.87,9.2,8.7,9.13,115746.0
2009-03-27 05:30:00,NYSE:MCS,8.91,9.07,8.33,8.33,89938.0
2009-03-30 05:30:00,NYSE:MCS,7.99,8.09,7.67,8.03,119523.0
2009-03-31 05:30:00,NYSE:MCS,8.16,8.8,7.85,8.5,126202.0
2009-04-01 05:30:00,NYSE:MCS,8.26,8.8,8.03,8.79,141704.0
2009-04-02 05:30:00,NYSE:MCS,9.11,10.11,8.97,9.97,176110.0
2009-04-03 05:30:00,NYSE:MCS,9.95,10.38,9.87,10.37,60778.0
2009-04-06 05:30:00,NYSE:MCS,10.21,10.57,10.02,10.32,215199.0
2009-04-07 05:30:00,NYSE:MCS,10.02,10.4296,9.17,9.21,194426.0
2009-04-08 05:30:00,NYSE:MCS,9.27,10.0,9.22,10.0,150694.0
2009-04-09 05:30:00,NYSE:MCS,10.37,11.23,10.37,10.79,212264.0
2009-04-13 05:30:00,NYSE:MCS,10.63,11.0,10.26,10.99,134969.0
2009-04-14 05:30:00,NYSE:MCS,10.72,11.19,10.31,10.57,159291.0
2009-04-15 05:30:00,NYSE:MCS,10.49,11.09,10.49,10.97,94393.0
2009-04-16 05:30:00,NYSE:MCS,11.13,11.59,10.36,11.5,221711.0
2009-04-17 05:30:00,NYSE:MCS,11.55,12.01,11.3,11.75,164988.0
2009-04-20 05:30:00,NYSE:MCS,11.29,11.31,10.33,10.46,202196.0
2009-04-21 05:30:00,NYSE:MCS,10.42,11.32,10.22,11.22,172223.0
2009-04-22 05:30:00,NYSE:MCS,11.0,12.0894,10.79,11.35,216448.0
2009-04-23 05:30:00,NYSE:MCS,11.42,12.99,11.4,12.6,277188.0
