datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:MGM,2.78,3.26,2.69,3.17,3876413.0
2009-03-13 05:30:00,NYSE:MGM,3.46,3.83,3.35,3.53,6051293.0
2009-03-16 05:30:00,NYSE:MGM,3.51,3.8,2.87,3.23,5691699.0
2009-03-17 05:30:00,NYSE:MGM,3.32,3.48,3.0,3.03,4167664.0
2009-03-18 05:30:00,NYSE:MGM,2.9,3.18,2.56,2.87,8727797.0
2009-03-19 05:30:00,NYSE:MGM,3.13,3.24,2.88,3.22,4649023.0
2009-03-20 05:30:00,NYSE:MGM,3.13,3.17,2.76,3.05,4062347.0
2009-03-23 05:30:00,NYSE:MGM,3.25,3.25,2.91,3.11,5698004.0
2009-03-24 05:30:00,NYSE:MGM,2.91,3.2,2.78,3.02,6719191.0
2009-03-25 05:30:00,NYSE:MGM,3.1,3.2,2.75,2.86,5591867.0
2009-03-26 05:30:00,NYSE:MGM,3.1,3.18,2.82,3.09,6247531.0
2009-03-27 05:30:00,NYSE:MGM,2.73,3.66,2.51,2.85,16110422.0
2009-03-30 05:30:00,NYSE:MGM,2.8,2.85,2.29,2.4,7395563.0
2009-03-31 05:30:00,NYSE:MGM,2.56,2.56,2.28,2.33,5243293.0
2009-04-01 05:30:00,NYSE:MGM,2.44,2.63,2.34,2.63,7081480.0
2009-04-02 05:30:00,NYSE:MGM,3.3,3.63,2.81,3.14,26445552.0
2009-04-03 05:30:00,NYSE:MGM,3.4,4.67,3.23,4.65,35749616.0
2009-04-06 05:30:00,NYSE:MGM,4.95,6.7,4.85,5.53,55729968.0
2009-04-07 05:30:00,NYSE:MGM,5.41,5.65,4.33,4.45,36302800.0
2009-04-08 05:30:00,NYSE:MGM,4.75,4.98,4.43,4.75,12649484.0
2009-04-09 05:30:00,NYSE:MGM,4.91,5.33,4.73,5.3,18129424.0
2009-04-13 05:30:00,NYSE:MGM,5.99,6.33,5.62,6.25,24972336.0
2009-04-14 05:30:00,NYSE:MGM,6.65,7.57,6.49,6.6,25625952.0
2009-04-15 05:30:00,NYSE:MGM,6.92,7.19,6.1,6.39,18460912.0
2009-04-16 05:30:00,NYSE:MGM,6.71,6.79,5.8,5.9,16623527.0
2009-04-17 05:30:00,NYSE:MGM,5.11,6.85,4.81,6.3,55642912.0
2009-04-20 05:30:00,NYSE:MGM,5.94,5.94,5.0,5.02,17406320.0
2009-04-21 05:30:00,NYSE:MGM,4.68,5.44,4.5,5.4,12731270.0
2009-04-22 05:30:00,NYSE:MGM,5.47,5.87,5.31,5.52,15189512.0
2009-04-23 05:30:00,NYSE:MGM,5.67,6.04,5.5,5.72,13904172.0
2009-04-24 05:30:00,NYSE:MGM,5.84,6.28,5.76,6.08,20734512.0
2009-04-27 05:30:00,NYSE:MGM,5.8,5.9,5.47,5.51,11338094.0
2009-04-28 05:30:00,NYSE:MGM,5.31,6.2,5.24,5.8,21978448.0
2009-04-29 05:30:00,NYSE:MGM,6.1,6.28,6.0,6.18,14272836.0
2009-04-30 05:30:00,NYSE:MGM,8.76,9.94,7.9,8.38,72899632.0
2009-05-01 05:30:00,NYSE:MGM,8.34,8.44,7.6,7.86,25200608.0
2009-05-04 05:30:00,NYSE:MGM,8.19,9.5,8.1,9.44,33471824.0
2009-05-05 05:30:00,NYSE:MGM,11.06,13.6,10.75,12.8,76456256.0
2009-05-06 05:30:00,NYSE:MGM,13.5,14.01,11.18,11.78,45873808.0
2009-05-07 05:30:00,NYSE:MGM,12.42,12.5,10.95,11.55,19688000.0
2009-05-08 05:30:00,NYSE:MGM,11.64,12.74,11.31,12.58,20270656.0
2009-05-11 05:30:00,NYSE:MGM,12.26,13.4599,11.6,13.1,21574928.0
2009-05-12 05:30:00,NYSE:MGM,13.46,13.78,11.5,12.4,23428720.0
2009-05-13 05:30:00,NYSE:MGM,10.83,11.01,8.32,8.7,59660944.0
2009-05-14 05:30:00,NYSE:MGM,7.73,8.8,7.25,7.76,136844816.0
2009-05-15 05:30:00,NYSE:MGM,7.99,8.5,7.53,7.67,52549056.0
2009-05-18 05:30:00,NYSE:MGM,8.25,8.77,8.0,8.74,52893488.0
2009-05-19 05:30:00,NYSE:MGM,8.86,9.07,8.3,8.34,40953280.0
2009-05-20 05:30:00,NYSE:MGM,8.64,8.78,8.08,8.17,29363392.0
2009-05-21 05:30:00,NYSE:MGM,7.95,8.17,7.65,7.79,24750336.0
2009-05-22 05:30:00,NYSE:MGM,7.92,7.96,7.21,7.59,36720064.0
2009-05-26 05:30:00,NYSE:MGM,7.34,7.73,7.08,7.14,41642480.0
2009-05-27 05:30:00,NYSE:MGM,7.41,7.58,7.01,7.24,43242368.0
2009-05-28 05:30:00,NYSE:MGM,7.4,7.49,6.95,7.14,22514464.0
2009-05-29 05:30:00,NYSE:MGM,7.24,7.52,7.1,7.46,28439248.0
2009-06-01 05:30:00,NYSE:MGM,7.75,8.4,7.64,8.36,40839952.0
2009-06-02 05:30:00,NYSE:MGM,8.27,8.3,7.77,7.92,29150272.0
2009-06-03 05:30:00,NYSE:MGM,7.78,7.78,7.35,7.49,19298608.0
2009-06-04 05:30:00,NYSE:MGM,7.58,7.7,7.24,7.53,25343952.0
2009-06-05 05:30:00,NYSE:MGM,7.73,7.75,7.31,7.52,21309984.0
2009-06-08 05:30:00,NYSE:MGM,7.38,7.39,7.1,7.31,17427232.0
2009-06-09 05:30:00,NYSE:MGM,7.26,7.3,7.09,7.15,15791176.0
2009-06-10 05:30:00,NYSE:MGM,7.41,7.42,6.95,7.04,26899824.0
