datetime,symbol,open,high,low,close,volume
2023-01-13 05:30:00,NASDAQ:MGOL,8.6,16.61,4.29,4.65,14431039.0
2023-01-17 05:30:00,NASDAQ:MGOL,5.41,6.7,4.64,4.9,16055765.0
2023-01-18 05:30:00,NASDAQ:MGOL,4.64,4.89,3.7,3.7,3666745.0
2023-01-19 05:30:00,NASDAQ:MGOL,3.46,4.1,3.31,3.93,3009205.0
2023-01-20 05:30:00,NASDAQ:MGOL,3.55,3.802,3.4,3.44,1346506.0
2023-01-23 05:30:00,NASDAQ:MGOL,3.55,3.65,3.25,3.28,1170310.0
2023-01-24 05:30:00,NASDAQ:MGOL,3.2,3.25,2.85,2.85,1831735.0
2023-01-25 05:30:00,NASDAQ:MGOL,2.8,3.13,2.71,2.78,2463506.0
2023-01-26 05:30:00,NASDAQ:MGOL,2.82,2.92,2.68,2.7,893316.0
2023-01-27 05:30:00,NASDAQ:MGOL,2.69,2.85,2.55,2.57,1165149.0
2023-01-30 05:30:00,NASDAQ:MGOL,2.57,2.5893,2.35,2.38,830007.0
2023-01-31 05:30:00,NASDAQ:MGOL,2.35,2.44,2.26,2.4,906877.0
2023-02-01 05:30:00,NASDAQ:MGOL,2.6,2.73,2.4,2.69,1581686.0
2023-02-02 05:30:00,NASDAQ:MGOL,3.0,3.0,2.58,2.66,3891712.0
2023-02-03 05:30:00,NASDAQ:MGOL,2.52,2.6,2.42,2.44,522318.0
