datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:MTZ,11.0,11.68,10.76,11.65,740006.0
2009-03-13 05:30:00,NYSE:MTZ,11.61,11.68,10.9,11.1,638772.0
2009-03-16 05:30:00,NYSE:MTZ,11.18,11.5,10.79,10.85,595838.0
2009-03-17 05:30:00,NYSE:MTZ,11.27,11.66,10.96,11.65,844096.0
2009-03-18 05:30:00,NYSE:MTZ,11.65,11.95,11.4,11.72,618890.0
2009-03-19 05:30:00,NYSE:MTZ,11.89,11.89,11.44,11.62,524158.0
2009-03-20 05:30:00,NYSE:MTZ,11.73,11.9,11.08,11.12,707317.0
2009-03-23 05:30:00,NYSE:MTZ,11.5,12.0,11.29,11.97,751166.0
2009-03-24 05:30:00,NYSE:MTZ,11.93,12.336,11.56,11.6,764679.0
2009-03-25 05:30:00,NYSE:MTZ,11.66,12.16,11.27,11.88,496820.0
2009-03-26 05:30:00,NYSE:MTZ,11.97,12.66,11.85,12.54,963770.0
2009-03-27 05:30:00,NYSE:MTZ,12.48,12.48,11.73,11.92,541293.0
2009-03-30 05:30:00,NYSE:MTZ,11.84,12.1,11.48,11.79,589662.0
2009-03-31 05:30:00,NYSE:MTZ,11.95,12.69,11.95,12.09,1187876.0
2009-04-01 05:30:00,NYSE:MTZ,12.12,12.7,11.82,12.47,709422.0
2009-04-02 05:30:00,NYSE:MTZ,12.79,13.39,12.65,13.18,1056097.0
2009-04-03 05:30:00,NYSE:MTZ,13.25,13.76,12.89,13.72,827700.0
2009-04-06 05:30:00,NYSE:MTZ,13.66,13.72,13.29,13.68,678203.0
2009-04-07 05:30:00,NYSE:MTZ,13.46,13.86,12.9,13.0,859591.0
2009-04-08 05:30:00,NYSE:MTZ,13.12,13.17,12.65,12.88,699510.0
2009-04-09 05:30:00,NYSE:MTZ,13.18,13.5,12.96,13.24,737797.0
2009-04-13 05:30:00,NYSE:MTZ,13.13,13.23,12.3224,12.94,738178.0
2009-04-14 05:30:00,NYSE:MTZ,12.79,13.13,12.55,12.71,570741.0
2009-04-15 05:30:00,NYSE:MTZ,12.73,13.0292,12.43,12.68,693354.0
2009-04-16 05:30:00,NYSE:MTZ,12.82,13.26,12.79,13.04,671189.0
2009-04-17 05:30:00,NYSE:MTZ,13.08,13.19,12.86,13.0,676882.0
2009-04-20 05:30:00,NYSE:MTZ,12.93,12.97,12.0,12.13,1032205.0
2009-04-21 05:30:00,NYSE:MTZ,12.01,12.89,12.01,12.8,841785.0
2009-04-22 05:30:00,NYSE:MTZ,12.71,13.49,12.53,13.1,1254128.0
2009-04-23 05:30:00,NYSE:MTZ,13.15,13.41,12.69,12.95,791825.0
2009-04-24 05:30:00,NYSE:MTZ,13.03,13.39,12.5,13.17,809086.0
2009-04-27 05:30:00,NYSE:MTZ,13.0,13.71,12.95,13.34,1247023.0
2009-04-28 05:30:00,NYSE:MTZ,13.26,13.41,12.75,12.92,662115.0
2009-04-29 05:30:00,NYSE:MTZ,13.06,13.69,12.99,13.62,1340326.0
2009-04-30 05:30:00,NYSE:MTZ,13.45,13.45,11.26,12.51,2990520.0
2009-05-01 05:30:00,NYSE:MTZ,12.46,13.2,12.46,12.74,1032381.0
2009-05-04 05:30:00,NYSE:MTZ,12.97,13.22,12.9,13.16,753188.0
2009-05-05 05:30:00,NYSE:MTZ,12.87,13.22,12.6,13.21,926027.0
2009-05-06 05:30:00,NYSE:MTZ,13.26,13.4,12.85,13.19,851073.0
2009-05-07 05:30:00,NYSE:MTZ,13.46,13.94,13.3,13.48,1473732.0
2009-05-08 05:30:00,NYSE:MTZ,13.68,14.0,13.5,13.6,1047965.0
2009-05-11 05:30:00,NYSE:MTZ,13.56,13.56,13.08,13.33,773189.0
2009-05-12 05:30:00,NYSE:MTZ,13.52,13.6,13.13,13.35,644296.0
2009-05-13 05:30:00,NYSE:MTZ,13.22,13.32,12.55,12.64,673020.0
2009-05-14 05:30:00,NYSE:MTZ,12.58,13.18,12.54,13.02,612629.0
2009-05-15 05:30:00,NYSE:MTZ,12.99,13.22,12.74,12.78,538998.0
2009-05-18 05:30:00,NYSE:MTZ,12.93,13.13,12.75,13.06,615592.0
2009-05-19 05:30:00,NYSE:MTZ,13.04,13.1,12.85,12.89,535787.0
2009-05-20 05:30:00,NYSE:MTZ,12.95,13.06,12.73,12.81,664576.0
2009-05-21 05:30:00,NYSE:MTZ,12.85,12.86,12.35,12.58,617184.0
2009-05-22 05:30:00,NYSE:MTZ,12.69,12.75,12.27,12.29,494192.0
2009-05-26 05:30:00,NYSE:MTZ,12.16,12.71,12.01,12.68,649572.0
2009-05-27 05:30:00,NYSE:MTZ,12.67,12.86,12.32,12.38,429924.0
2009-05-28 05:30:00,NYSE:MTZ,12.5,12.52,11.51,12.27,1009161.0
2009-05-29 05:30:00,NYSE:MTZ,12.29,12.95,12.29,12.95,728628.0
2009-06-01 05:30:00,NYSE:MTZ,13.1,13.52,12.9,13.37,600849.0
2009-06-02 05:30:00,NYSE:MTZ,11.95,12.34,11.9,12.13,6680586.0
2009-06-03 05:30:00,NYSE:MTZ,12.16,12.19,11.9499,12.15,1298515.0
2009-06-04 05:30:00,NYSE:MTZ,12.11,12.2,11.97,12.2,2429243.0
2009-06-05 05:30:00,NYSE:MTZ,12.3,12.5,12.06,12.28,1989488.0
2009-06-08 05:30:00,NYSE:MTZ,12.29,12.42,12.0,12.25,1265654.0
2009-06-09 05:30:00,NYSE:MTZ,12.27,12.5,12.25,12.37,958247.0
2009-06-10 05:30:00,NYSE:MTZ,12.47,12.5,12.06,12.12,819453.0
2009-06-11 05:30:00,NYSE:MTZ,12.17,12.4299,12.1,12.24,458519.0
2009-06-12 05:30:00,NYSE:MTZ,12.19,12.19,11.67,12.08,931601.0
2009-06-15 05:30:00,NYSE:MTZ,12.06,12.33,11.6,12.3,1320663.0
2009-06-16 05:30:00,NYSE:MTZ,12.38,12.47,11.95,12.0,865734.0
2009-06-17 05:30:00,NYSE:MTZ,12.04,12.32,11.95,12.22,801854.0
2009-06-18 05:30:00,NYSE:MTZ,12.17,12.39,12.0,12.33,395831.0
2009-06-19 05:30:00,NYSE:MTZ,12.4,12.46,12.07,12.13,1012100.0
2009-06-22 05:30:00,NYSE:MTZ,12.02,12.1,11.43,11.56,1165815.0
2009-06-23 05:30:00,NYSE:MTZ,11.59,11.84,11.37,11.49,624858.0
2009-06-24 05:30:00,NYSE:MTZ,11.62,12.14,11.54,11.79,1538878.0
2009-06-25 05:30:00,NYSE:MTZ,11.77,11.95,11.6,11.88,519211.0
