datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:MWA,2.23,2.58,2.14,2.56,1575139.0
2009-03-13 05:30:00,NYSE:MWA,2.57,2.65,2.26,2.6,1115280.0
2009-03-16 05:30:00,NYSE:MWA,2.74,2.74,2.43,2.48,1134790.0
2009-03-17 05:30:00,NYSE:MWA,2.48,2.99,2.37,2.99,1501666.0
2009-03-18 05:30:00,NYSE:MWA,2.9,2.96,2.64,2.87,1840966.0
2009-03-19 05:30:00,NYSE:MWA,2.94,2.94,2.62,2.68,1017369.0
2009-03-20 05:30:00,NYSE:MWA,2.66,2.66,2.35,2.39,2375798.0
2009-03-23 05:30:00,NYSE:MWA,2.49,2.71,2.47,2.71,2498114.0
2009-03-24 05:30:00,NYSE:MWA,2.61,2.71,2.54,2.56,1604085.0
2009-03-25 05:30:00,NYSE:MWA,2.61,2.74,2.41,2.71,3511109.0
2009-03-26 05:30:00,NYSE:MWA,2.76,3.12,2.72,3.12,1969471.0
2009-03-27 05:30:00,NYSE:MWA,3.12,3.69,3.12,3.42,4494441.0
2009-03-30 05:30:00,NYSE:MWA,3.29,3.37,2.7,3.2,8304723.0
2009-03-31 05:30:00,NYSE:MWA,3.15,3.4,3.01,3.3,3241852.0
2009-04-01 05:30:00,NYSE:MWA,3.21,3.41,3.05,3.32,1573782.0
2009-04-02 05:30:00,NYSE:MWA,3.46,3.91,3.4,3.82,1925464.0
2009-04-03 05:30:00,NYSE:MWA,3.82,3.84,3.51,3.82,1045881.0
2009-04-06 05:30:00,NYSE:MWA,3.75,3.81,3.52,3.76,1097737.0
2009-04-07 05:30:00,NYSE:MWA,3.67,3.68,3.36,3.4,1240950.0
2009-04-08 05:30:00,NYSE:MWA,3.45,3.64,3.4,3.64,1045976.0
2009-04-09 05:30:00,NYSE:MWA,3.76,3.99,3.68,3.99,1071967.0
2009-04-13 05:30:00,NYSE:MWA,3.9,4.14,3.82,4.08,906040.0
2009-04-14 05:30:00,NYSE:MWA,3.98,4.0,3.64,3.68,1611870.0
