datetime,symbol,open,high,low,close,volume
2014-07-01 05:30:00,NASDAQ:NERV,48.0,51.04,48.0,48.4,365899.0
2014-07-02 05:30:00,NASDAQ:NERV,48.8,49.1992,48.0,48.0,43636.0
2014-07-03 05:30:00,NASDAQ:NERV,48.24,49.76,48.0,49.04,14994.0
2014-07-07 05:30:00,NASDAQ:NERV,49.92,49.92,46.0,47.2,40654.0
2014-07-08 05:30:00,NASDAQ:NERV,46.4,48.64,46.4,47.76,24444.0
2014-07-09 05:30:00,NASDAQ:NERV,47.44,48.48,47.44,47.44,5382.0
2014-07-10 05:30:00,NASDAQ:NERV,46.8,60.3192,46.4,53.44,93414.0
2014-07-11 05:30:00,NASDAQ:NERV,56.8,57.04,51.28,52.88,34551.0
2014-07-14 05:30:00,NASDAQ:NERV,52.88,56.0,50.88,54.4,13422.0
2014-07-15 05:30:00,NASDAQ:NERV,54.4,54.4008,46.0,46.8,66693.0
2014-07-16 05:30:00,NASDAQ:NERV,47.2,48.72,44.5608,48.72,24920.0
2014-07-17 05:30:00,NASDAQ:NERV,48.0,51.2,46.4,50.8,17009.0
2014-07-18 05:30:00,NASDAQ:NERV,50.8,51.2,48.884,51.2,12122.0
2014-07-21 05:30:00,NASDAQ:NERV,51.2,51.2,48.88,50.64,7038.0
2014-07-22 05:30:00,NASDAQ:NERV,50.56,50.56,48.4,49.2,10662.0
2014-07-23 05:30:00,NASDAQ:NERV,50.08,50.3976,48.4,48.8,5243.0
2014-07-24 05:30:00,NASDAQ:NERV,48.8,53.6,48.4,52.48,24638.0
2014-07-25 05:30:00,NASDAQ:NERV,50.24,54.8,50.24,54.24,35428.0
2014-07-28 05:30:00,NASDAQ:NERV,55.92,63.12,54.56,60.24,71345.0
2014-07-29 05:30:00,NASDAQ:NERV,63.2,63.2,57.2,57.52,12706.0
2014-07-30 05:30:00,NASDAQ:NERV,56.24,56.78,52.08,52.24,16779.0
2014-07-31 05:30:00,NASDAQ:NERV,52.0,54.8,48.8,50.48,10358.0
2014-08-01 05:30:00,NASDAQ:NERV,50.48,50.48,49.2,50.08,9862.0
2014-08-04 05:30:00,NASDAQ:NERV,53.92,53.92,50.4,53.04,6168.0
2014-08-05 05:30:00,NASDAQ:NERV,51.6,54.4,49.76,49.92,4081.0
2014-08-06 05:30:00,NASDAQ:NERV,49.2,54.64,49.2,54.56,11006.0
2014-08-07 05:30:00,NASDAQ:NERV,54.8,56.0,52.912,56.0,15577.0
2014-08-08 05:30:00,NASDAQ:NERV,50.08,54.776,50.08,52.08,5003.0
2014-08-11 05:30:00,NASDAQ:NERV,52.4,55.28,52.0808,52.32,4558.0
2014-08-12 05:30:00,NASDAQ:NERV,54.16,56.8,52.96,55.8,11247.0
