datetime,symbol,open,high,low,close,volume
2004-12-03 05:30:00,NYSE:NINE,13.1,14.22,10.97,11.4,11888875.0
2004-12-06 05:30:00,NYSE:NINE,11.39,11.81,11.0,11.0,3404466.0
2004-12-07 05:30:00,NYSE:NINE,11.07,11.43,10.46,10.519,2030894.0
2004-12-08 05:30:00,NYSE:NINE,10.6,10.84,9.64,9.99,1730084.0
2004-12-09 05:30:00,NYSE:NINE,9.85,11.09,9.43,11.0,2293978.0
2004-12-10 05:30:00,NYSE:NINE,11.45,11.94,11.08,11.4,1841889.0
2004-12-13 05:30:00,NYSE:NINE,11.78,11.78,11.13,11.36,835981.0
2004-12-14 05:30:00,NYSE:NINE,11.2,11.58,10.81,10.81,575912.0
2004-12-15 05:30:00,NYSE:NINE,10.57,10.98,10.15,10.34,739185.0
2004-12-16 05:30:00,NYSE:NINE,10.15,10.5,9.95,10.15,828896.0
2004-12-17 05:30:00,NYSE:NINE,10.08,10.2,9.9,10.0,301850.0
2004-12-20 05:30:00,NYSE:NINE,10.1,10.17,9.3,9.36,775308.0
2004-12-21 05:30:00,NYSE:NINE,9.65,9.7,9.4,9.58,533338.0
2004-12-22 05:30:00,NYSE:NINE,9.75,10.35,9.68,10.1,988374.0
2004-12-23 05:30:00,NYSE:NINE,10.32,10.9,10.0,10.75,680625.0
2004-12-27 05:30:00,NYSE:NINE,10.79,11.38,10.72,10.92,956610.0
2004-12-28 05:30:00,NYSE:NINE,11.16,11.16,10.3,10.59,401909.0
2004-12-29 05:30:00,NYSE:NINE,10.5,11.1,10.28,10.5,388408.0
2004-12-30 05:30:00,NYSE:NINE,10.54,10.85,10.5,10.63,212766.0
2004-12-31 05:30:00,NYSE:NINE,10.74,10.95,10.5,10.75,283049.0
2005-01-03 05:30:00,NYSE:NINE,10.9,11.16,10.58,10.9,304971.0
2005-01-04 05:30:00,NYSE:NINE,11.25,11.48,10.1,10.65,818526.0
2005-01-05 05:30:00,NYSE:NINE,10.51,10.75,10.32,10.45,149793.0
2005-01-06 05:30:00,NYSE:NINE,10.35,10.6,10.05,10.21,228059.0
2005-01-07 05:30:00,NYSE:NINE,10.26,10.35,10.0,10.149,256166.0
2005-01-10 05:30:00,NYSE:NINE,10.0,10.119,9.9,9.9,271020.0
2005-01-11 05:30:00,NYSE:NINE,10.0,10.0,9.5,9.65,362953.0
2005-01-12 05:30:00,NYSE:NINE,9.8,9.8,8.38,8.96,722528.0
2005-01-13 05:30:00,NYSE:NINE,9.45,9.65,9.3,9.31,525217.0
2005-01-14 05:30:00,NYSE:NINE,9.55,9.89,9.48,9.73,380746.0
2005-01-18 05:30:00,NYSE:NINE,9.88,9.88,9.1,9.18,405554.0
2005-01-19 05:30:00,NYSE:NINE,9.39,9.6,9.18,9.25,150853.0
2005-01-20 05:30:00,NYSE:NINE,9.25,9.35,8.8,8.94,218513.0
2005-01-21 05:30:00,NYSE:NINE,8.99,9.05,8.9,8.93,260150.0
2005-01-24 05:30:00,NYSE:NINE,8.99,9.03,8.6,8.66,167530.0
2005-01-25 05:30:00,NYSE:NINE,8.65,8.9,8.05,8.1,575571.0
2005-01-26 05:30:00,NYSE:NINE,8.2,8.47,7.75,8.24,768366.0
2005-01-27 05:30:00,NYSE:NINE,8.5,8.75,8.261,8.38,259421.0
2005-01-28 05:30:00,NYSE:NINE,8.4,8.92,8.4,8.66,334880.0
2005-01-31 05:30:00,NYSE:NINE,8.91,9.15,8.68,9.049,264967.0
2005-02-01 05:30:00,NYSE:NINE,9.5,9.5,9.0,9.15,197339.0
2005-02-02 05:30:00,NYSE:NINE,9.3,9.3,9.0,9.14,134426.0
2005-02-03 05:30:00,NYSE:NINE,9.2,9.65,9.11,9.3,263312.0
2005-02-04 05:30:00,NYSE:NINE,9.27,9.3,9.1,9.2,190742.0
2005-02-07 05:30:00,NYSE:NINE,9.08,9.18,8.8,8.94,163487.0
2005-02-08 05:30:00,NYSE:NINE,8.79,8.9,8.55,8.68,83848.0
2005-02-09 05:30:00,NYSE:NINE,8.65,8.82,8.53,8.55,80220.0
2005-02-10 05:30:00,NYSE:NINE,8.7,8.7,8.37,8.4,126303.0
2005-02-11 05:30:00,NYSE:NINE,8.1,8.4,7.88,8.08,427889.0
2005-02-14 05:30:00,NYSE:NINE,8.4,8.4,8.0,8.18,93515.0
2005-02-15 05:30:00,NYSE:NINE,8.3,8.54,8.2,8.4,163335.0
2005-02-16 05:30:00,NYSE:NINE,8.35,8.45,8.15,8.16,91131.0
2005-02-17 05:30:00,NYSE:NINE,8.25,8.47,8.1,8.3,78079.0
2005-02-18 05:30:00,NYSE:NINE,8.4,8.54,8.26,8.5,132377.0
2005-02-22 05:30:00,NYSE:NINE,8.6,8.6,8.35,8.45,220438.0
2005-02-23 05:30:00,NYSE:NINE,8.7,8.84,8.461,8.6,475256.0
2005-02-24 05:30:00,NYSE:NINE,9.04,9.1,8.69,8.94,616050.0
2005-02-25 05:30:00,NYSE:NINE,9.0,9.056,8.5,8.81,471779.0
2005-02-28 05:30:00,NYSE:NINE,8.7,8.7,8.36,8.67,269693.0
2005-03-01 05:30:00,NYSE:NINE,8.51,8.91,8.51,8.83,192757.0
2005-03-02 05:30:00,NYSE:NINE,8.94,9.1,8.88,8.96,242130.0
2005-03-03 05:30:00,NYSE:NINE,9.28,9.28,8.73,8.73,145323.0
2005-03-04 05:30:00,NYSE:NINE,8.78,8.84,8.42,8.53,159205.0
2005-03-07 05:30:00,NYSE:NINE,8.51,8.6,8.42,8.42,87156.0
2005-03-08 05:30:00,NYSE:NINE,8.63,8.72,8.21,8.3,122130.0
2005-03-09 05:30:00,NYSE:NINE,8.25,8.3,8.19,8.19,73159.0
2005-03-10 05:30:00,NYSE:NINE,8.15,8.48,8.15,8.42,123762.0
2005-03-11 05:30:00,NYSE:NINE,8.55,8.8,8.498,8.71,271595.0
2005-03-14 06:30:00,NYSE:NINE,9.21,9.3,8.73,8.87,320049.0
2005-03-15 06:30:00,NYSE:NINE,8.95,8.95,8.76,8.8,118199.0
2005-03-16 06:30:00,NYSE:NINE,8.84,8.85,8.68,8.68,111712.0
2005-03-17 06:30:00,NYSE:NINE,8.64,8.8,8.5,8.64,107566.0
2005-03-18 06:30:00,NYSE:NINE,8.7,8.75,8.4,8.63,105526.0
2005-03-21 06:30:00,NYSE:NINE,8.65,9.2,8.65,9.01,400913.0
2005-03-22 06:30:00,NYSE:NINE,9.01,9.3,9.0,9.06,159990.0
2005-03-23 06:30:00,NYSE:NINE,9.15,9.21,8.9,8.909,253888.0
2005-03-24 06:30:00,NYSE:NINE,9.1,9.1,8.9,8.96,134725.0
2005-03-28 06:30:00,NYSE:NINE,9.03,9.1,8.9,9.05,227862.0
2005-03-29 06:30:00,NYSE:NINE,9.04,9.19,8.98,9.05,120827.0
2005-03-30 06:30:00,NYSE:NINE,9.0,9.19,9.0,9.15,160855.0
2005-03-31 06:30:00,NYSE:NINE,9.0,9.25,9.0,9.07,81580.0
2005-04-01 06:30:00,NYSE:NINE,9.07,9.12,8.95,8.98,98111.0
2005-04-04 05:30:00,NYSE:NINE,9.0,9.06,8.95,8.98,96829.0
2005-04-05 05:30:00,NYSE:NINE,9.0,9.03,8.95,8.991,122138.0
2005-04-06 05:30:00,NYSE:NINE,9.05,9.47,8.95,9.41,416053.0
2005-04-07 05:30:00,NYSE:NINE,9.25,9.68,9.15,9.25,223440.0
2005-04-08 05:30:00,NYSE:NINE,9.3,9.4,9.03,9.06,137712.0
2005-04-11 05:30:00,NYSE:NINE,9.24,9.25,9.0,9.01,68652.0
2005-04-12 05:30:00,NYSE:NINE,9.0,9.1,8.76,8.85,189921.0
2005-04-13 05:30:00,NYSE:NINE,8.96,9.0,8.8,8.82,211461.0
2005-04-14 05:30:00,NYSE:NINE,8.8,8.91,8.8,8.898,243457.0
2005-04-15 05:30:00,NYSE:NINE,8.8,8.9,8.678,8.79,312825.0
2005-04-18 05:30:00,NYSE:NINE,8.75,8.75,8.67,8.7,114341.0
2005-04-19 05:30:00,NYSE:NINE,8.75,8.94,8.7,8.76,42711.0
2005-04-20 05:30:00,NYSE:NINE,8.8,8.94,8.7,8.84,30114.0
2005-04-21 05:30:00,NYSE:NINE,8.9,8.9,8.7,8.8,77180.0
2005-04-22 05:30:00,NYSE:NINE,8.89,8.89,8.6,8.66,143600.0
2005-04-25 05:30:00,NYSE:NINE,8.7,8.8,8.68,8.76,33792.0
2005-04-26 05:30:00,NYSE:NINE,8.67,8.8,8.58,8.58,182076.0
2005-04-27 05:30:00,NYSE:NINE,8.56,8.8,8.55,8.8,61238.0
2005-04-28 05:30:00,NYSE:NINE,8.8,8.85,8.66,8.67,59836.0
2005-04-29 05:30:00,NYSE:NINE,8.65,8.79,8.59,8.6,41923.0
2005-05-02 05:30:00,NYSE:NINE,8.78,8.8,8.7,8.79,36944.0
2005-05-03 05:30:00,NYSE:NINE,8.8,8.8,8.7,8.71,25425.0
