datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:NLS,0.6,0.61,0.54,0.56,136026.0
2009-03-13 05:30:00,NYSE:NLS,0.56,0.61,0.54,0.57,93536.0
2009-03-16 05:30:00,NYSE:NLS,0.57,0.6808,0.56,0.64,151458.0
2009-03-17 05:30:00,NYSE:NLS,0.65,0.65,0.62,0.64,45200.0
2009-03-18 05:30:00,NYSE:NLS,0.68,0.69,0.62,0.65,52374.0
2009-03-19 05:30:00,NYSE:NLS,0.74,0.74,0.5501,0.62,112432.0
2009-03-20 05:30:00,NYSE:NLS,0.68,0.7,0.63,0.65,151219.0
2009-03-23 05:30:00,NYSE:NLS,0.63,0.69,0.62,0.69,150981.0
2009-03-24 05:30:00,NYSE:NLS,0.68,0.7,0.63,0.67,104256.0
2009-03-25 05:30:00,NYSE:NLS,0.7,0.7,0.61,0.68,190985.0
2009-03-26 05:30:00,NYSE:NLS,0.7,0.752,0.68,0.75,200871.0
2009-03-27 05:30:00,NYSE:NLS,0.7779,0.8,0.7,0.7,153305.0
2009-03-30 05:30:00,NYSE:NLS,0.75,0.76,0.62,0.62,94799.0
2009-03-31 05:30:00,NYSE:NLS,0.63,0.65,0.59,0.63,124381.0
2009-04-01 05:30:00,NYSE:NLS,0.62,0.67,0.59,0.66,95584.0
2009-04-02 05:30:00,NYSE:NLS,0.69,0.8,0.67,0.78,225808.0
2009-04-03 05:30:00,NYSE:NLS,0.77,1.0,0.73,1.0,199495.0
2009-04-06 05:30:00,NYSE:NLS,0.99,1.33,0.98,1.17,243668.0
2009-04-07 05:30:00,NYSE:NLS,1.24,1.24,1.12,1.12,103212.0
2009-04-08 05:30:00,NYSE:NLS,1.11,1.22,1.01,1.07,85487.0
2009-04-09 05:30:00,NYSE:NLS,1.1,1.24,1.0701,1.24,183280.0
2009-04-13 05:30:00,NYSE:NLS,1.25,1.32,1.1,1.2,139271.0
2009-04-14 05:30:00,NYSE:NLS,1.22,1.35,1.06,1.07,285225.0
2009-04-15 05:30:00,NYSE:NLS,1.08,1.15,1.07,1.09,232797.0
2009-04-16 05:30:00,NYSE:NLS,1.1,1.15,1.09,1.1,200099.0
2009-04-17 05:30:00,NYSE:NLS,1.11,1.11,1.03,1.09,129937.0
2009-04-20 05:30:00,NYSE:NLS,1.03,1.09,0.93,0.95,180647.0
2009-04-21 05:30:00,NYSE:NLS,0.95,1.02,0.93,1.0,117510.0
2009-04-22 05:30:00,NYSE:NLS,0.99,1.01,0.95,0.98,144477.0
2009-04-23 05:30:00,NYSE:NLS,0.98,0.98,0.93,0.93,31988.0
2009-04-24 05:30:00,NYSE:NLS,0.9,1.02,0.9,0.97,111974.0
2009-04-27 05:30:00,NYSE:NLS,0.95,0.95,0.92,0.93,33519.0
2009-04-28 05:30:00,NYSE:NLS,0.91,0.95,0.88,0.91,113956.0
2009-04-29 05:30:00,NYSE:NLS,0.91,1.01,0.9,1.0,68305.0
2009-04-30 05:30:00,NYSE:NLS,1.02,1.03,0.9399,1.0,139397.0
2009-05-01 05:30:00,NYSE:NLS,0.98,1.02,0.95,0.95,113764.0
2009-05-04 05:30:00,NYSE:NLS,0.99,1.03,0.93,1.01,112103.0
2009-05-05 05:30:00,NYSE:NLS,1.01,1.06,0.98,0.99,109166.0
2009-05-06 05:30:00,NYSE:NLS,1.0,1.02,0.98,0.99,217371.0
2009-05-07 05:30:00,NYSE:NLS,1.01,1.03,0.98,0.99,253084.0
2009-05-08 05:30:00,NYSE:NLS,1.01,1.09,0.99,1.09,245214.0
2009-05-11 05:30:00,NYSE:NLS,1.04,1.15,0.92,0.97,446762.0
2009-05-12 05:30:00,NYSE:NLS,0.95,1.08,0.95,1.05,309262.0
2009-05-13 05:30:00,NYSE:NLS,1.04,1.08,0.97,0.98,99011.0
2009-05-14 05:30:00,NYSE:NLS,1.02,1.05,0.99,1.02,231490.0
2009-05-15 05:30:00,NYSE:NLS,1.02,1.0601,1.02,1.02,166469.0
2009-05-18 05:30:00,NYSE:NLS,1.15,1.4,1.06,1.37,394518.0
2009-05-19 05:30:00,NYSE:NLS,1.38,1.59,1.38,1.45,464726.0
2009-05-20 05:30:00,NYSE:NLS,1.47,2.35,1.47,1.9,1786401.0
2009-05-21 05:30:00,NYSE:NLS,1.86,1.91,1.49,1.68,713973.0
2009-05-22 05:30:00,NYSE:NLS,1.69,1.74,1.52,1.55,279843.0
2009-05-26 05:30:00,NYSE:NLS,1.53,1.6,1.43,1.44,402826.0
2009-05-27 05:30:00,NYSE:NLS,1.44,1.45,1.31,1.31,278745.0
2009-05-28 05:30:00,NYSE:NLS,1.33,1.4,1.12,1.16,261096.0
2009-05-29 05:30:00,NYSE:NLS,1.13,1.39,1.11,1.39,428061.0
2009-06-01 05:30:00,NYSE:NLS,1.39,1.39,1.3,1.34,202518.0
2009-06-02 05:30:00,NYSE:NLS,1.37,1.3701,1.2,1.27,194338.0
2009-06-03 05:30:00,NYSE:NLS,1.26,1.26,1.17,1.17,173809.0
2009-06-04 05:30:00,NYSE:NLS,1.18,1.36,1.18,1.29,186539.0
2009-06-05 05:30:00,NYSE:NLS,1.35,1.4,1.3,1.39,231117.0
2009-06-08 05:30:00,NYSE:NLS,1.33,1.42,1.33,1.36,120070.0
2009-06-09 05:30:00,NYSE:NLS,1.36,1.36,1.23,1.24,141915.0
2009-06-10 05:30:00,NYSE:NLS,1.25,1.25,1.2001,1.22,70385.0
2009-06-11 05:30:00,NYSE:NLS,1.25,1.29,1.22,1.25,115893.0
2009-06-12 05:30:00,NYSE:NLS,1.23,1.35,1.19,1.33,263525.0
2009-06-15 05:30:00,NYSE:NLS,1.3,1.3,1.2,1.28,109403.0
2009-06-16 05:30:00,NYSE:NLS,1.3,1.36,1.28,1.28,83160.0
2009-06-17 05:30:00,NYSE:NLS,1.3,1.3099,1.21,1.24,93309.0
2009-06-18 05:30:00,NYSE:NLS,1.24,1.28,1.23,1.26,47295.0
2009-06-19 05:30:00,NYSE:NLS,1.29,1.44,1.26,1.44,135022.0
2009-06-22 05:30:00,NYSE:NLS,1.4,1.42,1.21,1.21,144368.0
2009-06-23 05:30:00,NYSE:NLS,1.22,1.25,1.15,1.21,130950.0
2009-06-24 05:30:00,NYSE:NLS,1.22,1.3199,1.21,1.24,80864.0
2009-06-25 05:30:00,NYSE:NLS,1.26,1.31,1.23,1.28,87400.0
2009-06-26 05:30:00,NYSE:NLS,1.28,1.2899,1.0,1.0,2883632.0
2009-06-29 05:30:00,NYSE:NLS,1.12,1.17,1.06,1.14,511266.0
2009-06-30 05:30:00,NYSE:NLS,1.17,1.19,1.1,1.13,136573.0
2009-07-01 05:30:00,NYSE:NLS,1.15,1.19,1.13,1.15,125335.0
2009-07-02 05:30:00,NYSE:NLS,1.15,1.17,1.1,1.1,134415.0
2009-07-06 05:30:00,NYSE:NLS,1.11,1.1401,1.08,1.08,138409.0
2009-07-07 05:30:00,NYSE:NLS,1.08,1.09,0.96,1.04,228398.0
2009-07-08 05:30:00,NYSE:NLS,1.08,1.2,1.08,1.14,256985.0
2009-07-09 05:30:00,NYSE:NLS,1.14,1.19,1.06,1.15,178109.0
2009-07-10 05:30:00,NYSE:NLS,1.18,1.19,1.07,1.12,156087.0
2009-07-13 05:30:00,NYSE:NLS,1.12,1.14,1.07,1.14,36115.0
2009-07-14 05:30:00,NYSE:NLS,1.14,1.14,1.0918,1.11,35932.0
2009-07-15 05:30:00,NYSE:NLS,1.12,1.15,1.09,1.15,111100.0
2009-07-16 05:30:00,NYSE:NLS,1.11,1.14,1.11,1.13,60368.0
2009-07-17 05:30:00,NYSE:NLS,1.13,1.13,1.06,1.07,63940.0
2009-07-20 05:30:00,NYSE:NLS,1.07,1.14,1.07,1.13,92843.0
2009-07-21 05:30:00,NYSE:NLS,1.15,1.15,1.11,1.14,90782.0
2009-07-22 05:30:00,NYSE:NLS,1.14,1.15,1.11,1.14,31285.0
2009-07-23 05:30:00,NYSE:NLS,1.11,1.25,1.11,1.18,249889.0
2009-07-24 05:30:00,NYSE:NLS,1.2,1.3,1.2,1.24,155703.0
2009-07-27 05:30:00,NYSE:NLS,1.29,1.42,1.28,1.41,244114.0
2009-07-28 05:30:00,NYSE:NLS,1.42,1.72,1.3201,1.71,836805.0
2009-07-29 05:30:00,NYSE:NLS,1.7,1.87,1.65,1.82,300111.0
2009-07-30 05:30:00,NYSE:NLS,1.65,2.16,1.65,1.88,525448.0
2009-07-31 05:30:00,NYSE:NLS,1.94,2.14,1.92,2.13,358805.0
