datetime,symbol,open,high,low,close,volume
2022-07-14 05:30:00,NASDAQ:NVDS,50.24,50.24,49.08,49.1273,490.0
2022-07-15 05:30:00,NASDAQ:NVDS,48.35,48.97,47.6394,47.6394,4208.0
2022-07-18 05:30:00,NASDAQ:NVDS,47.55,47.55,43.3785,46.2713,19196.0
2022-07-19 05:30:00,NASDAQ:NVDS,44.75,45.81,42.8059,43.0338,19349.0
2022-07-20 05:30:00,NASDAQ:NVDS,43.575,43.575,40.2755,40.4819,38750.0
2022-07-21 05:30:00,NASDAQ:NVDS,40.23,41.03,39.5301,39.8061,8146.0
2022-07-22 05:30:00,NASDAQ:NVDS,40.18,42.19,40.18,41.8347,33595.0
2022-07-25 05:30:00,NASDAQ:NVDS,42.68,43.7,42.68,42.7166,27301.0
2022-07-26 05:30:00,NASDAQ:NVDS,43.8,44.18,43.6127,44.18,5042.0
2022-07-27 05:30:00,NASDAQ:NVDS,42.64,42.7899,39.6,39.95,31398.0
2022-07-28 05:30:00,NASDAQ:NVDS,39.93,40.89,39.23,39.4798,9693.0
2022-07-29 05:30:00,NASDAQ:NVDS,40.04,40.1799,38.8,39.01,18049.0
2022-08-01 05:30:00,NASDAQ:NVDS,39.85,39.85,37.2299,38.2387,26141.0
2022-08-02 05:30:00,NASDAQ:NVDS,39.31,39.31,37.08,37.977,11210.0
2022-08-03 05:30:00,NASDAQ:NVDS,38.86,38.86,37.0977,37.0977,14565.0
2022-08-04 05:30:00,NASDAQ:NVDS,36.85,37.31,36.2,36.3328,4080.0
2022-08-05 05:30:00,NASDAQ:NVDS,37.4,37.57,36.801,36.857,3945.0
2022-08-08 05:30:00,NASDAQ:NVDS,40.5699,41.03,38.8,39.7412,69145.0
2022-08-09 05:30:00,NASDAQ:NVDS,41.25,42.561,40.74,41.63,30643.0
2022-08-10 05:30:00,NASDAQ:NVDS,39.86,40.9401,38.63,38.75,72295.0
2022-08-11 05:30:00,NASDAQ:NVDS,38.68,39.12,37.18,39.0296,24625.0
2022-08-12 05:30:00,NASDAQ:NVDS,38.26,38.26,36.83,36.83,24959.0
2022-08-15 05:30:00,NASDAQ:NVDS,36.8,36.9994,36.03,36.1147,8537.0
2022-08-16 05:30:00,NASDAQ:NVDS,36.56,37.08,36.0,36.2569,8922.0
2022-08-17 05:30:00,NASDAQ:NVDS,37.57,38.27,37.15,37.7829,16055.0
