datetime,symbol,open,high,low,close,volume
2009-03-10 05:30:00,NASDAQ:NYMT,2.23,2.23,2.23,2.23,300.0
2009-03-11 05:30:00,NASDAQ:NYMT,2.19,2.3,1.91,2.29,750.0
2009-03-12 05:30:00,NASDAQ:NYMT,2.1,2.29,2.09,2.29,26700.0
2009-03-13 05:30:00,NASDAQ:NYMT,2.29,2.3,2.29,2.29,1800.0
2009-03-16 05:30:00,NASDAQ:NYMT,2.0701,2.3,2.0701,2.3,675.0
2009-03-18 05:30:00,NASDAQ:NYMT,2.41,2.45,2.41,2.45,600.0
2009-03-19 05:30:00,NASDAQ:NYMT,2.44,2.45,2.44,2.45,5176.0
2009-03-20 05:30:00,NASDAQ:NYMT,2.39,3.07,2.39,3.07,2510.0
2009-03-24 05:30:00,NASDAQ:NYMT,3.034,3.034,3.034,3.034,400.0
2009-03-25 05:30:00,NASDAQ:NYMT,3.0,3.0,3.0,3.0,400.0
2009-03-26 05:30:00,NASDAQ:NYMT,2.8999,2.9,2.85,2.85,1345.0
2009-03-27 05:30:00,NASDAQ:NYMT,2.91,3.73,2.91,3.55,7694.0
2009-03-30 05:30:00,NASDAQ:NYMT,3.72,3.73,3.72,3.73,1730.0
2009-03-31 05:30:00,NASDAQ:NYMT,3.69,3.8,3.64,3.8,15892.0
2009-04-01 05:30:00,NASDAQ:NYMT,3.75,3.78,3.51,3.52,1825.0
2009-04-02 05:30:00,NASDAQ:NYMT,3.394,3.75,3.394,3.5,702.0
2009-04-03 05:30:00,NASDAQ:NYMT,3.25,3.725,3.25,3.725,1540.0
2009-04-06 05:30:00,NASDAQ:NYMT,3.51,3.51,3.0801,3.348,19380.0
2009-04-07 05:30:00,NASDAQ:NYMT,3.09,3.65,2.87,3.65,23508.0
2009-04-08 05:30:00,NASDAQ:NYMT,2.96,3.51,2.66,3.49,77425.0
2009-04-09 05:30:00,NASDAQ:NYMT,2.9,3.54,2.75,2.88,89547.0
2009-04-13 05:30:00,NASDAQ:NYMT,3.095,3.1,2.23,2.68,630686.0
2009-04-14 05:30:00,NASDAQ:NYMT,2.6,3.1195,2.6,3.1,26007.0
2009-04-15 05:30:00,NASDAQ:NYMT,3.056,3.26,2.99,3.21,8795.0
2009-04-16 05:30:00,NASDAQ:NYMT,3.11,3.28,2.95,3.28,9400.0
2009-04-17 05:30:00,NASDAQ:NYMT,3.39,3.46,3.15,3.46,12502.0
2009-04-20 05:30:00,NASDAQ:NYMT,3.32,3.34,3.15,3.15,7303.0
2009-04-21 05:30:00,NASDAQ:NYMT,3.15,3.3,3.15,3.3,9700.0
2009-04-22 05:30:00,NASDAQ:NYMT,3.3,3.414,3.02,3.3,9383.0
