datetime,symbol,open,high,low,close,volume
2015-02-26 05:30:00,NASDAQ:PIRS,3.25,3.25,3.25,3.25,250.0
2015-03-05 05:30:00,NASDAQ:PIRS,3.16,3.16,3.16,3.16,1500.0
2015-03-09 05:30:00,NASDAQ:PIRS,3.152,3.25,3.152,3.25,3300.0
2015-03-10 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,150.0
2015-03-11 05:30:00,NASDAQ:PIRS,3.0,3.0,3.0,3.0,1000.0
2015-03-17 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,500.0
2015-03-23 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,1000.0
2015-03-30 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,500.0
2015-04-01 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,2000.0
2015-04-09 05:30:00,NASDAQ:PIRS,3.2,3.2,3.2,3.2,3100.0
2015-04-10 05:30:00,NASDAQ:PIRS,3.25,3.49,3.2,3.45,8752.0
2015-04-13 05:30:00,NASDAQ:PIRS,3.45,3.65,3.43,3.65,106568.0
2015-04-14 05:30:00,NASDAQ:PIRS,3.73,3.73,3.5,3.5,570.0
2015-04-15 05:30:00,NASDAQ:PIRS,3.6,3.75,3.6,3.75,2450.0
2015-04-16 05:30:00,NASDAQ:PIRS,3.8,3.8,3.735,3.735,10316.0
2015-04-17 05:30:00,NASDAQ:PIRS,3.75,3.75,3.75,3.75,1011.0
2015-04-20 05:30:00,NASDAQ:PIRS,3.75,3.75,3.5,3.5,2120.0
2015-04-21 05:30:00,NASDAQ:PIRS,3.25,3.4,3.01,3.4,3920.0
2015-04-22 05:30:00,NASDAQ:PIRS,3.26,3.26,2.51,2.99,19240.0
2015-04-24 05:30:00,NASDAQ:PIRS,2.99,2.99,2.99,2.99,250.0
2015-04-27 05:30:00,NASDAQ:PIRS,2.99,3.0,2.0,2.95,7256.0
2015-04-28 05:30:00,NASDAQ:PIRS,2.8,2.96,2.8,2.96,320.0
