datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:PKG,10.52,11.23,10.3,11.18,1115020.0
2009-03-13 05:30:00,NYSE:PKG,11.07,11.3298,10.95,11.23,924208.0
2009-03-16 05:30:00,NYSE:PKG,11.5,11.88,11.31,11.44,887263.0
2009-03-17 05:30:00,NYSE:PKG,11.46,12.1,11.3,11.98,1258202.0
2009-03-18 05:30:00,NYSE:PKG,11.84,12.47,11.7,12.34,1083923.0
2009-03-19 05:30:00,NYSE:PKG,12.5,12.65,12.28,12.33,1204234.0
2009-03-20 05:30:00,NYSE:PKG,12.56,12.56,12.17,12.26,1492513.0
2009-03-23 05:30:00,NYSE:PKG,12.9,13.35,12.32,13.35,1013781.0
2009-03-24 05:30:00,NYSE:PKG,13.1,13.68,12.94,13.35,1039621.0
2009-03-25 05:30:00,NYSE:PKG,13.5,13.74,12.89,13.34,1119811.0
2009-03-26 05:30:00,NYSE:PKG,13.47,13.76,13.2,13.74,1130097.0
2009-03-27 05:30:00,NYSE:PKG,13.64,13.67,13.19,13.36,687494.0
2009-03-30 05:30:00,NYSE:PKG,12.67,13.02,12.56,12.87,738535.0
2009-03-31 05:30:00,NYSE:PKG,12.99,13.35,12.78,13.02,702810.0
2009-04-01 05:30:00,NYSE:PKG,12.82,13.37,12.64,13.32,1164464.0
2009-04-02 05:30:00,NYSE:PKG,13.64,14.26,13.6,13.85,872537.0
2009-04-03 05:30:00,NYSE:PKG,13.89,14.0,13.55,13.73,973284.0
2009-04-06 05:30:00,NYSE:PKG,13.53,13.59,13.051,13.28,1229999.0
2009-04-07 05:30:00,NYSE:PKG,13.04,13.28,12.43,12.46,971472.0
2009-04-08 05:30:00,NYSE:PKG,12.56,13.05,12.54,12.8,1072982.0
2009-04-09 05:30:00,NYSE:PKG,13.12,13.82,13.08,13.78,696257.0
2009-04-13 05:30:00,NYSE:PKG,13.59,14.05,13.37,14.0,1088203.0
2009-04-14 05:30:00,NYSE:PKG,13.81,13.81,13.18,13.31,938507.0
2009-04-15 05:30:00,NYSE:PKG,13.21,13.99,13.17,13.77,1184247.0
2009-04-16 05:30:00,NYSE:PKG,13.93,14.02,13.24,13.44,2168022.0
2009-04-17 05:30:00,NYSE:PKG,13.43,14.07,13.17,13.83,1004310.0
2009-04-20 05:30:00,NYSE:PKG,13.75,13.77,12.78,12.82,1427558.0
2009-04-21 05:30:00,NYSE:PKG,14.21,15.38,14.05,15.21,4593613.0
2009-04-22 05:30:00,NYSE:PKG,15.34,16.39,15.21,15.58,2439812.0
2009-04-23 05:30:00,NYSE:PKG,14.95,15.25,14.52,15.18,2891002.0
2009-04-24 05:30:00,NYSE:PKG,15.25,16.32001,15.17,16.17,2235295.0
2009-04-27 05:30:00,NYSE:PKG,15.74,16.42999,15.74,16.17999,1342875.0
2009-04-28 05:30:00,NYSE:PKG,15.94,16.14,15.67,15.82,1411431.0
2009-04-29 05:30:00,NYSE:PKG,15.81,16.03,15.36,15.86,1755557.0
2009-04-30 05:30:00,NYSE:PKG,15.98,16.45,15.75,15.87,1143821.0
2009-05-01 05:30:00,NYSE:PKG,15.79,15.81,15.39,15.39,1090327.0
2009-05-04 05:30:00,NYSE:PKG,15.69,16.32001,15.52,16.3,700795.0
2009-05-05 05:30:00,NYSE:PKG,16.23,16.46001,15.95,16.2,788582.0
2009-05-06 05:30:00,NYSE:PKG,16.16,16.38,15.8,16.13,1156156.0
2009-05-07 05:30:00,NYSE:PKG,16.37,16.49001,14.97,15.19,1096716.0
2009-05-08 05:30:00,NYSE:PKG,15.38,17.07001,15.21,17.07001,1953842.0
2009-05-11 05:30:00,NYSE:PKG,16.74001,17.10001,16.49001,16.83,1631368.0
2009-05-12 05:30:00,NYSE:PKG,16.92999,16.92999,16.0,16.67,1168673.0
2009-05-13 05:30:00,NYSE:PKG,16.36,16.36,15.16,15.26,1309910.0
2009-05-14 05:30:00,NYSE:PKG,15.24,15.75,15.14,15.52,1098179.0
2009-05-15 05:30:00,NYSE:PKG,15.47,16.11,15.3,15.74,880200.0
2009-05-18 05:30:00,NYSE:PKG,15.98,16.08,15.8,15.98,947713.0
2009-05-19 05:30:00,NYSE:PKG,15.97,16.06,15.71,15.93,920223.0
2009-05-20 05:30:00,NYSE:PKG,16.10001,16.33,15.5,15.56,903238.0
2009-05-21 05:30:00,NYSE:PKG,15.33,15.58,15.0,15.21,701183.0
2009-05-22 05:30:00,NYSE:PKG,15.26,15.44,15.04,15.19,323551.0
2009-05-26 05:30:00,NYSE:PKG,15.07,16.00999,14.77,15.87,822677.0
2009-05-27 05:30:00,NYSE:PKG,15.83,16.09,15.33,15.37,581671.0
2009-05-28 05:30:00,NYSE:PKG,15.49,15.745,15.21,15.69,455670.0
2009-05-29 05:30:00,NYSE:PKG,15.81,16.12,15.53,16.12,808402.0
2009-06-01 05:30:00,NYSE:PKG,16.27,16.52,16.25,16.44,745284.0
2009-06-02 05:30:00,NYSE:PKG,16.28999,16.8692,16.25999,16.73,543891.0
2009-06-03 05:30:00,NYSE:PKG,16.53999,16.81,16.28999,16.55,801426.0
2009-06-04 05:30:00,NYSE:PKG,16.60001,16.94,16.23,16.92999,549652.0
2009-06-05 05:30:00,NYSE:PKG,17.24001,17.24001,16.57001,16.85001,822344.0
2009-06-08 05:30:00,NYSE:PKG,16.75999,16.88,16.25999,16.64999,440299.0
2009-06-09 05:30:00,NYSE:PKG,16.75,16.75,16.10001,16.53,670385.0
2009-06-10 05:30:00,NYSE:PKG,16.7,17.21001,16.52,16.89999,835669.0
2009-06-11 05:30:00,NYSE:PKG,16.56,17.09,16.56,16.83,715771.0
2009-06-12 05:30:00,NYSE:PKG,16.78,17.03,16.33,16.67,638627.0
2009-06-15 05:30:00,NYSE:PKG,16.42,16.42,15.65,15.79,599671.0
2009-06-16 05:30:00,NYSE:PKG,15.89,16.0,15.01,15.01,1079275.0
2009-06-17 05:30:00,NYSE:PKG,14.4,14.51,14.03,14.3,2129958.0
2009-06-18 05:30:00,NYSE:PKG,14.36,14.83,14.3,14.72,1020246.0
2009-06-19 05:30:00,NYSE:PKG,14.84,14.88,14.46,14.71,1204078.0
2009-06-22 05:30:00,NYSE:PKG,14.61,14.7,14.05,14.14,998944.0
2009-06-23 05:30:00,NYSE:PKG,14.2,14.38,13.73,14.28,1201777.0
2009-06-24 05:30:00,NYSE:PKG,14.45,15.16,14.45,14.89,821009.0
2009-06-25 05:30:00,NYSE:PKG,14.89,15.3898,14.63,15.15,1032610.0
2009-06-26 05:30:00,NYSE:PKG,15.02,15.39,14.91,15.29,1190041.0
2009-06-29 05:30:00,NYSE:PKG,15.29,15.695,15.23,15.5,696591.0
2009-06-30 05:30:00,NYSE:PKG,15.55,16.56,15.55,16.2,1977719.0
2009-07-01 05:30:00,NYSE:PKG,16.27,17.06,16.17999,16.8,1088481.0
2009-07-02 05:30:00,NYSE:PKG,16.60001,16.64,16.27,16.53,890425.0
2009-07-06 05:30:00,NYSE:PKG,16.37,16.495,16.02,16.35001,868261.0
2009-07-07 05:30:00,NYSE:PKG,16.28999,16.28999,15.62,15.67,687121.0
2009-07-08 05:30:00,NYSE:PKG,15.49,16.0,15.38,15.71,1332265.0
2009-07-09 05:30:00,NYSE:PKG,15.8,15.8578,15.31,15.44,1394292.0
2009-07-10 05:30:00,NYSE:PKG,15.38,16.08,15.19,15.92,942320.0
2009-07-13 05:30:00,NYSE:PKG,15.84,16.19,15.47,16.17999,538229.0
2009-07-14 05:30:00,NYSE:PKG,16.0,16.52,15.97,16.5,880330.0
2009-07-15 05:30:00,NYSE:PKG,16.62,17.17999,16.52,17.14999,942133.0
2009-07-16 05:30:00,NYSE:PKG,16.98,17.73,16.98,17.67999,1250917.0
2009-07-17 05:30:00,NYSE:PKG,17.60001,17.83,17.42,17.8,909809.0
2009-07-20 05:30:00,NYSE:PKG,17.84,18.16,17.72,18.07001,1677972.0
2009-07-21 05:30:00,NYSE:PKG,20.42999,20.91,19.2,19.53999,4745766.0
2009-07-22 05:30:00,NYSE:PKG,19.5,19.8,18.94,19.62,1232254.0
2009-07-23 05:30:00,NYSE:PKG,19.74001,20.7,19.74001,20.11,1663736.0
2009-07-24 05:30:00,NYSE:PKG,20.03,20.28,19.74001,19.83,988208.0
2009-07-27 05:30:00,NYSE:PKG,19.87,20.03,19.39,19.64999,1068130.0
2009-07-28 05:30:00,NYSE:PKG,19.5,19.74001,19.28,19.63,793255.0
2009-07-29 05:30:00,NYSE:PKG,19.44,19.60001,19.10001,19.3,1148801.0
2009-07-30 05:30:00,NYSE:PKG,19.61,20.03,19.44,19.7,947549.0
2009-07-31 05:30:00,NYSE:PKG,19.71001,20.13,19.63,19.67,1022169.0
2009-08-03 05:30:00,NYSE:PKG,19.87,20.2,19.67999,20.02,596142.0
2009-08-04 05:30:00,NYSE:PKG,19.99001,20.32001,19.89999,20.19,913014.0
2009-08-05 05:30:00,NYSE:PKG,19.92999,20.17999,19.59,19.67999,553361.0
2009-08-06 05:30:00,NYSE:PKG,19.69,19.78,19.19,19.42,668123.0
2009-08-07 05:30:00,NYSE:PKG,19.71001,19.98,19.17,19.36,846111.0
2009-08-10 05:30:00,NYSE:PKG,19.14,19.28999,18.88,19.07001,554229.0
2009-08-11 05:30:00,NYSE:PKG,19.0,19.17,18.75,19.05,555958.0
2009-08-12 05:30:00,NYSE:PKG,18.98,19.89,18.97,19.59,1259103.0
2009-08-13 05:30:00,NYSE:PKG,19.74001,19.74001,19.32001,19.5,631784.0
2009-08-14 05:30:00,NYSE:PKG,19.39999,19.39999,18.37,18.7,921516.0
2009-08-17 05:30:00,NYSE:PKG,18.21001,18.39,17.89999,18.19,573671.0
2009-08-18 05:30:00,NYSE:PKG,18.22,18.89999,18.2,18.88,723722.0
2009-08-19 05:30:00,NYSE:PKG,18.49001,18.96001,18.33,18.7,638213.0
2009-08-20 05:30:00,NYSE:PKG,18.72,18.88,18.46001,18.7,429821.0
2009-08-21 05:30:00,NYSE:PKG,18.87,19.46001,18.87,19.16,797322.0
2009-08-24 05:30:00,NYSE:PKG,19.33,19.33,19.0,19.28,829790.0
2009-08-25 05:30:00,NYSE:PKG,19.22,19.9299,19.21001,19.64999,1022138.0
2009-08-26 05:30:00,NYSE:PKG,19.62,19.95,19.39,19.8,751762.0
2009-08-27 05:30:00,NYSE:PKG,19.78,20.53,19.61,20.45,1625529.0
2009-08-28 05:30:00,NYSE:PKG,20.60001,20.81,20.07001,20.44,1743735.0
2009-08-31 05:30:00,NYSE:PKG,20.34,20.71001,19.96001,20.36,1047769.0
2009-09-01 05:30:00,NYSE:PKG,20.2,20.60001,19.78999,19.8,1439740.0
2009-09-02 05:30:00,NYSE:PKG,19.72,20.13251,19.62,19.89,780628.0
2009-09-03 05:30:00,NYSE:PKG,20.07001,20.37,19.77,20.25,1455242.0
2009-09-04 05:30:00,NYSE:PKG,20.28,20.97,20.10001,20.83,908344.0
2009-09-08 05:30:00,NYSE:PKG,20.91,21.17,20.8,21.03,771539.0
2009-09-09 05:30:00,NYSE:PKG,20.95,21.28999,20.52,21.27,844454.0
2009-09-10 05:30:00,NYSE:PKG,21.31,21.7,21.13,21.64999,777549.0
2009-09-11 05:30:00,NYSE:PKG,21.75,21.75,21.03,21.08,969020.0
2009-09-14 05:30:00,NYSE:PKG,20.86,21.56,20.86,21.53,956450.0
2009-09-15 05:30:00,NYSE:PKG,21.61,21.99001,21.5,21.78,762468.0
2009-09-16 05:30:00,NYSE:PKG,21.82001,21.83,21.09,21.19,1164750.0
2009-09-17 05:30:00,NYSE:PKG,21.21001,21.25999,20.84,21.05,878900.0
2009-09-18 05:30:00,NYSE:PKG,20.99001,21.25999,20.86,20.89999,1057782.0
2009-09-21 05:30:00,NYSE:PKG,20.67999,20.83,20.05,20.36,864431.0
2009-09-22 05:30:00,NYSE:PKG,20.505,20.62,20.25,20.45,736341.0
2009-09-23 05:30:00,NYSE:PKG,20.38,20.62489,19.99001,20.02,600501.0
2009-09-24 05:30:00,NYSE:PKG,20.05,20.06911,19.09,19.28999,1113121.0
2009-09-25 05:30:00,NYSE:PKG,19.27,19.61,18.89999,19.39999,918606.0
2009-09-28 05:30:00,NYSE:PKG,19.53999,20.05,19.27,19.86,664089.0
2009-09-29 05:30:00,NYSE:PKG,19.96001,21.03999,19.87,20.89,1233281.0
2009-09-30 05:30:00,NYSE:PKG,20.99001,21.06,20.22,20.39999,1175480.0
2009-10-01 05:30:00,NYSE:PKG,20.37,20.45,19.28999,19.35001,948500.0
