datetime,symbol,open,high,low,close,volume
2020-06-03 05:30:00,NASDAQ:PLRX,25.0,26.0,21.05,21.3,4269207.0
2020-06-04 05:30:00,NASDAQ:PLRX,22.5,24.41,22.0,23.36,772322.0
2020-06-05 05:30:00,NASDAQ:PLRX,24.2,24.25,22.0,22.25,579167.0
2020-06-08 05:30:00,NASDAQ:PLRX,22.19,23.21,22.11,23.2,483789.0
2020-06-09 05:30:00,NASDAQ:PLRX,22.75,23.2,21.51,22.0,175696.0
2020-06-10 05:30:00,NASDAQ:PLRX,22.0,23.55,22.0,23.28,505083.0
2020-06-11 05:30:00,NASDAQ:PLRX,22.68,23.25,22.02,22.73,167279.0
2020-06-12 05:30:00,NASDAQ:PLRX,22.75,24.0,22.48,22.85,425674.0
2020-06-15 05:30:00,NASDAQ:PLRX,22.96,25.72,22.6537,25.69,280514.0
2020-06-16 05:30:00,NASDAQ:PLRX,25.95,26.5727,24.51,25.04,254522.0
2020-06-17 05:30:00,NASDAQ:PLRX,25.04,26.1867,24.91,25.99,137175.0
2020-06-18 05:30:00,NASDAQ:PLRX,25.7,26.8,24.6998,26.64,132536.0
2020-06-19 05:30:00,NASDAQ:PLRX,26.9,28.13,26.05,28.01,227760.0
2020-06-22 05:30:00,NASDAQ:PLRX,27.42,29.92,26.49,28.0,119926.0
2020-06-23 05:30:00,NASDAQ:PLRX,28.23,30.4,27.8,29.52,122050.0
2020-06-24 05:30:00,NASDAQ:PLRX,29.99,30.88,29.0,30.42,96562.0
2020-06-25 05:30:00,NASDAQ:PLRX,30.46,31.26,29.5,31.08,119931.0
2020-06-26 05:30:00,NASDAQ:PLRX,31.42,31.99,29.86,31.72,185380.0
2020-06-29 05:30:00,NASDAQ:PLRX,32.03,35.26,32.0,35.26,107596.0
2020-06-30 05:30:00,NASDAQ:PLRX,35.27,35.63,31.74,32.46,106892.0
2020-07-01 05:30:00,NASDAQ:PLRX,32.6,32.6796,28.5088,29.3,169574.0
2020-07-02 05:30:00,NASDAQ:PLRX,29.65,30.68,29.2104,29.53,78307.0
2020-07-06 05:30:00,NASDAQ:PLRX,29.54,30.64,27.8317,28.8,52320.0
2020-07-07 05:30:00,NASDAQ:PLRX,28.5,28.6601,25.18,27.0,111966.0
2020-07-08 05:30:00,NASDAQ:PLRX,26.74,27.0,26.0,26.59,39644.0
2020-07-09 05:30:00,NASDAQ:PLRX,26.56,26.93,25.71,25.76,28942.0
2020-07-10 05:30:00,NASDAQ:PLRX,25.51,25.744,24.75,25.17,60661.0
2020-07-13 05:30:00,NASDAQ:PLRX,25.06,25.3693,22.69,22.7,83830.0
2020-07-14 05:30:00,NASDAQ:PLRX,22.53,24.82,22.0,22.6,157708.0
2020-07-15 05:30:00,NASDAQ:PLRX,23.0,23.4,21.65,22.34,199256.0
2020-07-16 05:30:00,NASDAQ:PLRX,22.44,24.67,22.0,24.47,97073.0
2020-07-17 05:30:00,NASDAQ:PLRX,24.1,25.27,24.1,24.64,53319.0
2020-07-20 05:30:00,NASDAQ:PLRX,25.0,28.12,25.0,27.21,140511.0
2020-07-21 05:30:00,NASDAQ:PLRX,27.21,28.34,26.62,27.29,86845.0
2020-07-22 05:30:00,NASDAQ:PLRX,27.11,27.11,24.58,25.48,41825.0
2020-07-23 05:30:00,NASDAQ:PLRX,27.85,27.85,25.405,25.76,88970.0
2020-07-24 05:30:00,NASDAQ:PLRX,25.79,27.1,23.4,24.04,70071.0
2020-07-27 05:30:00,NASDAQ:PLRX,24.53,25.87,24.01,24.5,49736.0
2020-07-28 05:30:00,NASDAQ:PLRX,24.52,25.353,23.52,24.38,52189.0
2020-07-29 05:30:00,NASDAQ:PLRX,24.49,26.58,24.04,24.3,94543.0
2020-07-30 05:30:00,NASDAQ:PLRX,23.97,24.64,23.4356,24.04,52541.0
2020-07-31 05:30:00,NASDAQ:PLRX,23.85,24.9,22.9701,23.29,77616.0
2020-08-03 05:30:00,NASDAQ:PLRX,23.33,24.56,22.6,23.76,103893.0
2020-08-04 05:30:00,NASDAQ:PLRX,23.74,24.45,23.03,23.81,56254.0
2020-08-05 05:30:00,NASDAQ:PLRX,23.89,24.75,23.74,24.0,58917.0
2020-08-06 05:30:00,NASDAQ:PLRX,23.945,25.13,23.77,25.09,51861.0
2020-08-07 05:30:00,NASDAQ:PLRX,25.09,26.8,25.09,25.86,65791.0
2020-08-10 05:30:00,NASDAQ:PLRX,25.97,26.9,25.93,26.55,84298.0
2020-08-11 05:30:00,NASDAQ:PLRX,26.7655,26.8,26.25,26.45,80194.0
2020-08-12 05:30:00,NASDAQ:PLRX,26.75,26.75,24.0,24.29,139115.0
2020-08-13 05:30:00,NASDAQ:PLRX,24.85,24.85,24.16,24.5,102452.0
2020-08-14 05:30:00,NASDAQ:PLRX,24.41,24.8525,24.13,24.37,62453.0
2020-08-17 05:30:00,NASDAQ:PLRX,24.61,25.59,24.405,24.76,65010.0
2020-08-18 05:30:00,NASDAQ:PLRX,24.76,24.98,24.5,24.64,68351.0
2020-08-19 05:30:00,NASDAQ:PLRX,24.86,25.475,24.47,24.6,126210.0
2020-08-20 05:30:00,NASDAQ:PLRX,24.34,25.88,24.34,25.39,57885.0
2020-08-21 05:30:00,NASDAQ:PLRX,25.29,26.68,24.87,25.18,72007.0
2020-08-24 05:30:00,NASDAQ:PLRX,25.58,25.58,23.92,24.45,65037.0
2020-08-25 05:30:00,NASDAQ:PLRX,24.39,24.715,23.8253,24.46,45559.0
2020-08-26 05:30:00,NASDAQ:PLRX,24.41,25.41,23.8,24.56,37452.0
2020-08-27 05:30:00,NASDAQ:PLRX,24.53,24.54,23.74,24.4,55677.0
2020-08-28 05:30:00,NASDAQ:PLRX,24.37,26.33,24.21,25.99,51784.0
2020-08-31 05:30:00,NASDAQ:PLRX,26.0895,26.4,24.57,25.15,62595.0
2020-09-01 05:30:00,NASDAQ:PLRX,24.95,25.2792,24.26,25.01,65738.0
2020-09-02 05:30:00,NASDAQ:PLRX,25.17,25.17,24.35,24.51,43869.0
2020-09-03 05:30:00,NASDAQ:PLRX,24.32,25.99,24.05,24.31,135925.0
2020-09-04 05:30:00,NASDAQ:PLRX,24.7,25.87,23.11,23.29,101359.0
2020-09-08 05:30:00,NASDAQ:PLRX,23.23,24.7709,23.15,24.2,74231.0
2020-09-09 05:30:00,NASDAQ:PLRX,24.515,26.09,24.49,24.89,57427.0
2020-09-10 05:30:00,NASDAQ:PLRX,25.12,26.67,24.6,26.22,80106.0
2020-09-11 05:30:00,NASDAQ:PLRX,26.5,27.53,24.23,26.22,174005.0
2020-09-14 05:30:00,NASDAQ:PLRX,26.69,28.0,26.12,27.48,160618.0
2020-09-15 05:30:00,NASDAQ:PLRX,27.59,27.91,25.77,25.99,75979.0
2020-09-16 05:30:00,NASDAQ:PLRX,26.39,27.95,25.87,27.46,185859.0
2020-09-17 05:30:00,NASDAQ:PLRX,26.83,27.96,26.51,27.62,146931.0
2020-09-18 05:30:00,NASDAQ:PLRX,27.62,31.94,26.731,28.21,1631300.0
2020-09-21 05:30:00,NASDAQ:PLRX,27.6,28.99,23.59,23.89,205295.0
2020-09-22 05:30:00,NASDAQ:PLRX,24.19,24.795,22.17,23.52,249022.0
2020-09-23 05:30:00,NASDAQ:PLRX,23.13,24.42,21.51,22.07,164015.0
2020-09-24 05:30:00,NASDAQ:PLRX,22.05,23.19,20.1,22.42,140880.0
2020-09-25 05:30:00,NASDAQ:PLRX,22.31,23.67,21.04,21.54,230876.0
2020-09-28 05:30:00,NASDAQ:PLRX,22.25,22.7641,21.6,22.54,93514.0
2020-09-29 05:30:00,NASDAQ:PLRX,22.57,23.92,22.57,23.74,71629.0
2020-09-30 05:30:00,NASDAQ:PLRX,24.0,24.85,21.978,22.65,156684.0
2020-10-01 05:30:00,NASDAQ:PLRX,22.56,22.65,19.51,19.89,266028.0
2020-10-02 05:30:00,NASDAQ:PLRX,20.09,20.54,19.5,20.09,146787.0
2020-10-05 05:30:00,NASDAQ:PLRX,20.16,21.56,19.73,21.43,128197.0
2020-10-06 05:30:00,NASDAQ:PLRX,21.73,22.27,20.83,21.92,96367.0
2020-10-07 05:30:00,NASDAQ:PLRX,21.99,24.49,21.5354,24.35,91549.0
2020-10-08 05:30:00,NASDAQ:PLRX,24.54,24.92,23.18,23.58,71144.0
2020-10-09 05:30:00,NASDAQ:PLRX,23.77,24.915,23.77,24.32,39000.0
2020-10-12 05:30:00,NASDAQ:PLRX,24.26,25.48,24.1,24.87,39291.0
2020-10-13 05:30:00,NASDAQ:PLRX,24.61,25.61,24.1,24.52,31140.0
2020-10-14 05:30:00,NASDAQ:PLRX,24.99,24.99,23.205,23.56,26328.0
2020-10-15 05:30:00,NASDAQ:PLRX,23.15,24.405,22.0,24.25,19214.0
2020-10-16 05:30:00,NASDAQ:PLRX,24.03,25.2,23.735,24.85,51096.0
2020-10-19 05:30:00,NASDAQ:PLRX,25.15,25.67,23.35,24.26,60049.0
2020-10-20 05:30:00,NASDAQ:PLRX,24.44,24.44,21.81,22.81,60474.0
2020-10-21 05:30:00,NASDAQ:PLRX,22.58,23.22,22.22,22.86,39998.0
2020-10-22 05:30:00,NASDAQ:PLRX,23.08,23.54,22.99,23.07,29242.0
2020-10-23 05:30:00,NASDAQ:PLRX,23.08,23.95,21.98,23.77,35280.0
2020-10-26 05:30:00,NASDAQ:PLRX,23.32,23.97,22.72,22.72,34157.0
2020-10-27 05:30:00,NASDAQ:PLRX,22.97,22.98,21.66,22.16,30932.0
2020-10-28 05:30:00,NASDAQ:PLRX,21.55,21.99,20.5,20.8,51062.0
2020-10-29 05:30:00,NASDAQ:PLRX,20.64,21.95,20.0,21.53,73126.0
2020-10-30 05:30:00,NASDAQ:PLRX,21.43,22.38,20.2,21.62,67439.0
2020-11-02 05:30:00,NASDAQ:PLRX,21.78,21.78,19.425,21.16,155886.0
2020-11-03 05:30:00,NASDAQ:PLRX,21.44,22.09,20.37,21.38,50017.0
2020-11-04 05:30:00,NASDAQ:PLRX,20.85,22.84,20.85,21.88,35901.0
2020-11-05 05:30:00,NASDAQ:PLRX,21.83,22.6,20.99,22.56,33754.0
2020-11-06 05:30:00,NASDAQ:PLRX,22.67,22.67,21.0501,21.84,43057.0
2020-11-09 05:30:00,NASDAQ:PLRX,22.68,23.44,22.17,22.52,42607.0
2020-11-10 05:30:00,NASDAQ:PLRX,22.52,23.79,21.49,23.57,32082.0
2020-11-11 05:30:00,NASDAQ:PLRX,23.87,25.24,23.155,25.24,80499.0
2020-11-12 05:30:00,NASDAQ:PLRX,25.1,26.12,24.86,25.71,50199.0
