datetime,symbol,open,high,low,close,volume
2009-12-29 05:30:00,NASDAQ:PPC,9.0,10.49,8.56,8.93,627233.0
2009-12-30 05:30:00,NASDAQ:PPC,9.25,9.5,8.9,8.91,301245.0
2009-12-31 05:30:00,NASDAQ:PPC,8.96,9.0,8.89,8.9,218997.0
2010-01-04 05:30:00,NASDAQ:PPC,9.0,9.105,8.87,8.92,384115.0
2010-01-05 05:30:00,NASDAQ:PPC,8.9,8.9,8.36,8.9,255433.0
2010-01-06 05:30:00,NASDAQ:PPC,8.85,8.86,8.6,8.85,374699.0
2010-01-07 05:30:00,NASDAQ:PPC,8.39,8.85,8.39,8.71,273545.0
2010-01-08 05:30:00,NASDAQ:PPC,8.92,8.92,8.52,8.61,207078.0
2010-01-11 05:30:00,NASDAQ:PPC,8.74,8.74,8.01,8.3,1006710.0
2010-01-12 05:30:00,NASDAQ:PPC,8.02,8.3,7.63,8.17,365544.0
2010-01-13 05:30:00,NASDAQ:PPC,8.02,8.64,8.02,8.47,283452.0
2010-01-14 05:30:00,NASDAQ:PPC,8.69,8.75,8.47,8.54,442601.0
2010-01-15 05:30:00,NASDAQ:PPC,8.69,8.83,8.64,8.79,904893.0
2010-01-19 05:30:00,NASDAQ:PPC,8.76,8.85,8.43,8.77,354064.0
2010-01-20 05:30:00,NASDAQ:PPC,8.66,8.72,8.47,8.52,240261.0
2010-01-21 05:30:00,NASDAQ:PPC,8.52,8.7,8.42,8.6,197548.0
2010-01-22 05:30:00,NASDAQ:PPC,8.75,8.75,8.5,8.64,238225.0
2010-01-25 05:30:00,NASDAQ:PPC,8.63,8.8,8.48,8.5426,553742.0
2010-01-26 05:30:00,NASDAQ:PPC,8.41,8.69,8.35,8.55,554512.0
2010-01-27 05:30:00,NASDAQ:PPC,8.52,8.76,8.48,8.56,294487.0
2010-01-28 05:30:00,NASDAQ:PPC,8.63,8.78,8.48,8.77,255822.0
2010-01-29 05:30:00,NASDAQ:PPC,8.78,8.87,8.63,8.87,260556.0
2010-02-01 05:30:00,NASDAQ:PPC,8.81,9.0073,8.75,8.79,560265.0
2010-02-02 05:30:00,NASDAQ:PPC,8.76,8.99,8.76,8.9,363599.0
2010-02-03 05:30:00,NASDAQ:PPC,8.99,9.06,8.85,8.91,386038.0
