datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:PTEN,8.69,9.1,8.4,9.05,5233184.0
2009-03-13 05:30:00,NASDAQ:PTEN,9.1,9.34,8.53,8.72,3663749.0
2009-03-16 05:30:00,NASDAQ:PTEN,8.6,9.36,8.6,9.12,6909043.0
2009-03-17 05:30:00,NASDAQ:PTEN,8.96,9.64,8.95,9.62,4371117.0
2009-03-18 05:30:00,NASDAQ:PTEN,9.5,10.23,9.23,10.06,7703078.0
2009-03-19 05:30:00,NASDAQ:PTEN,10.66,11.08,10.41,10.79,7953137.0
2009-03-20 05:30:00,NASDAQ:PTEN,10.9,10.9,9.97,9.99,5247445.0
2009-03-23 05:30:00,NASDAQ:PTEN,10.37,11.07,10.27,10.94,6467699.0
2009-03-24 05:30:00,NASDAQ:PTEN,10.87,10.87,10.31,10.35,5642293.0
2009-03-25 05:30:00,NASDAQ:PTEN,10.26,10.44,9.63,10.07,5861938.0
2009-03-26 05:30:00,NASDAQ:PTEN,10.37,10.79,10.13,10.44,5254613.0
2009-03-27 05:30:00,NASDAQ:PTEN,10.0,10.16,9.45,9.68,5229922.0
2009-03-30 05:30:00,NASDAQ:PTEN,9.14,9.32,8.9,9.18,4476406.0
2009-03-31 05:30:00,NASDAQ:PTEN,9.35,9.5,8.92,8.96,4563367.0
2009-04-01 05:30:00,NASDAQ:PTEN,8.8,9.29,8.56,9.19,5498727.0
2009-04-02 05:30:00,NASDAQ:PTEN,9.7,10.19,9.57,10.04,4647875.0
2009-04-03 05:30:00,NASDAQ:PTEN,9.8,11.02,9.61,10.9,7393223.0
2009-04-06 05:30:00,NASDAQ:PTEN,10.72,10.73,10.19,10.38,4411316.0
2009-04-07 05:30:00,NASDAQ:PTEN,10.17,10.39,9.97,10.31,4826586.0
2009-04-08 05:30:00,NASDAQ:PTEN,10.43,11.1401,10.35,11.01,8383063.0
2009-04-09 05:30:00,NASDAQ:PTEN,11.31,11.89,11.25,11.88,6280949.0
2009-04-13 05:30:00,NASDAQ:PTEN,11.59,11.92,11.13,11.76,4457703.0
2009-04-14 05:30:00,NASDAQ:PTEN,11.93,12.76,11.75,11.95,7100402.0
2009-04-15 05:30:00,NASDAQ:PTEN,11.99,12.3,11.78,12.14,6508605.0
2009-04-16 05:30:00,NASDAQ:PTEN,12.51,13.32,12.01,13.13,7845266.0
2009-04-17 05:30:00,NASDAQ:PTEN,13.43,13.43,13.01,13.19,6883023.0
2009-04-20 05:30:00,NASDAQ:PTEN,12.75,12.85,11.65,11.95,5484691.0
2009-04-21 05:30:00,NASDAQ:PTEN,11.95,13.26,11.5,13.21,6456422.0
2009-04-22 05:30:00,NASDAQ:PTEN,12.99,14.221,12.87,13.5,8172102.0
2009-04-23 05:30:00,NASDAQ:PTEN,13.58,14.04,12.965,13.5,5721246.0
2009-04-24 05:30:00,NASDAQ:PTEN,13.58,14.18,13.58,14.0,5281703.0
2009-04-27 05:30:00,NASDAQ:PTEN,13.77,13.77,13.2,13.34,4890438.0
2009-04-28 05:30:00,NASDAQ:PTEN,13.12,13.35,12.85,13.17,5153074.0
2009-04-29 05:30:00,NASDAQ:PTEN,13.39,13.9,13.17,13.69,7411012.0
2009-04-30 05:30:00,NASDAQ:PTEN,13.63,14.0,12.25,12.71,7491344.0
2009-05-01 05:30:00,NASDAQ:PTEN,12.78,13.5,12.46,13.27,5849262.0
2009-05-04 05:30:00,NASDAQ:PTEN,13.43,14.2,13.36,14.11,4279598.0
2009-05-05 05:30:00,NASDAQ:PTEN,14.33,14.45,13.83,14.29,5539191.0
2009-05-06 05:30:00,NASDAQ:PTEN,14.42,15.37,14.3,15.05,6582148.0
2009-05-07 05:30:00,NASDAQ:PTEN,15.61,15.95,13.93,14.24,5901090.0
2009-05-08 05:30:00,NASDAQ:PTEN,14.36,15.16,14.26,15.08,5080434.0
2009-05-11 05:30:00,NASDAQ:PTEN,14.62,14.88,14.12,14.27,3184764.0
2009-05-12 05:30:00,NASDAQ:PTEN,14.76,14.84,13.64,14.22,4199734.0
2009-05-13 05:30:00,NASDAQ:PTEN,14.01,14.04,13.0,13.15,7690813.0
2009-05-14 05:30:00,NASDAQ:PTEN,12.72,13.3,12.46,13.1,5870004.0
2009-05-15 05:30:00,NASDAQ:PTEN,12.92,13.17,12.01,12.16,7394781.0
2009-05-18 05:30:00,NASDAQ:PTEN,12.35,13.16,12.32,13.14,7353152.0
2009-05-19 05:30:00,NASDAQ:PTEN,12.96,13.28,12.51,13.11,5857008.0
2009-05-20 05:30:00,NASDAQ:PTEN,13.35,13.83,13.22,13.36,6646465.0
2009-05-21 05:30:00,NASDAQ:PTEN,13.17,13.19,12.49,12.73,4217613.0
2009-05-22 05:30:00,NASDAQ:PTEN,12.85,13.35,12.76,12.96,3645315.0
2009-05-26 05:30:00,NASDAQ:PTEN,12.77,13.61,12.5,13.56,4325148.0
2009-05-27 05:30:00,NASDAQ:PTEN,13.76,13.82,13.14,13.18,4905418.0
2009-05-28 05:30:00,NASDAQ:PTEN,13.4,14.01,13.06,13.91,6178746.0
2009-05-29 05:30:00,NASDAQ:PTEN,14.06,14.54,14.01,14.34,6802945.0
2009-06-01 05:30:00,NASDAQ:PTEN,14.86,15.37,14.76,15.23,5236227.0
2009-06-02 05:30:00,NASDAQ:PTEN,15.27,15.32,14.72,15.14,4077171.0
2009-06-03 05:30:00,NASDAQ:PTEN,14.86,15.05,13.72,14.06,3983414.0
2009-06-04 05:30:00,NASDAQ:PTEN,14.24,14.85,14.23,14.59,5160750.0
2009-06-05 05:30:00,NASDAQ:PTEN,14.77,15.0,13.97,14.16,5134488.0
2009-06-08 05:30:00,NASDAQ:PTEN,13.92,14.11,13.57,13.93,3169271.0
2009-06-09 05:30:00,NASDAQ:PTEN,13.96,14.57,13.96,14.39,3696213.0
2009-06-10 05:30:00,NASDAQ:PTEN,14.46,14.8,14.1999,14.6,4846656.0
2009-06-11 05:30:00,NASDAQ:PTEN,14.58,15.01,14.45,14.84,4322367.0
2009-06-12 05:30:00,NASDAQ:PTEN,14.61,14.71,14.07,14.29,2609987.0
2009-06-15 05:30:00,NASDAQ:PTEN,14.13,14.13,13.5,13.85,3655222.0
2009-06-16 05:30:00,NASDAQ:PTEN,14.0,14.33,13.19,13.26,5239664.0
2009-06-17 05:30:00,NASDAQ:PTEN,13.01,13.12,12.305,12.61,7397191.0
2009-06-18 05:30:00,NASDAQ:PTEN,12.5,12.89,12.27,12.54,3555137.0
2009-06-19 05:30:00,NASDAQ:PTEN,12.78,12.85,12.24,12.49,4049775.0
2009-06-22 05:30:00,NASDAQ:PTEN,12.2,12.22,11.51,11.52,4832895.0
2009-06-23 05:30:00,NASDAQ:PTEN,12.02,12.06,11.52,11.84,4090121.0
2009-06-24 05:30:00,NASDAQ:PTEN,11.94,12.43,11.795,12.19,5350691.0
2009-06-25 05:30:00,NASDAQ:PTEN,11.81,12.43,11.78,12.37,5669855.0
2009-06-26 05:30:00,NASDAQ:PTEN,12.27,13.27,12.07,12.71,14235367.0
2009-06-29 05:30:00,NASDAQ:PTEN,12.79,13.51,12.54,12.86,7478855.0
2009-06-30 05:30:00,NASDAQ:PTEN,12.92,13.22,12.4725,12.86,5493449.0
2009-07-01 05:30:00,NASDAQ:PTEN,13.01,13.39,12.73,12.78,6277680.0
2009-07-02 05:30:00,NASDAQ:PTEN,12.57,12.78,12.12,12.15,4095745.0
2009-07-06 05:30:00,NASDAQ:PTEN,11.99,12.12,11.58,12.11,5619648.0
2009-07-07 05:30:00,NASDAQ:PTEN,12.11,12.16,11.53,11.63,5626293.0
2009-07-08 05:30:00,NASDAQ:PTEN,11.64,12.08,11.38,12.0,8186973.0
2009-07-09 05:30:00,NASDAQ:PTEN,12.03,12.59,11.89,12.28,5998563.0
2009-07-10 05:30:00,NASDAQ:PTEN,12.1,12.52,11.88,12.47,5012852.0
