datetime,symbol,open,high,low,close,volume
2020-11-20 05:30:00,NASDAQ:PWP,5.0,17.44,5.0,9.895,560644.0
2020-11-23 05:30:00,NASDAQ:PWP,11.39,12.69,9.5737,10.15,1000096.0
2020-11-24 05:30:00,NASDAQ:PWP,10.05,10.18,9.6,9.78,358678.0
2020-11-25 05:30:00,NASDAQ:PWP,9.78,9.9138,9.75,9.7899,184072.0
2020-11-27 05:30:00,NASDAQ:PWP,9.9,10.057,9.75,10.0,108164.0
2020-11-30 05:30:00,NASDAQ:PWP,10.7,11.1975,10.46,10.48,877662.0
2020-12-01 05:30:00,NASDAQ:PWP,10.56,10.58,10.25,10.25,262400.0
2020-12-02 05:30:00,NASDAQ:PWP,10.27,10.5542,10.2,10.33,138597.0
2020-12-03 05:30:00,NASDAQ:PWP,10.21,10.39,10.2,10.23,71762.0
2020-12-04 05:30:00,NASDAQ:PWP,10.24,10.38,10.11,10.33,73795.0
2020-12-07 05:30:00,NASDAQ:PWP,10.33,10.38,10.2,10.25,50377.0
2020-12-08 05:30:00,NASDAQ:PWP,10.37,10.38,10.217,10.31,49279.0
2020-12-09 05:30:00,NASDAQ:PWP,10.39,10.49,10.16,10.28,57856.0
2020-12-10 05:30:00,NASDAQ:PWP,10.26,10.4399,10.16,10.25,59894.0
2020-12-11 05:30:00,NASDAQ:PWP,10.4,10.59,10.3,10.42,109952.0
2020-12-14 05:30:00,NASDAQ:PWP,10.52,10.5499,10.26,10.32,73734.0
2020-12-15 05:30:00,NASDAQ:PWP,10.33,10.4207,10.26,10.2925,35868.0
2020-12-16 05:30:00,NASDAQ:PWP,10.3,10.42,10.2378,10.32,29637.0
2020-12-17 05:30:00,NASDAQ:PWP,10.32,10.45,10.24,10.33,19674.0
2020-12-18 05:30:00,NASDAQ:PWP,10.43,10.43,10.22,10.3,37479.0
2020-12-21 05:30:00,NASDAQ:PWP,10.23,10.4,10.21,10.28,61187.0
2020-12-22 05:30:00,NASDAQ:PWP,10.24,10.9999,10.12,10.5,176962.0
2020-12-23 05:30:00,NASDAQ:PWP,10.69,10.69,10.17,10.64,145103.0
2020-12-24 05:30:00,NASDAQ:PWP,10.72,11.25,10.64,10.89,341775.0
2020-12-28 05:30:00,NASDAQ:PWP,10.9,11.0791,10.71,10.91,194383.0
2020-12-29 05:30:00,NASDAQ:PWP,10.9,10.9,10.42,10.845,213305.0
2020-12-30 05:30:00,NASDAQ:PWP,11.63,12.5,11.08,11.39,8527911.0
2020-12-31 05:30:00,NASDAQ:PWP,11.08,11.39,11.0,11.3,1774055.0
2021-01-04 05:30:00,NASDAQ:PWP,11.28,11.28,10.85,10.98,1190635.0
2021-01-05 05:30:00,NASDAQ:PWP,10.9,10.97,10.6,10.81,755727.0
2021-01-06 05:30:00,NASDAQ:PWP,10.87,11.18,10.63,11.08,1505093.0
2021-01-07 05:30:00,NASDAQ:PWP,11.08,11.19,10.99,11.01,1117846.0
2021-01-08 05:30:00,NASDAQ:PWP,11.01,11.15,10.97,10.97,666449.0
2021-01-11 05:30:00,NASDAQ:PWP,10.95,10.99,10.76,10.85,196245.0
2021-01-12 05:30:00,NASDAQ:PWP,10.9,10.92,10.76,10.78,403847.0
2021-01-13 05:30:00,NASDAQ:PWP,10.8,11.6,10.79,11.48,1435432.0
2021-01-14 05:30:00,NASDAQ:PWP,11.42,12.32,11.25,12.17,1987121.0
2021-01-15 05:30:00,NASDAQ:PWP,11.88,12.31,11.85,12.24,965620.0
2021-01-19 05:30:00,NASDAQ:PWP,12.4,12.4,11.96,12.25,467284.0
2021-01-20 05:30:00,NASDAQ:PWP,12.25,12.3066,11.81,12.22,379057.0
2021-01-21 05:30:00,NASDAQ:PWP,12.08,12.34,11.98,12.2,496635.0
2021-01-22 05:30:00,NASDAQ:PWP,12.2,12.5,12.01,12.5,274533.0
2021-01-25 05:30:00,NASDAQ:PWP,12.79,13.145,12.29,12.33,848265.0
2021-01-26 05:30:00,NASDAQ:PWP,12.33,12.45,12.0122,12.43,509735.0
2021-01-27 05:30:00,NASDAQ:PWP,11.96,12.39,11.32,12.19,791226.0
2021-01-28 05:30:00,NASDAQ:PWP,11.75,11.9,11.13,11.58,277107.0
2021-01-29 05:30:00,NASDAQ:PWP,11.53,11.86,11.33,11.51,166333.0
2021-02-01 05:30:00,NASDAQ:PWP,11.6,11.83,11.15,11.35,638541.0
2021-02-02 05:30:00,NASDAQ:PWP,11.34,12.0,11.32,11.75,183320.0
2021-02-03 05:30:00,NASDAQ:PWP,11.84,12.1,11.77,11.77,225905.0
2021-02-04 05:30:00,NASDAQ:PWP,11.91,12.0,11.44,11.5,199255.0
2021-02-05 05:30:00,NASDAQ:PWP,11.5,11.8504,11.41,11.45,210415.0
2021-02-08 05:30:00,NASDAQ:PWP,11.5,11.75,11.39,11.43,332083.0
2021-02-09 05:30:00,NASDAQ:PWP,11.43,11.49,11.21,11.29,114633.0
2021-02-10 05:30:00,NASDAQ:PWP,11.29,11.52,11.0,11.34,259725.0
2021-02-11 05:30:00,NASDAQ:PWP,11.32,11.32,10.98,11.13,128740.0
2021-02-12 05:30:00,NASDAQ:PWP,11.1,11.33,11.03,11.1,145292.0
2021-02-16 05:30:00,NASDAQ:PWP,11.04,11.64,11.04,11.35,204089.0
2021-02-17 05:30:00,NASDAQ:PWP,11.24,11.4099,11.0,11.07,134007.0
2021-02-18 05:30:00,NASDAQ:PWP,11.03,11.07,10.9,11.0,202959.0
2021-02-19 05:30:00,NASDAQ:PWP,11.09,11.35,11.0,11.24,111280.0
2021-02-22 05:30:00,NASDAQ:PWP,11.28,11.337,11.06,11.06,51573.0
2021-02-23 05:30:00,NASDAQ:PWP,11.0,11.29,10.57,11.03,310376.0
2021-02-24 05:30:00,NASDAQ:PWP,11.0,11.06,10.7001,10.9,663743.0
2021-02-25 05:30:00,NASDAQ:PWP,10.8,10.94,10.7,10.7492,561371.0
2021-02-26 05:30:00,NASDAQ:PWP,10.6001,10.67,10.56,10.6,423912.0
2021-03-01 05:30:00,NASDAQ:PWP,10.81,10.88,10.533,10.62,192252.0
2021-03-02 05:30:00,NASDAQ:PWP,10.6,10.7,10.43,10.55,88049.0
2021-03-03 05:30:00,NASDAQ:PWP,10.52,10.53,10.2501,10.4,593349.0
2021-03-04 05:30:00,NASDAQ:PWP,10.32,10.75,10.06,10.12,266947.0
2021-03-05 05:30:00,NASDAQ:PWP,10.13,10.4,10.12,10.21,91218.0
2021-03-08 05:30:00,NASDAQ:PWP,10.25,11.075,10.25,10.65,411422.0
2021-03-09 05:30:00,NASDAQ:PWP,10.65,11.0,10.6,10.78,135438.0
2021-03-10 05:30:00,NASDAQ:PWP,10.77,11.005,10.76,10.83,340500.0
2021-03-11 05:30:00,NASDAQ:PWP,10.81,11.02,10.5872,11.01,399479.0
2021-03-12 05:30:00,NASDAQ:PWP,10.84,10.98,10.68,10.97,52912.0
2021-03-15 05:30:00,NASDAQ:PWP,11.0,11.0,10.8,10.9,39477.0
2021-03-16 05:30:00,NASDAQ:PWP,11.31,11.59,11.0,11.2,323770.0
2021-03-17 05:30:00,NASDAQ:PWP,11.32,11.32,10.75,11.14,541261.0
2021-03-18 05:30:00,NASDAQ:PWP,11.1,11.23,11.01,11.06,196419.0
2021-03-19 05:30:00,NASDAQ:PWP,11.01,11.18,10.95,11.01,427847.0
2021-03-22 05:30:00,NASDAQ:PWP,11.1,11.3,11.05,11.2,283794.0
2021-03-23 05:30:00,NASDAQ:PWP,11.2,11.29,10.9,10.96,199518.0
2021-03-24 05:30:00,NASDAQ:PWP,10.92,11.09,10.9,11.09,73247.0
2021-03-25 05:30:00,NASDAQ:PWP,10.91,11.14,10.8,11.05,91147.0
2021-03-26 05:30:00,NASDAQ:PWP,10.98,11.27,10.96,11.17,46407.0
2021-03-29 05:30:00,NASDAQ:PWP,11.04,11.33,10.9001,11.2,82344.0
2021-03-30 05:30:00,NASDAQ:PWP,11.17,11.3,11.1,11.12,29959.0
2021-03-31 05:30:00,NASDAQ:PWP,11.17,11.3248,11.11,11.18,138146.0
2021-04-01 05:30:00,NASDAQ:PWP,11.1,11.25,11.0,11.09,46193.0
2021-04-05 05:30:00,NASDAQ:PWP,11.18,11.18,10.9,10.9,44606.0
2021-04-06 05:30:00,NASDAQ:PWP,10.91,11.0,10.74,10.84,68558.0
2021-04-07 05:30:00,NASDAQ:PWP,10.8,11.19,10.64,11.03,87710.0
2021-04-08 05:30:00,NASDAQ:PWP,10.93,11.1273,10.72,10.94,34143.0
2021-04-09 05:30:00,NASDAQ:PWP,10.99,11.0,10.805,10.92,33860.0
2021-04-12 05:30:00,NASDAQ:PWP,10.92,11.1276,10.92,11.0,109721.0
2021-04-13 05:30:00,NASDAQ:PWP,11.03,11.1384,10.96,11.0,67857.0
2021-04-14 05:30:00,NASDAQ:PWP,11.0,11.1,11.0,11.05,23722.0
2021-04-15 05:30:00,NASDAQ:PWP,11.0,11.04,11.0,11.01,6451.0
2021-04-16 05:30:00,NASDAQ:PWP,11.0,11.05,11.0,11.0,31795.0
2021-04-19 05:30:00,NASDAQ:PWP,11.01,11.04,10.95,11.01,25960.0
2021-04-20 05:30:00,NASDAQ:PWP,11.0,11.05,10.8299,10.9,288110.0
2021-04-21 05:30:00,NASDAQ:PWP,10.9,11.05,10.88,11.01,145643.0
2021-04-22 05:30:00,NASDAQ:PWP,11.03,11.11,11.0,11.11,5408.0
2021-04-23 05:30:00,NASDAQ:PWP,11.1,11.38,11.03,11.17,134741.0
2021-04-26 05:30:00,NASDAQ:PWP,11.31,11.32,11.12,11.24,104439.0
2021-04-27 05:30:00,NASDAQ:PWP,11.25,11.31,11.02,11.31,15288.0
2021-04-28 05:30:00,NASDAQ:PWP,11.31,11.31,11.1043,11.2,15245.0
2021-04-29 05:30:00,NASDAQ:PWP,11.08,11.2,10.93,11.15,49210.0
2021-04-30 05:30:00,NASDAQ:PWP,11.02,11.4,11.015,11.33,69745.0
2021-05-03 05:30:00,NASDAQ:PWP,11.29,11.6,11.23,11.6,35408.0
2021-05-04 05:30:00,NASDAQ:PWP,11.6,11.6,11.49,11.57,54120.0
2021-05-05 05:30:00,NASDAQ:PWP,11.6,11.715,11.46,11.63,38747.0
2021-05-06 05:30:00,NASDAQ:PWP,11.53,11.665,11.34,11.63,26204.0
2021-05-07 05:30:00,NASDAQ:PWP,11.07,11.642,11.07,11.6,99935.0
2021-05-10 05:30:00,NASDAQ:PWP,11.43,11.6618,11.32,11.49,307491.0
2021-05-11 05:30:00,NASDAQ:PWP,11.33,11.5,10.84,11.29,31947.0
2021-05-12 05:30:00,NASDAQ:PWP,11.23,11.25,10.82,11.03,53364.0
2021-05-13 05:30:00,NASDAQ:PWP,11.0,11.17,10.975,11.11,17603.0
2021-05-14 05:30:00,NASDAQ:PWP,11.17,11.2,11.025,11.11,83115.0
2021-05-17 05:30:00,NASDAQ:PWP,11.2,11.5,11.2,11.4,144072.0
2021-05-18 05:30:00,NASDAQ:PWP,11.35,11.8,11.3,11.61,25630.0
2021-05-19 05:30:00,NASDAQ:PWP,11.62,11.76,11.4229,11.75,22170.0
2021-05-20 05:30:00,NASDAQ:PWP,11.75,11.85,11.6,11.76,13045.0
2021-05-21 05:30:00,NASDAQ:PWP,11.85,11.95,11.5501,11.95,111742.0
2021-05-24 05:30:00,NASDAQ:PWP,11.96,11.96,11.5501,11.93,19560.0
2021-05-25 05:30:00,NASDAQ:PWP,11.73,12.0,11.73,11.94,54057.0
2021-05-26 05:30:00,NASDAQ:PWP,11.535,12.04,11.5,12.0,55070.0
2021-05-27 05:30:00,NASDAQ:PWP,11.7,12.02,11.7,12.0,16473.0
2021-05-28 05:30:00,NASDAQ:PWP,11.95,13.0,11.86,12.66,129072.0
2021-06-01 05:30:00,NASDAQ:PWP,12.63,13.47,12.2501,13.12,73987.0
2021-06-02 05:30:00,NASDAQ:PWP,13.07,13.07,12.2,12.37,81903.0
2021-06-03 05:30:00,NASDAQ:PWP,11.91,12.34,11.91,12.3,21993.0
2021-06-04 05:30:00,NASDAQ:PWP,12.5,13.245,12.31,12.73,255845.0
2021-06-07 05:30:00,NASDAQ:PWP,12.76,13.14,12.3,12.54,57177.0
2021-06-08 05:30:00,NASDAQ:PWP,12.51,12.94,12.5,12.8,40902.0
2021-06-09 05:30:00,NASDAQ:PWP,12.8,12.9999,12.635,12.75,75039.0
2021-06-10 05:30:00,NASDAQ:PWP,12.9509,12.9509,12.67,12.7,161951.0
2021-06-11 05:30:00,NASDAQ:PWP,12.68,13.0,12.45,12.6,68605.0
2021-06-14 05:30:00,NASDAQ:PWP,12.6,12.8321,12.375,12.5,29143.0
2021-06-15 05:30:00,NASDAQ:PWP,12.675,12.675,12.4,12.5,327757.0
2021-06-16 05:30:00,NASDAQ:PWP,12.48,12.5,11.97,12.1,26140.0
2021-06-17 05:30:00,NASDAQ:PWP,12.09,12.32,11.9035,12.08,13043.0
2021-06-18 05:30:00,NASDAQ:PWP,12.0,12.21,11.98,12.0,370470.0
2021-06-21 05:30:00,NASDAQ:PWP,12.09,12.12,11.675,11.89,87804.0
