datetime,symbol,open,high,low,close,volume
2022-08-26 05:30:00,NASDAQ:PXMD,6.5,10.48,4.91,4.91,8433953.0
2022-08-29 05:30:00,NASDAQ:PXMD,4.38,4.38,3.5,3.65,1412705.0
2022-08-30 05:30:00,NASDAQ:PXMD,3.98,5.18,3.53,3.77,3972586.0
2022-08-31 05:30:00,NASDAQ:PXMD,3.51,3.6667,2.8006,2.96,807705.0
2022-09-01 05:30:00,NASDAQ:PXMD,3.56,4.15,2.81,3.5,10400993.0
2022-09-02 05:30:00,NASDAQ:PXMD,5.78,6.5699,4.51,5.17,78365136.0
2022-09-06 05:30:00,NASDAQ:PXMD,4.59,4.69,3.3717,3.69,2594126.0
2022-09-07 05:30:00,NASDAQ:PXMD,3.7,4.04,3.28,3.58,653906.0
2022-09-08 05:30:00,NASDAQ:PXMD,3.38,3.5199,3.08,3.17,736460.0
2022-09-09 05:30:00,NASDAQ:PXMD,3.11,3.32,2.88,3.17,2925623.0
2022-09-12 05:30:00,NASDAQ:PXMD,3.4,5.47,3.1694,4.33,30530229.0
2022-09-13 05:30:00,NASDAQ:PXMD,4.12,5.46,3.67,4.22,10097430.0
2022-09-14 05:30:00,NASDAQ:PXMD,4.06,4.39,3.8,4.07,1172299.0
2022-09-15 05:30:00,NASDAQ:PXMD,4.01,4.1,3.795,3.88,423972.0
2022-09-16 05:30:00,NASDAQ:PXMD,3.83,3.89,3.15,3.16,336283.0
2022-09-19 05:30:00,NASDAQ:PXMD,3.18,3.4666,3.1,3.12,163579.0
2022-09-20 05:30:00,NASDAQ:PXMD,3.18,3.36,2.98,3.06,212706.0
2022-09-21 05:30:00,NASDAQ:PXMD,3.09,3.2,2.9,2.91,202640.0
2022-09-22 05:30:00,NASDAQ:PXMD,2.92,2.95,2.33,2.33,453490.0
2022-09-23 05:30:00,NASDAQ:PXMD,2.26,2.42,2.12,2.25,169930.0
2022-09-26 05:30:00,NASDAQ:PXMD,2.26,2.36,2.04,2.17,180026.0
2022-09-27 05:30:00,NASDAQ:PXMD,2.15,3.4499,2.15,2.57,11881743.0
2022-09-28 05:30:00,NASDAQ:PXMD,2.36,2.69,2.3,2.52,633421.0
2022-09-29 05:30:00,NASDAQ:PXMD,2.47,2.53,2.25,2.45,271474.0
2022-09-30 05:30:00,NASDAQ:PXMD,2.4,2.85,2.25,2.4,617331.0
2022-10-03 05:30:00,NASDAQ:PXMD,2.43,2.441,2.2,2.26,206959.0
2022-10-04 05:30:00,NASDAQ:PXMD,2.36,2.5798,2.29,2.39,469705.0
2022-10-05 05:30:00,NASDAQ:PXMD,2.42,2.5,2.24,2.44,259828.0
2022-10-06 05:30:00,NASDAQ:PXMD,2.54,2.78,2.31,2.52,989138.0
2022-10-07 05:30:00,NASDAQ:PXMD,2.5,2.55,2.3201,2.39,232817.0
2022-10-10 05:30:00,NASDAQ:PXMD,2.36,2.5,2.27,2.33,69808.0
2022-10-11 05:30:00,NASDAQ:PXMD,2.35,2.4,2.28,2.38,34546.0
2022-10-12 05:30:00,NASDAQ:PXMD,2.365,2.3999,2.25,2.28,122217.0
2022-10-13 05:30:00,NASDAQ:PXMD,2.25,2.29,2.03,2.12,130901.0
2022-10-14 05:30:00,NASDAQ:PXMD,2.17,2.22,2.1,2.17,92829.0
2022-10-17 05:30:00,NASDAQ:PXMD,2.25,2.36,2.12,2.21,155668.0
2022-10-18 05:30:00,NASDAQ:PXMD,2.31,2.5499,2.15,2.45,512127.0
2022-10-19 05:30:00,NASDAQ:PXMD,2.39,3.05,2.33,2.71,1964392.0
2022-10-20 05:30:00,NASDAQ:PXMD,2.65,3.66,2.53,3.15,4560815.0
2022-10-21 05:30:00,NASDAQ:PXMD,3.03,3.32,2.71,2.9889,891861.0
2022-10-24 05:30:00,NASDAQ:PXMD,3.09,3.1143,2.48,2.53,552066.0
2022-10-25 05:30:00,NASDAQ:PXMD,2.5,2.5298,2.25,2.35,340429.0
2022-10-26 05:30:00,NASDAQ:PXMD,2.2738,2.54,2.21,2.39,240394.0
2022-10-27 05:30:00,NASDAQ:PXMD,2.34,2.355,2.18,2.18,259924.0
2022-10-28 05:30:00,NASDAQ:PXMD,2.28,2.28,2.07,2.105,145206.0
2022-10-31 05:30:00,NASDAQ:PXMD,2.14,2.2255,2.0,2.1,124811.0
2022-11-01 05:30:00,NASDAQ:PXMD,2.09,2.15,1.94,1.94,493332.0
2022-11-02 05:30:00,NASDAQ:PXMD,1.8,1.8498,1.7,1.71,228531.0
2022-11-03 05:30:00,NASDAQ:PXMD,1.72,1.79,1.6914,1.78,112494.0
2022-11-04 05:30:00,NASDAQ:PXMD,1.78,1.78,1.7071,1.73,156249.0
2022-11-07 05:30:00,NASDAQ:PXMD,1.74,1.75,1.52,1.61,204780.0
2022-11-08 05:30:00,NASDAQ:PXMD,1.62,1.62,1.53,1.53,186419.0
2022-11-09 05:30:00,NASDAQ:PXMD,1.5312,1.88,1.3637,1.6,1568724.0
2022-11-10 05:30:00,NASDAQ:PXMD,1.53,1.569,1.36,1.4,310624.0
2022-11-11 05:30:00,NASDAQ:PXMD,1.4,1.56,1.3723,1.45,178834.0
2022-11-14 05:30:00,NASDAQ:PXMD,1.52,1.59,1.47,1.52,137312.0
2022-11-15 05:30:00,NASDAQ:PXMD,1.57,1.78,1.48,1.76,222956.0
2022-11-16 05:30:00,NASDAQ:PXMD,1.71,1.98,1.68,1.7154,166553.0
2022-11-17 05:30:00,NASDAQ:PXMD,1.8,1.8,1.5,1.55,79958.0
2022-11-18 05:30:00,NASDAQ:PXMD,2.27,2.64,2.06,2.13,28218512.0
2022-11-21 05:30:00,NASDAQ:PXMD,1.99,2.3209,1.86,2.18,1688189.0
2022-11-22 05:30:00,NASDAQ:PXMD,2.14,2.3,1.95,2.0099,641604.0
2022-11-23 05:30:00,NASDAQ:PXMD,1.97,2.1999,1.62,2.09,478689.0
2022-11-25 05:30:00,NASDAQ:PXMD,2.02,2.27,1.82,2.1601,324200.0
2022-11-28 05:30:00,NASDAQ:PXMD,2.3,2.47,2.17,2.45,933215.0
2022-11-29 05:30:00,NASDAQ:PXMD,2.57,2.57,2.1001,2.14,391791.0
2022-11-30 05:30:00,NASDAQ:PXMD,2.14,2.49,2.1,2.4,1273933.0
2022-12-01 05:30:00,NASDAQ:PXMD,2.4,2.8899,2.2501,2.7,1876448.0
2022-12-02 05:30:00,NASDAQ:PXMD,2.56,3.0217,2.46,2.8,1174226.0
2022-12-05 05:30:00,NASDAQ:PXMD,2.92,2.94,2.58,2.76,544681.0
2022-12-06 05:30:00,NASDAQ:PXMD,2.76,2.84,2.22,2.24,569258.0
2022-12-07 05:30:00,NASDAQ:PXMD,2.17,2.29,2.1,2.15,186068.0
2022-12-08 05:30:00,NASDAQ:PXMD,2.11,2.4799,2.11,2.38,691910.0
2022-12-09 05:30:00,NASDAQ:PXMD,2.4,2.4,1.96,2.0515,265248.0
2022-12-12 05:30:00,NASDAQ:PXMD,2.11,2.94,2.11,2.84,1841521.0
2022-12-13 05:30:00,NASDAQ:PXMD,2.91,2.91,2.22,2.29,1872167.0
2022-12-14 05:30:00,NASDAQ:PXMD,2.17,2.28,2.05,2.09,316002.0
2022-12-15 05:30:00,NASDAQ:PXMD,2.08,2.1367,1.9,1.9,312380.0
2022-12-16 05:30:00,NASDAQ:PXMD,1.96,1.9899,1.85,1.85,221914.0
