datetime,symbol,open,high,low,close,volume
2009-03-11 05:30:00,NASDAQ:REGN,12.65,13.08,11.81,12.05,552988.0
2009-03-12 05:30:00,NASDAQ:REGN,12.02,13.38,11.81,13.33,623715.0
2009-03-13 05:30:00,NASDAQ:REGN,13.36,14.1,13.2,14.03,506069.0
2009-03-16 05:30:00,NASDAQ:REGN,13.41,14.27,13.31,13.44,543493.0
2009-03-17 05:30:00,NASDAQ:REGN,13.43,14.21,13.36,14.21,451397.0
2009-03-18 05:30:00,NASDAQ:REGN,14.18,14.87,13.78,14.45,388712.0
2009-03-19 05:30:00,NASDAQ:REGN,14.61,14.61,13.59,13.68,441842.0
2009-03-20 05:30:00,NASDAQ:REGN,13.84,14.04,13.35,13.45,719546.0
2009-03-23 05:30:00,NASDAQ:REGN,13.8,14.05,13.4,14.03,699586.0
2009-03-24 05:30:00,NASDAQ:REGN,13.81,14.25,13.55,13.77,509753.0
2009-03-25 05:30:00,NASDAQ:REGN,13.93,14.59,13.44,14.21,367288.0
2009-03-26 05:30:00,NASDAQ:REGN,14.44,15.13,14.21,15.13,827132.0
2009-03-27 05:30:00,NASDAQ:REGN,14.77,14.98,14.29,14.38,644272.0
2009-03-30 05:30:00,NASDAQ:REGN,14.8,14.87,13.9,14.18,690104.0
2009-03-31 05:30:00,NASDAQ:REGN,14.41,14.46,13.73,13.86,701253.0
2009-04-01 05:30:00,NASDAQ:REGN,13.62,13.73,12.875,13.16,739518.0
2009-04-02 05:30:00,NASDAQ:REGN,13.45,13.73,13.26,13.46,671738.0
2009-04-03 05:30:00,NASDAQ:REGN,13.42,13.48,12.83,13.02,532553.0
2009-04-06 05:30:00,NASDAQ:REGN,12.9,13.67,12.8,13.59,1006861.0
2009-04-07 05:30:00,NASDAQ:REGN,13.42,13.5,13.1,13.15,470795.0
2009-04-08 05:30:00,NASDAQ:REGN,13.21,13.46,13.0201,13.34,367149.0
2009-04-09 05:30:00,NASDAQ:REGN,13.64,13.95,13.37,13.94,540356.0
2009-04-13 05:30:00,NASDAQ:REGN,13.71,13.84,13.25,13.44,488155.0
2009-04-14 05:30:00,NASDAQ:REGN,13.26,13.8,13.13,13.26,625154.0
2009-04-15 05:30:00,NASDAQ:REGN,13.15,13.35,12.8,13.3,523622.0
2009-04-16 05:30:00,NASDAQ:REGN,13.24,13.68,13.05,13.4,579304.0
2009-04-17 05:30:00,NASDAQ:REGN,13.45,13.73,13.08,13.15,581647.0
2009-04-20 05:30:00,NASDAQ:REGN,12.91,13.11,12.55,12.79,431195.0
2009-04-21 05:30:00,NASDAQ:REGN,12.75,13.1,12.6,12.92,320938.0
2009-04-22 05:30:00,NASDAQ:REGN,12.67,12.79,12.42,12.48,468231.0
2009-04-23 05:30:00,NASDAQ:REGN,12.48,12.53,12.11,12.41,480258.0
2009-04-24 05:30:00,NASDAQ:REGN,12.52,13.24,12.275,12.94,617498.0
2009-04-27 05:30:00,NASDAQ:REGN,12.71,13.0,12.5,12.66,529098.0
2009-04-28 05:30:00,NASDAQ:REGN,12.59,13.1,12.59,12.84,528489.0
2009-04-29 05:30:00,NASDAQ:REGN,12.92,13.74,12.72,13.48,525212.0
2009-04-30 05:30:00,NASDAQ:REGN,13.67,13.67,13.14,13.26,621388.0
2009-05-01 05:30:00,NASDAQ:REGN,14.2,14.34,13.48,13.85,693909.0
2009-05-04 05:30:00,NASDAQ:REGN,14.41,15.02,14.01,14.95,768376.0
2009-05-05 05:30:00,NASDAQ:REGN,15.03,15.2,14.49,15.14,712353.0
2009-05-06 05:30:00,NASDAQ:REGN,15.21,15.32,14.65,14.88,617680.0
2009-05-07 05:30:00,NASDAQ:REGN,15.15,15.32,14.88,15.14,610062.0
2009-05-08 05:30:00,NASDAQ:REGN,15.25,16.13,15.2,15.84,566798.0
2009-05-11 05:30:00,NASDAQ:REGN,16.0,16.72,15.55,16.25,686267.0
2009-05-12 05:30:00,NASDAQ:REGN,16.39999,16.62,15.7401,15.91,577736.0
2009-05-13 05:30:00,NASDAQ:REGN,15.67,16.16,14.75,15.0,844865.0
2009-05-14 05:30:00,NASDAQ:REGN,15.11,15.4,14.92,15.1,440824.0
2009-05-15 05:30:00,NASDAQ:REGN,15.04,15.04,14.47,14.61,585400.0
2009-05-18 05:30:00,NASDAQ:REGN,14.75,15.08,14.36,14.88,423902.0
2009-05-19 05:30:00,NASDAQ:REGN,14.95,14.98,14.6,14.8,455071.0
2009-05-20 05:30:00,NASDAQ:REGN,14.95,15.32,14.57,14.79,627180.0
2009-05-21 05:30:00,NASDAQ:REGN,14.6,14.6,13.85,14.14,435673.0
2009-05-22 05:30:00,NASDAQ:REGN,14.18,14.31,13.83,13.99,370347.0
2009-05-26 05:30:00,NASDAQ:REGN,13.9,14.86,13.9,14.63,525199.0
2009-05-27 05:30:00,NASDAQ:REGN,14.49,15.17,14.49,14.58,390891.0
2009-05-28 05:30:00,NASDAQ:REGN,14.7,14.94,14.45,14.74,475947.0
2009-05-29 05:30:00,NASDAQ:REGN,14.75,15.33,14.48,15.27,825833.0
2009-06-01 05:30:00,NASDAQ:REGN,15.2,15.775,14.91,15.59,498752.0
