datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:RHI,15.57,16.71,15.33,16.63,2510.0
2009-03-13 05:30:00,NYSE:RHI,16.5,16.75,16.03,16.47,1887.0
2009-03-16 05:30:00,NYSE:RHI,16.55,16.77,16.16,16.21,1684.0
2009-03-17 05:30:00,NYSE:RHI,16.28,16.7,16.09,16.7,1752.0
2009-03-18 05:30:00,NYSE:RHI,16.64,17.58,16.45,17.37,2298.0
2009-03-19 05:30:00,NYSE:RHI,17.54,17.57,16.97,17.12,1771.0
2009-03-20 05:30:00,NYSE:RHI,17.31,17.4296,16.75,16.77,3068.0
2009-03-23 05:30:00,NYSE:RHI,17.17,18.15,16.81,18.15,1388.0
2009-03-24 05:30:00,NYSE:RHI,17.91,18.18,17.51,17.52,1758.0
2009-03-25 05:30:00,NYSE:RHI,17.69,18.26,17.08,17.61,2353.0
2009-03-26 05:30:00,NYSE:RHI,17.82,18.95,17.75,18.9,2847.0
2009-03-27 05:30:00,NYSE:RHI,18.5,18.71,18.22,18.44,1761.0
2009-03-30 05:30:00,NYSE:RHI,17.98,18.29,17.25,17.42,2266.0
2009-03-31 05:30:00,NYSE:RHI,17.7,18.18,17.54,17.83,2330.0
2009-04-01 05:30:00,NYSE:RHI,17.61,18.29,16.95,18.23,3375.0
2009-04-02 05:30:00,NYSE:RHI,18.65,20.15,18.37,19.76,4165.0
2009-04-03 05:30:00,NYSE:RHI,19.76,19.98,19.38,19.95,1929.0
2009-04-06 05:30:00,NYSE:RHI,19.9,19.93,19.23,19.55,1466.0
2009-04-07 05:30:00,NYSE:RHI,19.25,19.38,18.765,18.92,1318.0
2009-04-08 05:30:00,NYSE:RHI,18.93,19.18,18.56,19.12,1203.0
2009-04-09 05:30:00,NYSE:RHI,20.6,20.6,18.98,20.52,1603.0
2009-04-13 05:30:00,NYSE:RHI,20.37,20.46,19.91,20.2,1649.0
2009-04-14 05:30:00,NYSE:RHI,19.92,20.16,19.46,19.59,1493.0
2009-04-15 05:30:00,NYSE:RHI,19.48,20.07,19.36,20.03,1088.0
2009-04-16 05:30:00,NYSE:RHI,20.14,20.94,19.89,20.82,1184.0
2009-04-17 05:30:00,NYSE:RHI,20.91,21.565,20.72,21.5,1942.0
2009-04-20 05:30:00,NYSE:RHI,21.14,21.14,20.24,20.28,1744.0
2009-04-21 05:30:00,NYSE:RHI,20.12,22.15,19.78,22.02,4078.0
2009-04-22 05:30:00,NYSE:RHI,22.36,24.55,22.11,23.57,4524.0
2009-04-23 05:30:00,NYSE:RHI,23.57,23.57,21.05,21.37,5288.0
2009-04-24 05:30:00,NYSE:RHI,21.15,23.58,21.15,23.46,3657.0
2009-04-27 05:30:00,NYSE:RHI,22.61,23.56,22.61,23.04,2818.0
2009-04-28 05:30:00,NYSE:RHI,22.72,23.46,22.45,22.75,2510.0
2009-04-29 05:30:00,NYSE:RHI,23.04,24.47,22.9,24.2,2133.0
