datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:RIGL,4.9,5.42,4.755,5.37,340255.0
2009-03-13 05:30:00,NASDAQ:RIGL,5.38,6.0,5.25,5.82,313754.0
2009-03-16 05:30:00,NASDAQ:RIGL,5.86,6.31,5.82,6.07,316353.0
2009-03-17 05:30:00,NASDAQ:RIGL,6.08,6.46,6.07,6.41,191096.0
2009-03-18 05:30:00,NASDAQ:RIGL,6.41,6.8,6.16,6.69,307916.0
2009-03-19 05:30:00,NASDAQ:RIGL,6.77,6.9,6.31,6.45,164839.0
2009-03-20 05:30:00,NASDAQ:RIGL,6.47,6.54,5.66,5.73,402994.0
2009-03-23 05:30:00,NASDAQ:RIGL,5.92,6.48,5.87,6.46,335342.0
2009-03-24 05:30:00,NASDAQ:RIGL,6.34,6.56,6.23,6.23,202279.0
2009-03-25 05:30:00,NASDAQ:RIGL,6.27,6.64,6.24,6.64,258622.0
2009-03-26 05:30:00,NASDAQ:RIGL,6.74,7.2,6.65,7.17,333636.0
2009-03-27 05:30:00,NASDAQ:RIGL,7.0,7.0397,6.44,6.49,250075.0
2009-03-30 05:30:00,NASDAQ:RIGL,6.31,6.35,6.12,6.18,143381.0
2009-03-31 05:30:00,NASDAQ:RIGL,6.23,6.36,6.09,6.14,188263.0
2009-04-01 05:30:00,NASDAQ:RIGL,6.04,6.33,5.76,6.32,133458.0
2009-04-02 05:30:00,NASDAQ:RIGL,6.5,6.9,6.3,6.74,271034.0
2009-04-03 05:30:00,NASDAQ:RIGL,6.74,6.83,6.34,6.7,102149.0
2009-04-06 05:30:00,NASDAQ:RIGL,6.57,6.64,6.08,6.27,252008.0
2009-04-07 05:30:00,NASDAQ:RIGL,6.17,6.25,5.7,5.7,342066.0
2009-04-08 05:30:00,NASDAQ:RIGL,5.73,5.8,5.39,5.64,223014.0
2009-04-09 05:30:00,NASDAQ:RIGL,5.77,6.32,5.72,6.13,284712.0
2009-04-13 05:30:00,NASDAQ:RIGL,6.04,6.18,5.73,6.17,156333.0
2009-04-14 05:30:00,NASDAQ:RIGL,6.05,6.27,5.77,5.79,397324.0
