datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:RS,23.2,23.2,21.64999,22.88,2854488.0
2009-03-13 05:30:00,NYSE:RS,23.25,23.96001,22.53,23.75999,2525107.0
2009-03-16 05:30:00,NYSE:RS,24.08,24.5,23.67,23.73,2587179.0
2009-03-17 05:30:00,NYSE:RS,22.84,22.87,21.24001,22.45,2388734.0
2009-03-18 05:30:00,NYSE:RS,22.25999,24.14999,21.81,23.77,2082276.0
2009-03-19 05:30:00,NYSE:RS,24.48,26.56,24.44,24.98,2162625.0
2009-03-20 05:30:00,NYSE:RS,24.99001,25.27,23.25,23.57001,1274570.0
2009-03-23 05:30:00,NYSE:RS,24.53999,26.2,24.35001,26.19,1225731.0
2009-03-24 05:30:00,NYSE:RS,25.56,27.25,25.08,26.39,1300612.0
2009-03-25 05:30:00,NYSE:RS,26.50999,28.57001,26.25,27.46001,1449370.0
2009-03-26 05:30:00,NYSE:RS,28.08,29.38,27.96001,29.07001,1447093.0
2009-03-27 05:30:00,NYSE:RS,28.49001,29.42999,27.67999,27.81,1332515.0
2009-03-30 05:30:00,NYSE:RS,27.0,27.0,25.41,25.95,1109412.0
2009-03-31 05:30:00,NYSE:RS,26.55,27.25,26.2,26.33,1589530.0
2009-04-01 05:30:00,NYSE:RS,25.41,28.42,24.98,28.05,2190678.0
2009-04-02 05:30:00,NYSE:RS,28.53,31.67,27.78,30.24001,1960153.0
2009-04-03 05:30:00,NYSE:RS,30.22,31.52,29.75999,31.49001,1915302.0
2009-04-06 05:30:00,NYSE:RS,30.25,31.02,29.78,30.78999,1146121.0
2009-04-07 05:30:00,NYSE:RS,30.53,30.97,30.06,30.63,1438688.0
2009-04-08 05:30:00,NYSE:RS,30.87,31.89,30.42999,31.49001,1223984.0
2009-04-09 05:30:00,NYSE:RS,32.84,34.24989,31.8,34.02,1196124.0
2009-04-13 05:30:00,NYSE:RS,33.52,35.67,32.57001,35.25,1269312.0
2009-04-14 05:30:00,NYSE:RS,34.89,35.31,33.28,33.77,1639363.0
2009-04-15 05:30:00,NYSE:RS,33.81,34.32001,32.765,34.17,899044.0
2009-04-16 05:30:00,NYSE:RS,34.55,35.92999,33.42999,35.67,1155997.0
