datetime,symbol,open,high,low,close,volume
2006-04-04 05:30:00,NASDAQ:SBET,6.34,6.54,6.28,6.54,2598.0
2006-04-06 05:30:00,NASDAQ:SBET,6.32,6.48,6.32,6.48,3100.0
2006-04-07 05:30:00,NASDAQ:SBET,6.32,6.54,6.32,6.54,3750.0
2006-04-13 05:30:00,NASDAQ:SBET,6.4,6.54,6.38,6.54,584.0
2006-04-19 05:30:00,NASDAQ:SBET,6.3,6.4,6.3,6.4,300.0
2006-04-20 05:30:00,NASDAQ:SBET,6.36,6.4,6.2,6.202,6288.0
2006-04-21 05:30:00,NASDAQ:SBET,6.48,6.48,6.48,6.48,50.0
2006-04-24 05:30:00,NASDAQ:SBET,6.3,6.36,6.28,6.36,2050.0
2006-04-26 05:30:00,NASDAQ:SBET,6.3,6.4,6.3,6.4,530.0
2006-04-27 05:30:00,NASDAQ:SBET,6.22,6.4,6.22,6.4,600.0
2006-05-01 05:30:00,NASDAQ:SBET,6.12,6.26,5.46,6.258,1764.0
2006-05-02 05:30:00,NASDAQ:SBET,6.222,6.222,6.1,6.18,5750.0
2006-05-03 05:30:00,NASDAQ:SBET,6.22,6.22,6.22,6.22,50.0
2006-05-04 05:30:00,NASDAQ:SBET,6.24,6.24,6.18,6.2,650.0
2006-05-05 05:30:00,NASDAQ:SBET,6.16,6.58,6.16,6.46,17394.0
2006-05-08 05:30:00,NASDAQ:SBET,5.82,6.22,5.82,6.02,7568.0
2006-05-09 05:30:00,NASDAQ:SBET,6.18,6.18,6.02,6.16,4074.0
2006-05-10 05:30:00,NASDAQ:SBET,6.36,6.36,6.36,6.36,100.0
2006-05-11 05:30:00,NASDAQ:SBET,5.8,6.36,5.8,6.36,300.0
2006-05-15 05:30:00,NASDAQ:SBET,6.02,6.22,6.0,6.22,906.0
2006-05-19 05:30:00,NASDAQ:SBET,6.2,6.2,6.2,6.2,600.0
2006-05-22 05:30:00,NASDAQ:SBET,6.26,6.28,6.02,6.2,550.0
2006-05-25 05:30:00,NASDAQ:SBET,6.0,6.18,5.9,6.02,850.0
2006-05-26 05:30:00,NASDAQ:SBET,6.14,6.14,6.14,6.14,50.0
2006-05-30 05:30:00,NASDAQ:SBET,5.9,6.0,5.62,6.0,5062.0
2006-05-31 05:30:00,NASDAQ:SBET,5.62,6.04,5.6,6.0,5750.0
2006-06-05 05:30:00,NASDAQ:SBET,5.7,6.04,5.7,6.0,500.0
2006-06-06 05:30:00,NASDAQ:SBET,5.6,6.0,5.6,6.0,100.0
2006-06-08 05:30:00,NASDAQ:SBET,5.74,6.0,5.6,5.88,510.0
2006-06-09 05:30:00,NASDAQ:SBET,5.98,5.98,5.98,5.98,50.0
2006-06-13 05:30:00,NASDAQ:SBET,5.6,5.878,5.06,5.878,1460.0
2006-06-14 05:30:00,NASDAQ:SBET,5.12,5.12,5.12,5.12,50.0
2006-06-15 05:30:00,NASDAQ:SBET,5.06,5.9,5.06,5.6,788.0
2006-06-16 05:30:00,NASDAQ:SBET,5.78,5.78,5.62,5.62,100.0
2006-06-19 05:30:00,NASDAQ:SBET,5.1,5.398,5.1,5.16,150.0
2006-06-20 05:30:00,NASDAQ:SBET,5.38,5.6,5.0,5.6,632.0
2006-06-22 05:30:00,NASDAQ:SBET,5.08,5.2,4.64,5.2,850.0
2006-07-05 05:30:00,NASDAQ:SBET,4.6,5.34,4.16,5.158,6116.0
2006-07-06 05:30:00,NASDAQ:SBET,4.98,5.16,4.98,5.16,550.0
2006-07-10 05:30:00,NASDAQ:SBET,5.14,5.3,5.02,5.3,472.0
2006-07-18 05:30:00,NASDAQ:SBET,4.4,5.26,4.4,5.26,1000.0
2006-07-19 05:30:00,NASDAQ:SBET,4.58,5.158,4.578,4.66,4574.0
2006-07-20 05:30:00,NASDAQ:SBET,5.246,5.246,5.12,5.12,400.0
2006-07-21 05:30:00,NASDAQ:SBET,4.38,4.38,4.2,4.26,1550.0
2006-07-24 05:30:00,NASDAQ:SBET,5.18,5.22,4.4,5.16,1950.0
2006-07-25 05:30:00,NASDAQ:SBET,5.22,5.22,4.98,4.98,600.0
2006-07-28 05:30:00,NASDAQ:SBET,4.192,4.6,4.192,4.6,1050.0
2006-07-31 05:30:00,NASDAQ:SBET,5.08,5.3,4.54,5.3,1700.0
2006-08-01 05:30:00,NASDAQ:SBET,4.84,5.62,4.58,4.58,670.0
