datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:SEIC,10.42,10.93,10.12,10.88,1818084.0
2009-03-13 05:30:00,NASDAQ:SEIC,10.94,10.99,10.63,10.92,1254504.0
2009-03-16 05:30:00,NASDAQ:SEIC,10.26,11.25,10.2501,10.68,1623287.0
2009-03-17 05:30:00,NASDAQ:SEIC,10.45,11.39,10.45,11.39,1362557.0
2009-03-18 05:30:00,NASDAQ:SEIC,11.94,11.99,11.49,11.86,2846033.0
2009-03-19 05:30:00,NASDAQ:SEIC,11.75,11.82,11.36,11.36,2412208.0
2009-03-20 05:30:00,NASDAQ:SEIC,11.37,11.45,10.75,10.76,1890449.0
2009-03-23 05:30:00,NASDAQ:SEIC,11.09,11.94,11.03,11.88,1943608.0
2009-03-24 05:30:00,NASDAQ:SEIC,11.57,11.95,11.39,11.57,2916440.0
2009-03-25 05:30:00,NASDAQ:SEIC,11.67,12.24,11.49,12.2,2236634.0
2009-03-26 05:30:00,NASDAQ:SEIC,12.25,12.74,12.06,12.61,2142313.0
2009-03-27 05:30:00,NASDAQ:SEIC,12.4,12.62,12.21,12.34,1453732.0
2009-03-30 05:30:00,NASDAQ:SEIC,12.17,12.17,11.58,11.75,1805763.0
2009-03-31 05:30:00,NASDAQ:SEIC,11.88,12.32,11.82,12.21,2124624.0
2009-04-01 05:30:00,NASDAQ:SEIC,11.91,12.61,11.74,12.49,2015117.0
2009-04-02 05:30:00,NASDAQ:SEIC,12.66,13.3,12.59,13.29,2497054.0
2009-04-03 05:30:00,NASDAQ:SEIC,13.24,13.61,13.05,13.59,1488080.0
2009-04-06 05:30:00,NASDAQ:SEIC,13.35,13.64,13.22,13.51,1881881.0
2009-04-07 05:30:00,NASDAQ:SEIC,13.27,13.32,12.88,12.89,1435558.0
2009-04-08 05:30:00,NASDAQ:SEIC,13.05,13.14,12.8,13.08,1033982.0
2009-04-09 05:30:00,NASDAQ:SEIC,13.26,14.25,13.18,14.25,2292688.0
2009-04-13 05:30:00,NASDAQ:SEIC,14.11,14.55,13.91,14.46,1722478.0
2009-04-14 05:30:00,NASDAQ:SEIC,14.07,14.6581,13.89,13.94,1749385.0
2009-04-15 05:30:00,NASDAQ:SEIC,14.61,14.73,13.81,14.7,2038781.0
2009-04-16 05:30:00,NASDAQ:SEIC,14.98,15.22,14.45,15.11,1722972.0
2009-04-17 05:30:00,NASDAQ:SEIC,15.17,15.21,14.85,14.92,1454215.0
2009-04-20 05:30:00,NASDAQ:SEIC,14.54,14.82,14.13,14.26,2022296.0
2009-04-21 05:30:00,NASDAQ:SEIC,14.0,14.86,13.79,14.86,2093615.0
2009-04-22 05:30:00,NASDAQ:SEIC,14.55,15.22,14.2699,14.52,1998648.0
2009-04-23 05:30:00,NASDAQ:SEIC,14.71,15.15,14.23,15.06,2014675.0
2009-04-24 05:30:00,NASDAQ:SEIC,14.22,14.43,13.75,14.07,3141123.0
2009-04-27 05:30:00,NASDAQ:SEIC,14.0,14.2,13.86,13.93,2840825.0
2009-04-28 05:30:00,NASDAQ:SEIC,13.92,14.17,13.69,13.9,1350571.0
2009-04-29 05:30:00,NASDAQ:SEIC,14.1,14.3,14.0,14.29,1598649.0
2009-04-30 05:30:00,NASDAQ:SEIC,14.45,14.6,13.89,14.03,1879872.0
2009-05-01 05:30:00,NASDAQ:SEIC,14.29,14.4,13.93,14.14,1138846.0
2009-05-04 05:30:00,NASDAQ:SEIC,14.14,15.15,14.0,15.05,2667707.0
2009-05-05 05:30:00,NASDAQ:SEIC,14.92,15.04,14.54,14.9,1805175.0
2009-05-06 05:30:00,NASDAQ:SEIC,15.11,15.5,14.7,15.5,2284146.0
2009-05-07 05:30:00,NASDAQ:SEIC,15.45,15.69,14.75,14.76,2219407.0
2009-05-08 05:30:00,NASDAQ:SEIC,15.09,15.66,14.96,15.66,1989758.0
2009-05-11 05:30:00,NASDAQ:SEIC,15.31,15.44,15.01,15.1,1786764.0
2009-05-12 05:30:00,NASDAQ:SEIC,15.29,15.71,15.04,15.27,1962996.0
2009-05-13 05:30:00,NASDAQ:SEIC,14.98,15.19,14.53,14.56,1927690.0
2009-05-14 05:30:00,NASDAQ:SEIC,14.66,14.99,14.5,14.96,1546007.0
2009-05-15 05:30:00,NASDAQ:SEIC,14.79,14.96,14.53,14.76,1809389.0
2009-05-18 05:30:00,NASDAQ:SEIC,14.9,15.74,14.9,15.72,1700095.0
2009-05-19 05:30:00,NASDAQ:SEIC,15.57,15.71,15.23,15.25,1199371.0
2009-05-20 05:30:00,NASDAQ:SEIC,15.51,15.52,14.77,14.94,1514515.0
2009-05-21 05:30:00,NASDAQ:SEIC,14.76,15.06,14.62,14.92,957642.0
2009-05-22 05:30:00,NASDAQ:SEIC,14.96,15.15,14.8,14.82,1049697.0
2009-05-26 05:30:00,NASDAQ:SEIC,14.68,15.32,14.57,15.29,1631825.0
2009-05-27 05:30:00,NASDAQ:SEIC,15.17,15.285,14.61,14.66,1974484.0
2009-05-28 05:30:00,NASDAQ:SEIC,14.75,15.24,14.75,15.12,1514635.0
2009-05-29 05:30:00,NASDAQ:SEIC,15.22,15.44,14.91,15.43,1505985.0
2009-06-01 05:30:00,NASDAQ:SEIC,15.69,16.44,15.5,16.25999,1612153.0
2009-06-02 05:30:00,NASDAQ:SEIC,16.16,16.55,16.14,16.39999,971669.0
2009-06-03 05:30:00,NASDAQ:SEIC,16.28999,16.55,16.2,16.35001,764391.0
2009-06-04 05:30:00,NASDAQ:SEIC,16.42,16.69,16.2,16.69,1192698.0
2009-06-05 05:30:00,NASDAQ:SEIC,17.0,17.57001,16.97,17.46001,2122940.0
2009-06-08 05:30:00,NASDAQ:SEIC,17.33,17.45,17.0,17.16,1679648.0
2009-06-09 05:30:00,NASDAQ:SEIC,17.75,17.88,17.59,17.75,1900431.0
2009-06-10 05:30:00,NASDAQ:SEIC,18.0,18.16,17.81,18.09,1930392.0
2009-06-11 05:30:00,NASDAQ:SEIC,18.13,18.41,18.05,18.34,1730865.0
